Abbreviated source title,Abstract,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume
Biotechnol. Biotechnol. Equip.,"Domestic guinea pig is a model animal for human disease research. Uridine diphosphate glucuronosyltransferase 1 family, polypeptide A1 (UGT1A1) is an important human disease-related gene. In this study, the complete coding sequence of domestic guinea pig gene UGT1A1 was amplified by reverse transcription-polymerase chain reaction. The open reading frame of the domestic guinea pig UGT1A1 gene is 1602 bp in length and was found to encode a protein of 533 amino acids. Sequence analysis revealed that the UGT1A1 protein of domestic guinea pig shared high homology with the UGT1A1 proteins of degu (84%), damara mole-rat (84%), human (80%), northern white-cheeked gibbon (80%), Colobus angolensis palliatus (80%) and golden snub-nosed monkey (79%). This gene contains five exons and four introns, as revealed by the computer- assisted analysis. The results also showed that the domestic guinea pig UGT1A1 gene had a close genetic relationship with the UGT1A1 gene of degu. The prediction of transmembrane helices showed that domestic guinea pig UGT1A1 might be a transmembrane protein. Expression profile analysis indicated that the domestic guinea pig UGT1A1 gene was differentially expressed in detected domestic guinea pig tissues. Our experiment laid a primary foundation for using the domestic guinea pig as a model animal to study the UGT1A1-related human diseases. © 2015 The Author(s). Published by Taylor & Francis.",Open Access,20160601904592,,"Deminga, Yang (1, 2); Qingcong, An (2); Yonggang, Liu (2) ","(1) Yunnan Key Laboratory of Fertility Regulation and Minority Eugenics, Kunming, China (2) Key Laboratory of Animal Nutrition and Feed of Yunnan Province, Yunnan Agricultural University, Kunming, China ",,461 Bioengineering and Biology - 723.5 Computer Applications - 801.2 Biochemistry - 804.1 Organic Compounds,,,,,Cloning - Computer aided analysis - Polymerase chain reaction - Proteins - Tissue - Transcription,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yonggang, Liu(liuyg4567@163.com) ",10.1080/13102818.2015.1098565,Engineering Village,Compendex,Journal article (JA),,,,,13102818,1,2016,English,Mammals,,11.0,106-111,,2016,Diagnosis Press Limited.,Biotechnology and Biotechnological Equipment,,"Molecular cloning, sequence identification and expression profile of domestic guinea pig (Cavia porcellus) UGT1A1 gene",,Computer-assisted analysis - Guinea pigs - Molecular characterization - Reverse transcription-polymerase chain reaction - Sequence identification - Tissue expression - Trans-membrane proteins - UGT1A1,30
RSC Adv.,"CaO-Al2O3-SiO2(CAS) glass-ceramics were prepared by a melting method using different amounts of natural cooling yellow phosphorus slag as the main material, and afterwards the effects of the slag on the crystallization and properties of glass-ceramics were studied by differential thermal analysis (DTA), X-ray diffraction (XRD) and scanning electron microscopy (SEM). The crystallization activation energy E of the glass-ceramic samples was calculated by modified Johnson-Mehl-Avrami (JMA) and Ozawa methods, and Avrami indices n of the samples were analyzed with Augis-Bennett equations. The results showed that the crystallization behavior of glass ceramics was surely affected with the addition of different amounts of slag. The crystallization activation energy calculated with the modified Johnson-Mehl-Avrami (JMA) equation ranged from 200.8678 kJ mol-1(Slag-1) to 380.0184 kJ mol-1(Slag-3) and from 220.7858 kJ mol-1(Slag-1) to 400.6569 kJ mol-1(Slag-3) by the Ozawa method. The crystallization indices increased from 3.20 (Slag-1) to 4.07 (Slag-3). The main crystalline phases were gehlenite (Ca2Al2SiO7) and akermanite (Ca2MgSi2O7) in Slag-1 and Slag-2, while anorthite (CaAl2Si2O8) and akermanite (Ca2MgSi2O7) were the main crystalline phases in Slag-3. The structure of the grains in the samples changed from spherical to columnar. The Slag-3 sample showed stronger acid resistance, alkali resistance and lower water absorption than Slag-1 and Slag-2. © 2016 The Royal Society of Chemistry.",,20163802820953,,"Liu, Hong-Pan (1); Ma, Li-Ping (1); Huang, Xiao-Feng (1); Tang, Jian-Xiao (1); Yang, Jie (1); Yang, Jing (1) ","(1) Faculty of Environmental Science and Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650500, China ",RSCACL,482.2 Minerals - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 933.1 Crystalline Solids,,,,,Acid resistance - Activation energy - Alumina - Aluminum oxide - Crystalline materials - Crystallization - Differential thermal analysis - Feldspar - Glass ceramics - Magnesium compounds - Phosphorus - Scanning electron microscopy - Silica - Water absorption - X ray diffraction,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ma, Li-Ping(lpma2522@hotmail.com) ",10.1039/c6ra07854k,Engineering Village,Compendex,Journal article (JA),20462069,,,,,90,2016,English,Slags,,24.0,87696-87702,,2016,Royal Society of Chemistry,RSC Advances,,Effect of different amounts of slag on the crystallization behavior of glass-ceramics produced by natural cooling yellow phosphorus slag,,Crystalline phasis - Crystallization activation energy - Crystallization behavior - Crystallization index - Differential thermal analyses (DTA) - Johnson Mehl Avrami equation - Johnson-mehl-avrami - Yellow phosphorus,6
J. Mater. Chem. C,"Here, CuO micro-sheets were successfully synthesized from Cu foil using the annealing procedure. Cupric oxalate (CuC2O4·xH2O) micro-sheets were firstly peeled off by immersing Cu foil in oxalic acid solution at room temperature, and then they were converted into CuO with preserved configuration after thermal treatment at 350 °C. Various techniques were employed for the characterization of the structure and morphology of as-prepared products. Results revealed that the samples were composed of a large amount of porous CuO micro-sheets, which were constructed by plenty of nano-sized primary particles. A gas sensor was fabricated using as-prepared CuO micro-sheets and was systematically investigated for its ability to detect n-butanol. Due to the porous structure of CuO micro-sheets, the sensor based on CuO micro-sheets manifests a remarkably improved sensing performance, including high response, good selectivity, excellent reproducibility and stability, and limit of detection as low as 10 ppm at 160 °C, suggesting its greatly promising applications in gas sensing. © The Royal Society of Chemistry 2016.",,20160601895543,,"Dong, Chengjun (1, 2); Wang, Lihong (1); Chen, Gang (1); Xiao, Xuechun (1, 2); Djerdj, Igor (3); Wang, Yude (1, 2) ","(1) School of Physics Science and Technology, Yunnan University, Kunming; 650091, China (2) Yunnan Province Key Lab of Micro-Nano Materials and Tecnhology, Yunnan University, Kunming; 650091, China (3) Ruer BoŠkovi Institute, Bijenika 54, Zagreb; 10000, Croatia ",JMCCCX,544.1 Copper - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 914.1 Accidents and Accident Prevention,,,,,Copper oxides - Gas detectors - Metal cladding - Oxalic acid,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wang, Yude(ydwang@ynu.edu.cn) ",10.1039/c5tc02821c,Engineering Village,Compendex,Journal article (JA),20507526,,,,20507534,5,2016,English,Copper,,31.0,985-990,,2016,Royal Society of Chemistry,Journal of Materials Chemistry C,,Facile synthesis of CuO micro-sheets over Cu foil in oxalic acid solution and their sensing properties towards n-butanol,,Annealing procedures - Limit of detection - Oxalic acid solution - Porous structures - Primary particles - Reproducibilities - Sensing performance - Structure and morphology,4
Energy Build.,"A semi-interpenetrating polymer network (semi-IPN) of polyethylene glycol (PEG)/poly(polyethylene glycol diacrylate) (PPGD) composites as novel form-stable PCMs was successfully prepared via in situ polymerization. The mass percentage of PEG reached 70 wt% without any leakage above the melting point of PEG. The prepared form-stable PCMs were investigated by scanning election microscopy (SEM), Fourier transform infrared spectroscopy (FTIR), X-ray diffraction (XRD), polarization optical microscopy (POM), differential scanning calorimetry (DSC) and thermogravimetric analysis (TG), respectively. SEM and FTIR results show that the PEG is uniformly dispersed into the PPGD network and there are only physical interactions between PEG and PPGD. POM images and XRD patterns reveal that the crystalline structure of PEG is not affected by PPGD network and the crystal size of PEG in form-stable PCMs decreases due to the restriction of PPGD network. DSC analysis results present that the melting and freezing temperatures and the latent heats of form-stable PCM were measured as 58.62 and 37.45 °C and 117.41 and 115.17 J/g, respectively. Thermal cycling test and TG analysis confirm that the prepared form-stable PCMs exhibit good thermal reliability and stability. The prepared form-stable PCMs have great potential application in the area of solar energy storage. © 2016 Elsevier B.V. All rights reserved.",,20162502526024,,"Liu, Zhimeng (1); Zhang, Yanyan (1); Hu, Kai (1); Xiao, Yao (1); Wang, Jiliang (2); Zhou, Changlin (1); Lei, Jingxin (1) ","(1) State Key Laboratory of Polymer Materials Engineering, Polymer Research Institute, Sichuan University, Chengdu; 610065, China (2) School of Chemistry Science and Engineering, Yunnan University, Kunming; 650091, China ",ENEBDR,657.1 Solar Energy and Phenomena - 694.4 Storage - 801 Chemistry - 801.4.1 Electrochemistry - 804 Chemical Products Generally - 815.1.1 Organic Polymers - 933.1.1 Crystal Lattice - 944.6 Temperature Measurements,,,,,Crystal structure - Differential scanning calorimetry - Dye-sensitized solar cells - Fourier transform infrared spectroscopy - Heat storage - Hydrogels - Polyethylene glycols - Polyethylenes - Polypropylene oxides - Reliability analysis - Solar energy - Storage (materials) - Thermal energy - Thermogravimetric analysis - X ray diffraction,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhou, Changlin(chouscu@scu.edu.cn) ",10.1016/j.enbuild.2016.06.009,Engineering Village,Compendex,Journal article (JA),,,,,03787788,,"September 1, 2016",English,Phase change materials,,31.0,327-336,,2016,Elsevier Ltd,Energy and Buildings,,Preparation and properties of polyethylene glycol based semi-interpenetrating polymer network as novel form-stable phase change materials for thermal energy storage,,Crystalline structure - Form stable phase change material - Freezing temperatures - In-situ polymerization - Physical interactions - Polyethylene glycol diacrylate - Semi-interpenetrating polymer network (semi-IPN) - Semi-interpenetrating polymer networks,127
Phys. Plasmas,"By reviewing the previous work [C. Li et al., Phys. Plasmas 21, 072114 (2014)] and the Comment of Moradi, some errors are found. Also, an erratum is given in this Response. © 2016 Author(s).",,20163102670536,074702,"Li, Chunhua (1); Wu, Zhengwei (1, 2, 3); Yang, Weihong (1); Chu, Paul K. (2) ","(1) Department of Modern Physics, University of Science and Technology of China, Hefei; 230026, China (2) Department of Physics and Materials Science, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong (3) Center of Low Temperature Plasma Application, Yunnan Aerospace Industry Company, Kunming, Yunnan; 650229, China ",PHPAEN,711 Electromagnetic Waves - 921.2 Calculus,,,,,Electromagnetic waves,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wu, Zhengwei(wuzw@ustc.edu.cn) ",10.1063/1.4958656,Engineering Village,Compendex,Journal article (JA),10897674,,,,1070664X,7,"July 1, 2016",English,Wave equations,,3.0,,,2016,American Institute of Physics Inc.,Physics of Plasmas,,"Response to 'comment on 'Surface electromagnetic wave equations in a warm magnetized quantum plasma'' [Phys. Plasmas 23, 074701 (2016)]",,Quantum plasmas,23
"Int. Conf. Appl. Robot. Power Ind., CARPI","According to the requirements of inspection tasks and characteristics of obstacles on 110kV power transmission lines, a novel inspection robot mechanism which adopts unfolding mechanism and the gantry structure is presented. Through altering the unfolding mechanism, the robot can navigate the obstacle quickly. The gantry structure can raise the stiffness of the mechanism. Based on the constraints of the specific features of the electric power transmission and the context of power utility operation, the geometric parameters are customized. The navigation of suspension clamp is simulated, and the structure analysis is studied. A prototype has been developed, and the field experiments has been carried out. The simulation results and field experimental results demonstrate that the mechanism has such characteristics as good motion stability, strong loading capacity and excellent obstacle negotiation capability. © 2016 IEEE.",,20165103131523,7745636,"Yue, Xiang (1, 2); Wang, Hongguang (1); Yang, Yingchun (3); Jiang, Yong (1) ","(1) Shenyang Institution of Automation Chinese Academy of Sciences, China (2) University of Chinese Academy of Sciences, Beijing, China (3) Electric Power Research Institute Co. Ltd, Yunnan Power Grid, Kunming, China ",,601 Mechanical Design - 706.1.1 Electric Power Transmission - 706.2 Electric Power Lines and Equipment - 731.5 Robotics - 921 Mathematics,124871.0,"October 11, 2016 - October 13, 2016","Jinan, China","4th International Conference on Applied Robotics for the Power Industry, CARPI 2016",Electric lines - Electric power transmission - Geometry - Inspection - Machine design - Robotics,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/CARPI.2016.7745636,Engineering Village,Compendex,Conference article (CA),,,,9781509032280.0,,,"November 15, 2016",English,Robots,"2016 4th International Conference on Applied Robotics for the Power Industry, CARPI 2016",15.0,,1of1,2016,Institute of Electrical and Electronics Engineers Inc.,"2016 4th International Conference on Applied Robotics for the Power Industry, CARPI 2016",,Geometric design of an inspection robot for 110kV power transmission lines,,Field robotics - Geometric design - Inspection robots - Loading capacities - Mechanism design - Motion stability - Obstacle negotiation - Structure analysis,
"Proc. - Int. Symp. Comput. Intell. Des., ISCID","In this paper, by incorporating this dynamic structure control technique into a neural network based adaptive control design framework, we have developed a backstepping based control design for a class of nonlinear systems in strict-feedback form with arbitrary uncertainty. Our development is able to eliminate the problem of explosion of complexity inherent in the existing method. Taking the neural network as a model of the system, control signals are directly obtained by minimizing the cumulative differences between a setpoint and output of the model. The applicability in nonlinear system is demonstrated by simulation experiments. © 2015 IEEE.",,20162902605135,7469007,"Niu, Lin (1); Zhou, Shengyun (1); Xie, Hongling (1) ","(1) Engineering College, Honghe University, Mengzi, Yunnan, China ",,723.4 Artificial Intelligence - 731.1 Control Systems - 961 Systems Science,121826.0,"December 12, 2015 - December 13, 2015","Hangzhou, Zhejiang, China","8th International Symposium on Computational Intelligence and Design, ISCID 2015",Artificial intelligence - Backstepping - Neural networks - Nonlinear feedback - Nonlinear systems,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/ISCID.2015.174,Engineering Village,Compendex,Conference article (CA),,"Number: ZD2014015, Acronym: -, Sponsor: -; Number: 61463013, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",This work was supported by National Natural Science Foundation of China (Grant No.61463013) and Educational Commission of Yunnan Province of China (Grant No. ZD2014015).,9781467395861.0,,,"May 11, 2016",English,Adaptive control systems,"Proceedings - 2015 8th International Symposium on Computational Intelligence and Design, ISCID 2015",14.0,521-524,1of2,2016,Institute of Electrical and Electronics Engineers Inc.,"Proceedings - 2015 8th International Symposium on Computational Intelligence and Design, ISCID 2015",IEEE Nanjing Computational Intelligence Chapter; University of Bristol; Zhejiang Sci-Tech University; Zhejiang University,Neural Network-Based Adaptive Dynamic Structure Control for a Class of Uncertain Nonlinear Systems in Strict-Feedback Form,,Adaptive Control - Adaptive dynamics - Dynamic structure - Feedback forms - Neural network based adaptive control - Predictive control - Strict feedback systems - Uncertain nonlinear systems,1
"Int. Arch. Photogramm., Remote Sens. Spat. Inf. Sci. - ISPRS Arch.","Recently, high resolution remote sensing image segmentation is a hot issue in image processing procedures. However, it is a difficult task. The difficulties derive from the uncertainties of pixel segmentation and decision-making model. To this end, we take spatial relationship into consideration when constructing the interval type-2 fuzzy neural networks for high resolution remote sensing image segmentation. First, the proposed algorithm constructs a Gaussian model as a type-1 fuzzy model to describe the uncertainty contained in the image. Second, the interval type-2 fuzzy model is obtained by blurring the mean and variance in type-1 model. The proposed interval type-2 model can strengthen the expression of uncertainty and simultaneously decrease the uncertainty in the decision model. Then the fuzzy membership function itself and its upper and lower fuzzy membership functions of the training samples are used as the input of the neuron network which acts as the decision model in the proposed algorithm. Finally, the relationship of neighbour pixels is taken into consideration and the fuzzy membership functions of the detected pixel and its neighbourhood are used to decide the class of each pixel to get the final segmentation result. The proposed algorithm, FCM and HMRF-FCM algorithm and an interval type-2 fuzzy neuron networks without spatial relationships are performed on synthetic and real high resolution remote sensing images. The qualitative and quantitative analyses demonstrate the efficient of the proposed algorithm, especially for homogeneous regions which contains a great difference in its gray level (for example forest).",Open Access,20163102657164,,"Wang, Chunyan (1); Xu, Aigong (2); Li, Chao (3); Zhao, Xuemei (2) ","(1) School of Mining Industry and Technology, Liaoning Technical University, Huludao; 125105, China (2) School of Geomatics, Liaoning Technical University, Fuxin; 123000, China (3) Yunnan Technology Center of Basic Surveying and Mapping, Yunnan; 650034, China ",,"461.9 Biology - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723.4 Artificial Intelligence - 912.2 Management - 921 Mathematics",122460.0,"July 12, 2016 - July 19, 2016","Prague, Czech republic","23rd International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences Congress, ISPRS 2016",Decision making - Fuzzy inference - Fuzzy logic - Fuzzy neural networks - Image segmentation - Membership functions - Neurons - Pixels,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.5194/isprsarchives-XLI-B7-385-2016,Engineering Village,Compendex,Conference article (CA),,"Number: 20122121110007, Acronym: -, Sponsor: -; Number: 41271435, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41301479, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",This work was supported by Research Fund for the Doctoral Program of Higher Education of China (No. 20122121110007) and National Natural Science Foundation of China (No. 41271435; No. 41301479).,,16821750,,2016,English,Remote sensing,"23rd ISPRS Congress, Commission VII",17.0,385-391,1of1,2016,International Society for Photogrammetry and Remote Sensing,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",,Interval type-2 fuzzy based neural network for high resolution remote sensing image segmentation,,Expression of uncertainty - Footprint of uncertainties - Fuzzy membership function - High resolution remote sensing images - Interval type-2 fuzzy - Interval type-2 fuzzy neural networks - Neuron networks - Qualitative and quantitative analysis,41
Proc SPIE Int Soc Opt Eng,"We reported about an experiment aimed at verifying the statistical technique, which has been proposed first by Mikhail S. Belen'Kii to solve the tilt indetermination problem from the laser guide star(LGS) adaptive optics(AO) system. The tilt components of wave fronts were measured synchronously from a Rayleigh guide star by use of a 25-cm telescope as an auxiliary telescope and from a star by use of a telescope with a 1.2-m aperture at Yunnan Observatories. The result shown that the instability of the auxiliary telescope's tracking system is an important error source for the tilt measurement. © 2016 SPIE.",,20165003109295,99096P,"Huang, Kai (1); Xiong, Yaoheng (2); Li, Rongwang (2); Zhai, Dongsheng (2); Zhou, Yu (2); Li, Yuqiang (2) ","(1) Leshan Normal University, 778 Binhe Road, Leshan, Sichuan; 614000, China (2) Yunnan Observatories, P.O.Box110, Kunming, Yunnan; 650011, China ",PSISDG,657.2 Extraterrestrial Physics and Stellar Phenomena - 741.1 Light/Optics,124954.0,"June 26, 2016 - July 1, 2016","Edinburgh, United kingdom",Adaptive Optics Systems V,Observatories - Stars - Telescopes - Wavefronts,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1117/12.2231180,Engineering Village,Compendex,Conference article (CA),1996756X,,,9781510601970.0,0277786X,,2016,English,Adaptive optics,Adaptive Optics Systems V,6.0,,1of1,2016,SPIE,Proceedings of SPIE - The International Society for Optical Engineering,The Society of Photo-Optical Instrumentation Engineers (SPIE),Experimental result from tip-Tilt measurement with a laser guide star at Yunnan Observatories,,Adaptive optics systems - Auxiliary Telescope - Experimental - Laser guide star - Rayleigh guide stars - Statistical techniques - Tilt measurement - Tip tilt,9909
IMPC - Int. Miner. Process. Congr.,"As sulfide zinc ore deposits become exhausted, nonsulfide zinc ore deposits become the other resource for zinc production. However, flotation for zinc recovery from nonsulfide deposits is much more difficult than the flotation of sphalerite from sulfide deposits and may become an option for zinc production only if a suitable processing technology is developed. In this regard, research efforts are being devoted to the flotation of nonsulfide zinc oxide minerals. Some common methods which have been used for the flotation of zinc oxide minerals include sulfidization-flotation, activation, and direct flotation with anionic and cationic collectors. The traditional flotation techniques have low efficiency and difficulty in separation and recovery of the zinc minerals from gangue minerals, for example, smithsonite (ZnCO3) from other carbonate gangue minerals and hemimorphite (Zn4Si2O7(OH)2·H2O) from silicate gangue minerals. In this study potassium lauryl phosphate was evaluated as a collector for the flotation of nonsulfide zinc minerals. Results from contact angle and microflotation experiments at pH 6–9 show that hemimorphite (Zn4Si2O7(OH)2·H2O) can be floated from quartz and that smithsonite (ZnCO3) can be floated from calcite. However, when dodecylamine, which is a common collector reported in literature for the flotation of nonsulfide zinc minerals, was used as collector, no significant difference between nonsulfide zinc minerals and gangue minerals was observed at any pH value. Initial evaluation suggests that potassium lauryl phosphate is effective at low concentration and may be a promising collector for zinc oxide mineral flotation. © 2016 TAPPI Press. All rights reserved.",,20182405313760,,"Wang, X. (1); Miller, J.D. (1); Wang, Z. (1); Jian, S. (2); Song, T. (2); Liang, Y. (2) ","(1) Department of Metallurgical Engineering, University of Utah, Salt Lake City; UT, United States (2) Yunnan Metallurgical Group Co., Ltd. (CYMCO) Technology Center, Kunming; Yunnan, China ",,"482.2 Minerals - 504.3 Heavy Metal Mines - 533.1 Ore Treatment - 802.3 Chemical Operations - 804.2 Inorganic Compounds - 931.2 Physical Properties of Gases, Liquids and Solids",135047.0,"September 11, 2016 - September 15, 2016","Quebec City, QC, Canada","28th International Mineral Processing Congress, IMPC 2016",Calcite - Contact angle - Deposits - Flotation - II-VI semiconductors - Ores - Oxide minerals - Rare earths - Silicates - Sulfur compounds - Zinc deposits - Zinc ore treatment - Zinc oxide - Zinc sulfide,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Miller, J.D.(jan.miller@utah.edu) ",,Engineering Village,Compendex,Conference article (CA),,"Number: DE-FG03-93ER14315, Acronym: DOE, Sponsor: U.S. Department of Energy; Number: -, Acronym: CSGB, Sponsor: Chemical Sciences, Geosciences, and Biosciences Division; Number: -, Acronym: BES, Sponsor: Basic Energy Sciences; ","Funding for this research by the Division of Chemical Sciences, Geosciences, and Biosciences, Office of Basic Energy Sciences of the U.S. Department of Energy through Grant No. DE-FG03-93ER14315 is gratefully acknowledged. Funding and participation from the Yunnan Metallurgical Group Co., Ltd. (CYMCO) Technology Center, Kunming, Yunnan, China should be also acknowledged.",9781926872292.0,,,2016,English,Potassium compounds,IMPC 2016 - 28th International Mineral Processing Congress,24.0,,1 of 1,2016,"Canadian Institute of Mining, Metallurgy and Petroleum",IMPC 2016 - 28th International Mineral Processing Congress,HATCH,Flotation of zinc oxide minerals with potassium lauryl phosphate,,Cationic collectors - Common collectors - Flotation technique - Lauryl phosphate collector - Low concentrations - Microflotation - Processing technologies - SFVS,2016-September
