Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Analysis of agricultural droughts in Yunnan using water demand and supply ratio and storage coefficient","20144000081916","","Fu, Hao (1); Yang, Xiao-Liu (1) ","(1) College of Urban and Environmental Sciences, Peking University, Beijing; 100871, China ","Yang, Xiao-Liu ","Shuili Xuebao/Journal of Hydraulic Engineering","Shuili Xuebao","","China Water Power Press","45","8","991-996 and 1003","August 1, 2014","","","","2014","Chinese","05599350","","","10.13243/j.cnki.slxb.2014.08.013","","","","","","SLHPBI","Journal article (JA)","A regional agricultural water demand and supply ratio (RA) and a reservoir storage coefficient (C) were defined for analyzing the droughts in Yunnan province during 2006-2010. It is identified that unbalance between water supply and demand more often occurs in April than in other months. Rational reservoir regulation can ensure the water demanded by main crops during dry season. While annual rainfall is insufficient, 10 cities among 16 in the province are in danger of drought. The drought in 2006 seems the same as that in 2010, but the latter is more dangerous than the former. RAand C can be used to analyze drought and guide regional water resources planning.",,"Reservoirs (water)","Agriculture - Drought - Economics - Water resources - Water supply","Agricultural drought - Regional water resources - Reservoir regulations - Reservoir storage - Storage coefficient - Water demand and supply - Water supply and demands - Yunnan","441.2 Reservoirs - 444 Water Resources - 446.1 Water Supply Systems - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Water footprint characteristic of less developed water-rich regions: Case of Yunnan, China","20182105236270","","Qian, Yiying (1); Dong, Huijuan (1); Geng, Yong (1, 2, 3); Zhong, Shaozhuo (1); Tian, Xu (1); Yu, Yanhong (4); Chen, Yihui (4); Moss, Dana Avery (5) ","(1) School of Environmental Science and Engineering, Shanghai Jiao Tong University, Shanghai; 200240, China (2) China Institute of Urban Governance, Shanghai Jiao Tong University, Shanghai; 200240, China (3) Shanghai Institute of Pollution Control and Ecological Security, Shanghai; 200092, China (4) Yunnan Key Laboratory of Pollution Process and Management of Plateau Lake-Watershed, Yunnan Institute of Environmental Science, Kunming; 650034, China (5) Department of Geography, Faculty of Environmental Studies, University of Waterloo, 200 University Avenue West, Waterloo; Ontario; N2L 3G1, Canada ","Geng, Yong(ygeng@sjtu.edu.cn) ","Water Research","Water Res.","","Elsevier Ltd","141","","208-216","15 September 2018","","","","2018","English","00431354","18792448","","10.1016/j.watres.2018.03.075","","","","","","WATRAG","Journal article (JA)","Rapid industrialization and urbanization pose pressure on water resources in China. Virtual water trade proves to be an increasingly useful tool in water stress alleviation for water-scarce regions, while bringing opportunities and challenges for less developed water-rich regions. In this study, Yunnan, a typical province in southwest China, was selected as the case study area to explore its potential in socio-economic development in the context of water sustainability. Both input-output analysis and structural decomposition analysis on Yunnan's water footprint for the period of 2002–2012 were performed at not only an aggregated level but also a sectoral level. Results show that although the virtual water content of all economic sectors decreased due to technological progress, Yunnan's total water footprint still increased as a result of economic scale expansion. From the sectoral perspective, sectors with large water footprints include construction sector, agriculture sector, food manufacturing & processing sector, and service sector, while metal products sector and food manufacturing & processing sector were the major virtual water exporters, and textile & clothing sector and construction sector were the major importers. Based on local conditions, policy suggestions were proposed, including economic structure and efficiency optimization, technology promotion and appropriate virtual water trade scheme. This study provides valuable insights for regions facing “resource curse” by exploring potential socio-economic progress while ensuring water security. © 2018 Elsevier Ltd","46","Economic analysis","Commerce - Construction industry - Economic and social effects - Manufacture - Structural optimization - Water management","Governance - Input output analysis - Structural decomposition analysis - Water footprint - Yunnan","405 Construction Equipment and Methods; Surveying - 537.1 Heat Treatment Processes - 911.2 Industrial Economics - 921.5 Optimization Techniques - 971 Social Sciences",,"Number: 2017ZX07202, Acronym: -, Sponsor: -; Number: 17XD1401800, Acronym: -, Sponsor: -; Number: 16JCCS04, Acronym: SJTU, Sponsor: Shanghai Jiao Tong University; Number: 71325006, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 71704104, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 71690241, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 71603165, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was sponsored by the Major Science and Technology Program for Water Pollution Control and Treatment ( 2017ZX07202 ), Open Fund Program of Yunnan Key Laboratory, the National Natural Science Foundation of China ( 71603165 , 71690241 , 71325006 , 71704104 ), the Fundamental Research Funds for the Central Universities through Shanghai Jiao Tong University ( 16JCCS04 ), the Shanghai Municipal Government fund ( 17XD1401800 ), Yunnan Research Academy of Environmental Science .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Major Bimodal Volcanic Rocks and Associated Mineral Resources in Yunnan Province, Southwest China","20175204577884","","Wen, Ligang (1, 2); Zeng, Pusheng (1, 2); Dai, Yanjuan (2); Wang, Zhaoquan (1, 2) ","(1) School of Earth Sciences and Resources, China University of Geosciences, Beijing; 100083, China (2) National Research Center for Geoanalysis, Beijing; 100037, China ","Zeng, Pusheng(zengpusheng@vip.sohu.com) ","Dizhi Xuebao/Acta Geologica Sinica","Dizhi Xuebao/Acta Geol. Sinica","","Geological Society of China","91","11","2493-2520","November 15, 2017","","","","2017","Chinese","00015717","","","","","","","","","","Journal article (JA)","Bimodal volcanic rocks are widely distributed in Yunnan Province. They occurred throughout the whole process of geological development and evolution in Yunnan Province and the Sangjiang area in southwestern China, forming a variety of special minerals resources. Based on previous research results, this paper summarized the temporal and spatial distribution of bimodal volcanic rocks and associated minerals resources, and discussed the geotectonic setting about the bimodal volcanic rocks in Yunnan. The process of geologic evolution history in Yunnan can be summarized below: (1) Proterozoic: the Mesoproterozoic alkaline volcanic rocks series and spilite-keratophyre association of Dahongshan Group, Hekou Group, Dongchuan Group, Kunyang Group, etc. in central Yunnan, and also the Neoproterozoic bimodal volcanic rocks, which is equivalent to the Suxiong Formation; (2) Meishucunian stage of early Cambrian: basalt and tuff in the western margin of the Yangtze Block; (3) Middle-Late Silurian: spilite-quartz keratophyre assemblage of the Da'aozi Formation (S2+3d) in the Dapingzhang copper-polymetallic ore district in Pu'er, western Yunnan; (4) Middle-Late Devonian: clasolite of Linong Formation (D2+3l), intercalated with bimodal volcanic rocks and carbonate rocks, in Yangla, Deqin, northwest Yunnan; (5) Early Triassic: Pantiange Formation (T1p) rhyolite and Cuiyibi Formation (T1c) basalt (spilite or altered basalt) in the Jinshajiang orogen, and Eryuan Group bimodal volcanic rocks in western Yunnan; (6) Middle-Late Triassic: Manghuai Formation (T2m) rhyolite, rhyolitic dacite, rhyolitic pyroclastic rock, minor basalt, and Xiaodingxi Formation (T3x) basaltic pyroclastic rock and Manghuihe (T3mh) basalt rhyolitic pyroclastic rock; and (7) Paleogene: Jianchuan Formation (E2j) alkali basalt and potassic volcanic breccia constitute seven episodes of bimodal volcanic rocks, characteristic of various geotectonic settings and related special minerals. These bimodal volcanic rocks can be used as an iconic geological phenomenon of key geological evolution and metallogenic events in Yunnan and the whole Sanjiang area of southwestern China, which is important evidence for studying the geotectonic setting and mineralization. © 2017, Editorial Office of Journal of Dalian Maritime University. All right reserved.","189","Volcanoes","Basalt - Economic geology - Geochronology - Granite - Mineral resources - Mineralogy - Ores","Geological development - Geological evolution - Geological phenomenon - Mineralization - Pyroclastic rocks - Tectonic settings - Temporal and spatial distribution - Yunnan province","481.1 Geology - 482 Mineralogy - 484 Seismology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemistry characteristics of late Triassic potash-rich volcanic rocks and their origins in southern Lancangjiang belt, western Yunnan Province, China","20122515138460","","Zhang, Cai-Hua (1, 2); Liu, Ji-Shun (1, 2); Zhang, Hong-Pei (1, 2); Liu, Wei-Ming (1, 2); Wu, Zi-Cheng (1, 2) ","(1) Key Laboratory of Metallogenic Prediction of Nonferrous Metals, Ministry of Education, Central South University, Changsha 410083, China (2) School of Geosciences and Info-Physics, Central South University, Changsha 410083, China ","Zhang, C.-H.(zhangcai_hua@163.com) ","Zhongguo Youse Jinshu Xuebao/Chinese Journal of Nonferrous Metals","Zhongguo Youse Jinshu Xuebao","","Central South University of Technology","22","3","669-679","March 2012","","","","2012","Chinese","10040609","","","","","","","","","ZYJXFK","Journal article (JA)","The late Triassic potash-rich volcanic rocks in the southern Lancangjiang belt are characterized by low-Si (SiO250.47%-52.99%), high-alkali (K2O+Na2O 5.66%-9.39%) and high-K (K2O 2.8% on average), and belong to potassium-high calc-alkali basalt-shoshonite series. The rocks are also enriched in large ion lithophile element (LILE), light rare earth elements (LREE), and depleted in high field strength elements (HFES), non or slightly negative Eu anomaly (δ(Eu)=0.85-1.09) in the abundance. The results show that the rocks have relatively low143Nd/144Nd ratios (0.512 511-0.512 569) and relatively high initial87Sr/86Sr ratios (0.707 01-0.710 56), as well as negative Ε(Nd) values of -2.48--1.27 (-1.94 on average). Their characteristics of trace elements and Sr-Nd isotopic composition are consistent with EMII, indicating that the source consists of crust-mantle mixed material, which is inevitably related to the subduction eastward of Tethyan Lancangjiang oceanic plate. Based on the geochemistry, it is suggested that the primary magma was likely generated from partial melting of spinel harzburgitic source metasomatized by Paleo-Tethyan subduction-related fluids.","40","Volcanic rocks","Analytical geochemistry - Binary alloys - Exploratory geochemistry - Isotopes - Neodymium alloys - Potash - Rare earths - Silica - Sodium compounds - Strontium alloys - Structural geology - Trace elements - Volcanoes","Potash-rich volcanic rocks - Southern Langcangjiang belts - Sr-Nd isotopes - Triassic - Western yunnan","481.1 Geology - 481.2 Geochemistry - 482.2 Minerals - 484 Seismology - 547.2 Rare Earth Metals - 549.2 Alkaline Earth Metals - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Orientation-related deformation mechanisms of naturally deformed amphibole in amphibolite mylonites from the Diancang Shan, SW Yunnan, China","20102413014239","","Cao, Shuyun (1, 2); Liu, Junlai (2); Leiss, Bernd (1) ","(1) Geoscience Centre, University of Göttingen, Göttingen 37077, Germany (2) State Key Laboratory of Geological Processes and Mineral Resources (GPMR), China University of Geosciences, Beijing 100083, China ","Cao, S.(scao@gwdg.de) ","Journal of Structural Geology","J. Struct. Geol.","","Elsevier Ltd","32","5","606-622","May 2010","","","","2010","English","01918141","","","10.1016/j.jsg.2010.03.012","","","","","","","Journal article (JA)","Sheared amphibolite rocks from Diancang Shan high-grade metamorphic complex along the Ailao Shan-Red River shear zone, southwestern Yunnan, China, show typical mylonitic microstructures. The mylonites are characterized by porphyroclastic microstructures and the ultramylonites are highly lineated with alternating amphibole- and quartzofeldspathic domains. Microstructural analysis and P/T estimation suggest that the amphibole grains in the mylonitic rocks are deformed and dynamically recrystallized at amphibolite facies.In the mylonitic amphibolites, there are two types of amphibole porphyroclasts, i.e. type I ' hard' and type II ' soft' porphyroclasts. They have their [001] crystallographic orientations subnormal and sub-parallel to the stretching lineation of the rocks, respectively. The two types of porphyroclasts show distinct deformation microstructures and sub-microstructures formed by various deformation mechanisms, which contribute in different ways to the generation of the fine-grained matrix. Shape preferred orientation analysis, misorientation analysis of the two types of porphyroclasts and new fine grains around them further prove the generation of the fine grains in matrix from the type II porphyroclasts. The type I ' hard' porphyroclasts are deformed mainly by mechanical rotation, work hardening and intragranular microfracturing. In contrast, the deformation of the type II ' soft' porphyroclasts is mainly attributed to crystalline plasticity, i.e. twinning, dislocation creep and dynamic recrystallization. During the deformation of the type II porphyroclasts, the (100) [001] slip system plays a dominant role during deformation and grain size reduction of amphibole. Twinning along the active (100) slip system, in combination with dislocation creep (gliding and climbing) governs the nucleation of subgrains and formation of dynamically recrystallized fine grains, a process here named Twinning Nucleation Recrystallization. © 2010.","67","Twinning","Creep - Crystal microstructure - Dynamic recrystallization - Metamorphic rocks - Nucleation - Strain hardening - Structural geology","Crystalline plasticity - Crystallographic orientations - Deformation microstructure - Diancang Shan of Yunnan - Fabric analysis - Microstructural analysis - Mylonites - Shape preferred orientations","481.1 Geology - 531.1 Metallurgy - 537.1 Heat Treatment Processes - 933.1.1 Crystal Lattice - 933.1.2 Crystal Growth - 951 Materials Science",,"Number: B07011, Acronym: -, Sponsor: -; Number: -, Acronym: CUG, Sponsor: China University of Geosciences, Wuhan; Number: GPMR200837, Acronym: -, Sponsor: -; Number: 40772133, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 90814006, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40872139, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study has received financial support from the National Natural Science Foundation of China ( 90814006, 40872139 and 40772133 ), the 111 Project (B07011) of the Ministry of Education and State Key Laboratory of Geological Processes and Mineral Resources (Grant No. GPMR200837 ). The authors acknowledge Prof. JIN Zhenmin and Dr. XU Haijun from China University of Geosciences at Wuhan for helpful discussions on apart of EBSD data analysis and Prof. Chunming Wu and Prof. Chunjing Wei for kindly help with the amphibolite geothermobarometri data analysis. The manuscript benefited immensely from the constructive reviews of one anonymous reviewer and Manuel Díaz Azpiroz as well as the journal editor Prof. Tom Blenkinsop.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Strengthening the socio-ecological resilience of forest-dependent communities: The case of the Hani Rice Terraces in Yunnan, China","20123515382463","","Gu, Hongyan (1); Jiao, Yuanmei (2); Liang, Luohui (3) ","(1) United Nations University Institute of Advanced Studies (UNU-IAS), Yokohama 220-8502, Japan (2) School of Tourism and Geography Science, Yunnan Normal University, Kunming 650092, China (3) United Nations University Institute for Sustainability and Peace (UNU-ISP), Tokyo 150-8925, Japan ","Gu, H.(gu@ias.unu.edu) ","Forest Policy and Economics","For. Policy Econ.","","Elsevier B.V.","22","","53-59","September 2012","","","","2012","English","13899341","","","10.1016/j.forpol.2012.04.004","","","","","","FPEOAK","Journal article (JA)","The rapid disappearance of traditional agricultural landscapes is a worldwide concern. How to balance the needs between conservation and development has become a major policy issue. Based on a case study of the Hani Rice Terraces - a mosaic agricultural landscape composed of forests, villages, rice terraces and water system in Yunnan, China, this article examines the issues pertaining to tourism development and its impact on the relationship between the Hani Rice Terraces and their custodian communities. It also discusses measures to strengthen the resilience of rural communities to adapt to changing socio-economic conditions. Drawing on a comparison between the Hani Rice Terraces and the Ifugao rice terraces, this article proposes an endogenous development strategy aiming at harnessing tourism for poverty reduction and enhancing community custodianship. © 2012 Elsevier B.V.","26","Forestry","Regional planning","China - Rice terraces - Rural development - Sacred forests - Tourism - Yunnan","403.2 Regional Planning and Development",,"Number: P10788, Acronym: JSPS, Sponsor: Japan Society for the Promotion of Science; Number: ARCP2011-13NMY-Herath, Acronym: APN, Sponsor: Asia-Pacific Network for Global Change Research; ","The first author would like to thank the Japan Society for the Promotion of Science for sponsoring this research under the Grant-in-Aid for Scientific Research ( P10788 ). The co-authors would like to thank the Asia-Pacific Network for Global Change Research ( ARCP2011-13NMY-Herath ) for supporting their field trip. We also wish to thank three anonymous reviewers for their helpful suggestions and Robert Blasiak of UNU-IAS for proofreading the manuscript.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An empirical study of the contribution of adult higher education to economic growth in Yunnan province of China","20144200113559","","Gao, Huimin (1); Zuo, Hongwu (1); Duan, Jian (1) ","(1) Kunming University of Science and Technology, Kunming; Yunnan, China ","Gao, Huimin ","WIT Transactions on Information and Communication Technologies","WIT Trans. Inf. Commun. Tecnol.","Information Technology and Industrial Engineering Research Center; WIT Transactions on Information and Communication Technologies","WITPress","61","","1211-1220","April 1, 2014","","","1 of 1","2014","English","17433517","","9781845649401","10.2495/MIIT131522","","2013 International Conference on Management Innovation and Information Technology, MIIT 2013","December 7, 2013 - December 8, 2013","Wuhan, China","108117","","Conference article (CA)","In order to verify contribution rate of the adult higher education in Yunnan Province to economic growth, based on the Cobb Douglas production function model, using the macro data of economic and education of Yunnan, this paper calculates contribution rate of adult higher education in Yunnan Province to its economic growth. The research result shows that contribution rate to economic growth goes low. However, certification of adult higher education still plays an important role in individual development, driven by these nonmonetary benefits of adult higher education, on-the-job learner with low-level degree prefer to choose the form of adult higher education. © 2014 WIT Press.","4","Education","Economics","Cobb-Douglas production function - Contribution rate - Economic growths - Empirical studies - Higher education - Research results - Yunnan - Yunnan province","901.2 Education - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemistrical features of Laojunshan granite and its evolution in East-south Yunnan, China","20130616001082","","Li, Yingshu (1); Cai, Yan (2); Chen, Jiaojiao (1); Chen, Nan (1); Wang, Lun (1); Zhang, Yike (1); He, Daqing (1) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming, 650093, China (2) Faculty of City, Kunming University of Science and Technology, Kunming, 650093, China ","Li, Y.(gzsgjhclys@126.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","634-638","1","3375-3379","2013","Advances in Chemical, Material and Metallurgical Engineering","","","2013","English","10226680","","9783037855898","10.4028/www.scientific.net/AMR.634-638.3375","","2012 2nd International Conference on Chemical, Material and Metallurgical Engineering, ICCMME 2012","December 15, 2012 - December 16, 2012","Kunming, China","95231","","Conference article (CA)","Laojunshan granite is located in east-south Yunnan. Study on the geology, petrochemistry, microelement and rare earth elements of the Laojunshan granite indicates that the Laojunshan granite is a complex granite, which is divided into three epoch and various metasomatism within the granite is visible. The content of titanium, iron, magnesium is low and the content of silicon, aluminium, potassium is high in the granite, reflecting the granite is a granite of saturated-aluminium series and speculating mother rock of the granite is mud, psammitic rock. Formation of the granite is related with geological development of Laojunshan area, sedimenting in form of subside in the pre-Caledonian epoch, upheavaling in the late-Caledonian epoch and arising orogeny from the Indo-Chinese epoch to the Yannshan epoch, and undergoing sedimention, regional metamorphism, migmatization, granitization and remelting magma emplacement. Because Laojunshan granite possesses features of autochthonous and parautochthonous transformation type granite, origin of Laojunshan rock body belongs to continental crust alterational and metasomatic remelting granite. © (2013) Trans Tech Publications, Switzerland.","13","Granite","Aluminum - Geochemistry - Magnesium - Metallurgical engineering - Mineralogy - Petrology - Potassium - Rare earth elements - Remelting - Titanium - Trace elements","China - Continental crusts - Evolution - Geological development - Granitization - Laojunshan in East-south Yunnan - Magma emplacement - Microelements - Mother rocks - Rock bodies - Sedimenting - Yunnan , China","549.2 Alkaline Earth Metals - 549.1 Alkali Metals - 547.2 Rare Earth Metals - 545.3 Steel - 542.3 Titanium and Alloys - 542.2 Magnesium and Alloys - 541.1 Aluminum - 531 Metallurgy and Metallography - 482 Mineralogy - 481.2 Geochemistry - 481.1.2 Petrology (Before 1993, use code 482)",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Influencing factor Analysis of collecting capability over a year by the panel typed solar collector for seven representative cities in Yunnan, China","20193707437807","","Yang, Ming (1); Enshen, Long (1); Kuo, Xu (2); Yanru, Li (1); Yin, Zhang (1); Zhenghao, Jin (2) ","(1) College of Architecture and Environment, Sichuan University, Chengdu, China (2) Institute for Disaster Management and Reconstruction, Sichuan University, Chengdu, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","Brinell Vision; Chendu Quality Inspection; Couch Perry Wilkes; Evoenergy; Yorkshire Photonic Technology Ltd; Zhongli Talesun Solar","Institute of Physics Publishing","556","1","","August 19, 2019","9th Edition of the International SOLARIS Conference","","1 of 1","2019","English","17578981","1757899X","","10.1088/1757-899X/556/1/012045","012045","9th International SOLARIS Conference","August 30, 2018 - August 31, 2018","Chengdu, China","151203","","Conference article (CA)","Solar energy is abundant in Yunnan province, China, and buildings in this area have a surging demand for heat supply over winter season. Targeting on seven representative cities in Yunnan, this paper analyzed the optimum tilt and azimuth angles of the panel typed solar collector within these cities over a year by applying the orthogonal method, and an improved mathematical model in calculating the collected solar radiation was also developed, and the influence of the varying tilt and azimuth angles on the solar heat collection was also analyzed. Results showed that, the collected solar radiation varied in a parabola curve and was slowly decreasing after the azimuth was reaching 0° and the dip angle was approaching the location latitude, when the azimuth angle was varying from -65° to 65° and the dip angle was increasing from 0° to 90°, respectively. And among these cities, the optimum dip angles were ranging from 29° to 33° and the optimum azimuth angles were ranging from -18° to 5°, respectively, which were within the recommended ranges of the local standard. However, the maximum decrease rates of the captured solar radiation can amount to 12.15% and 2.8%, respectively, if choosing the tilt and azimuth angles of the panel typed solar collector randomly. © Published under licence by IOP Publishing Ltd.","11","Solar collectors","Solar energy - Solar radiation","Azimuth angles - Dip angle - Heat collection - Orthogonal method - Parabola curves - Winter seasons - Yunnan , China - Yunnan province","657.1 Solar Energy and Phenomena",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The flotation test of collophanite in Yunnan Province","20134516950532","","Xiao, Hong (1); Liu, Quan Jun (1); Jiang, Mei Guang (1); Yang, Jun Long (1) ","(1) Kunming University of Science and Technology, Kunming, China ","Liu, Q.(kmliuqj@sina.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","813","","259-262","2013","Metallurgy Technology and Materials II","","","2013","English","10226680","","9783037858530","10.4028/www.scientific.net/AMR.813.259","","2nd International Conference on Metallurgy Technology and Materials, ICMTM 2013","June 25, 2013 - June 26, 2013","Hong Kong, China","100421","","Conference article (CA)","The samples belong to low grade siliceous collophanite. Main useful mineral is cellophane and main gangue minerals are quartz, calcite and dolomite. The grade of P2O5 is 21.98% and the grade of SiO2 is 31.34%. Through the straight-reverse flotation, the phosphate concentrates with a grade of 27.68% and the recovery of 83.04% were obtained. The content of MgO is 0.92% in phosphate concentrates. © (2013) Trans Tech Publications, Switzerland.","3","Flotation","Metallurgy - Quartz","Flotation tests - Gangue minerals - Low grade - MgO - Siliceous collophanite - Yunnan province","482.2 Minerals - 531.1 Metallurgy - 533.1 Ore Treatment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
