Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article or Paper number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Processes underlying 50 years of local forest-cover change in Yunnan, China","20150400456764","","Frayer, Jens (1); Müller, Daniel (1, 2); Sun, Zhanli (1); Munroe, Darla K. (3); Xu, Jianchu (4) ","(1) Leibniz Institute of Agricultural Development in Transition Economies (IAMO), Theodor-Lieser-Str. 2, Halle (Saale); 06120, Germany (2) Geography Department, Humboldt-Universität zu Berlin, Unter den Linden 6, Berlin; 10099, Germany (3) Department of Geography, Ohio State University, 1036 Derby Hall, 154 N. Oval Mall, Columbus; OH; 43210, United States (4) World Agroforestry Centre, East Asia Node, Lanhei Road 132#, Heilongtan, Kunming, Yunnan; 650201, China ","Müller, Daniel(mueller@iamo.de) ","Forests","Forests","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","5","12","3257-3273","2014","","","2014","English","","19994907","","","10.3390/f5123257","","","","","","","Journal article (JA)","","Recognition of the importance of forests for local livelihoods, biodiversity and the climate system has spurred a growing interest in understanding the factors that drive forest-cover change. Forest transitions, the change from net deforestation to net reforestation, may follow different pathways depending on a complex interplay of driving forces. However, most studies on forest transitions focus on the national level rather than the local level. Here, case studies from 10 villages in Yunnan, China, are used to clarify the complex interactions among various pathways of forest transitions, derive insights on the underlying drivers that shaped the forest transitions, and determine the importance of changes in drivers over time. The results demonstrate that China's recent forest transition was caused by a range of interrelated pathways that were mediated by local circumstances. The degradation of forest ecosystem services caused by rampant deforestation and forest degradation created a scarcity of forest products and triggered state-initiated afforestation efforts, particularly in the 1990s, which continue to be important. More recently, economic development concomitant with smallholder intensification spurred reforestation, while the importance of state forest policy declined. The complexity of local land-use changes demonstrates the difficulty of identifying distinct transition pathways and calls for a more diverse approach that recognizes the interdependence of local processes. © 2014 by the authors.","54","Climate change","Biodiversity - Deforestation - Economics - Ecosystems - Land use - Reforestation","Agroforestry - China - Economic development - Forest cover change - Forest degradation - Forest transition - Land-use change - State forest policy","403 Urban and Regional Planning and Development - 443.1 Atmospheric Properties - 454 Environmental Engineering - 454.3 Ecology and Ecosystems - 971 Social Sciences",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Isotopic indicators of source and fate of particulate organic carbon in a karstic watershed on the Yunnan-Guizhou Plateau","20133716727092","","Jiang, Yongbin (1, 3); Ji, Hongbing (1, 2) ","(1) Department of Environment Engineering, Civil and Environmental Engineering School, University of Science and Technology Beijing, Beijing 100083, China (2) State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550002, China (3) Department of Environment Engineering, School of Construction Engineering, Anhui University of Technology, Maanshan 243002, China ","Ji, H.(hongbing_ji@163.com) ","Applied Geochemistry","Appl. Geochem.","","Elsevier Ltd","36","","153-167","September 2013","","","2013","English","08832927","","","","10.1016/j.apgeochem.2013.06.005","","","","","","APPGEY","Journal article (JA)","","The studied watershed is a Karst-dominated area on the Yunnan-Guizhou Plateau. The local karstic environment might cause the biogeochemical processes involving POC to be different from those in non-karstic regions. Isotopic composition of particulate organic C (POC) and total N (TN) (δ13CPOC, δ15NTN) and C/N ratios (atomic) were used to identify sources and fates of POC in suspended particulate matter (SPM) and sediments over space and time in the karstic watershed. Distributions of POC in SPM and sediments show great seasonal and spatial variations. The δ13CPOCin SPM ranges from -27.4 to -19.0I and -33.4 to -22.3I in summer and winter, respectively. The C/N ratios in SPM in both seasons are lower than 12 and most are around 7. The surface and core sediments have lower δ13CPOCbut higher C/N ratios than those of SPM. According to source analysis using C/N ratios, δ13CPOCand δ15NTN, the major source for POC in SPM is phytoplankton, while POC in surface sediments are attributed to land-derived and aquatic sources. Core sediments in the region affected by less anthropogenic impact have a similar POC source to surface sediment. However, in regions with intense deforestation and farming, land-derived sources may be major contributors to POC in core sediments. Calculated contributions from these sources to POC in the riverine-lacustrine system confirm the above observation. The flux and export rate of POC in SPM are 7.85×108ga-1and 492mgm-2a-1, respectively. In contrast to some world rivers, POC output from the karstic watershed is mainly from in-stream photosynthesis. Land-derived POC is merely redistributed in river and lake beds and sediments in the karstic riverine-lacustrine system act as an organic C pool. The observed features are likely due to intense anthropogenic impact and particular geomorphology of the karstic environment. © 2013 Elsevier Ltd.","74","Suspended sediments","Deforestation - Isotopes - Organic carbon - Particles (particulate matter) - Surficial sediments - Watersheds","Anthropogenic impacts - Biogeochemical process - Isotopic composition - Lacustrine systems - Particulate organic carbon - Spatial variations - Surface sediments - Suspended particulate matters","444.1 Surface Water - 483 Soil Mechanics and Foundations - 804.1 Organic Compounds - 951 Materials Science",,"Number: 2013CB956700, Acronym: -, Sponsor: -; Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 41073096, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40473051, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors are most grateful to Profs R. Fuge and M. Kersten, and two anonymous reviewers for their helpful insights, which contributed to an obvious improvement of the manuscript. Special thanks to Prof. R. Fuge is expressed here for correcting the English writing. We thank Prof. H.C. Piao, L. An, L. Geng and G. Wang for their help on C/N, organic carbon and nitrogen isotope analysis. We are indebted to Prof. C.Q. Liu, Prof. S.J. Wang and Prof. X.B. Zhang for discussion and suggestions on this study. This work was jointly supported by the National Natural Science Foundation of China ( 41073096 and 40473051 ), National Key Research Program of China ( 2013CB956700 ) and the Hundred Talents Program of the Chinese Academy of Sciences.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Observation and research on gravitational erosion process of bank slopes in headstream area of Jiangjia Ravine, Yunnan, China","2005329290893","","Feng, Zi-Li ; Cui, Peng ; Chen, Xiao-Qin ; Chen, Jie ; Zhu, Yin-Yan ","(1) Institute of Mountain Hazards and Environment, Chinese Academy of Sciences, Chengdu 610041, China ","","Wuhan University Journal of Natural Sciences","Wuhan Univ J Nat Sci","","Wuhan University, Wuhan, China","10","4","713-720","July 2005","","","2005","English","10071202","","","","","","","","","","WHTHAZ","Journal article (JA)","","To reveal the gravitational erosion process in the headstream area of Jiangjia Ravine, continuous observation was conducted during the rainy season. The observation and research show that the change of water content of the bank slope lags the precipitation process, the infiltration water concentrates mainly in the shallow layer of the bank slope, also the bank slope was unsaturated, the floods and debris flows in the gully down cut the gully bed, and scour the foot of the bank slope. These results in many collapses, which is the main type of gravitational erosion process, and it provides large amounts of loose solid materials for the eruption of debris flows.","18",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Yunnan haba snow mountain ecological safety evaluation based on the landscape ecological pattern","20141117442538","","Li, Hui (1); Meng, Fan Tao (1); Li, Zhi Ying (1); Wang, Cong Cong (1); Li, Pan (1); Jing, Jing (1); Li, Guo Yan (2) ","(1) College of Urban Construction and Administration, Yunnan University, Kunming, China (2) Kunming University of Science and Technology, Kunming, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","","Trans Tech Publications","522-524","","537-540","2014","Environmental Protection and Sustainable Development","","2014","English","16609336","16627482","","9783038350224","10.4028/www.scientific.net/AMM.522-524.537","","2013 2nd International Conference on Sustainable Energy and Environmental Engineering, ICSEEE 2013","December 28, 2013 - December 29, 2013","Shenzhen, China","102944","","Conference article (CA)","","Land ecological security research has gradually become concerned field on global. Using on the Haba Snow Mountain as an example try to discuss the evaluation of ecological security based on change of the landscape ecological pattern in the paper. In GIS, RS and GPS support and accordance with the principles of landscape ecology and using new grid map method has been 1993 and 2006 Haba Snow Mountain ecological safety evaluation and space differentiation. There are temperate coniferous forest, grassland, sclerophyll broad-leaved forest, warm coniferous forest, water area, residential land, semi-humid evergreen broad-leaved forest, ice and snow land nine landscape types, and temperate coniferous forest and grassland are dominant landscape in the study area, both area has accounted about 67% of the total area. The results show that from 1993 to 2006 the whole landscape pattern has changed less in the area. Land ecological security level space differentiation is very obvious. Ecological security level high altitude area is superior to low altitude area, the core area is superior to the edge area, north area is superior to the southern area. Land ecological security in the study area whole is in good level. From 1993 to 2006 years land ecological security level has declined in the area. Research on ecological safety planning to provide basis for ecological safety planning and for similar high mountain canyon area also has reference value. © (2014) Trans Tech Publications, Switzerland.","5","Ecology","Forestry - Landforms - Landing - Snow","Broad-leaved forests - Coniferous forests - Ecological safety - Ecological safety evaluations - Ecological security - Evergreen broad-leaved forests - Haba snow mountain - Landscape pattern","443.3 Precipitation - 454.3 Ecology and Ecosystems - 481.1 Geology - 656.1 Space Flight - 821.0 Woodlands and Forestry",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The research on the geoheritage value and tourism productization of yunnan chengjiang fauna national geopark of China","20191106630838","","Bai, Guangshun (1); Zhang, Shitao (1); Yang, Xuemei (1, 2) ","(1) Kunming University of Science and Technology, China (2) Yunnan Gaozheng Co., Ltd., China ","","Proceedings of the 6th Academic Conference of Geology Resource Management and Sustainable Development","Proc. Acad. Conf. Geol. Resour. Manag. Sustain. Dev.","Hubei Zhongke Geology and Environment Technology Institute; School of Energy Resources, China University of Geosciences","Aussino Academic Publishing House","","","742-747","February 10, 2019","Proceedings of the 6th Academic Conference of Geology Resource Management and Sustainable Development","1 of 1","2019","English","","","","9781921712678","","","6th Academic Conference of Geology Resource Management and Sustainable Development, GRMSD 2018","December 27, 2018 - December 28, 2018","Beijing, China","145283","","Conference article (CA)","","In this paper, in order to solve the problem of how to effectively develop and utilize high-quality geological tourism resources, put forward the idea of tourism productization for Chengjiang Fauna Geopark geoheritage science popularization as Investigation- Evaluation - Excavation - Propagation. Investigation discovered there are rich and various types of geoheritages in Chengjiang Fauna Geopark, it includes five major categories, seven categories and nine landscape subclasses of geoheritage landscape, about 200 species and thousands fossil specimens had been described, and which are finely preserved. Chengjiang Fauna fossils and the fossil carrier strata have the extending scientific, aesthetic value, which can be the core competitiveness in the transformation into tourism products, namely the science popularization tourism is the major tourist product type of the Chengjiang Fauna Geopark. Proposed the method on analysis the core competitiveness of geoheritages from the aspects of shape, color and quality, and dissected the tourism demand, product competitiveness and convertibility. Putted forward the Audience analysis- Carrier and media selection- Formulate communication strategies propagation process and the implementation methods and strategies, proposed to set up the overall spatial layout of Museum showcasing and explanation oriented, coupled with former address exhibition, establish Science Popularization Exhibition Boards + Smart Guide Platform comprehensive narration framework and media commentary system, and implement five communication strategies, which would offer practical guidance to the construction of Chengjiang Fauna Geopark. 2019 Aussino Academic Publishing House.","6","Animals","Biological materials preservation - Competition - Exhibitions - Geology - Planning - Quality control - Resource allocation - Sustainable development","Academic publishing - Chengjiang - Communication strategy - Core competitiveness - Geoheritage value - Product competitiveness - Propagation process - Tourism productization","461.2 Biological Materials and Tissue Engineering - 481.1 Geology - 911.2 Industrial Economics - 912.2 Management - 913.3 Quality Assurance and Control",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Genesis of the superlarge Luziyuan Zn-Pb-Fe(-Cu) distal skarn deposit in western Yunnan (SW China): Insights from ore geology and C-H-O-S isotopes","20191406732919","","Xu, Rong (1); Li, Wen-Chang (1, 2); Deng, Ming-Guo (1); Zhou, Jia-Xi (3); Ren, Tao (1); Yu, Hai-Jun (4) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Yunnan, Kunming; 650093, China (2) Chengdu Center, China Geological Survey, Sichuan, Chengdu; 610081, China (3) School of Resource Environment and Earth Sciences, Yunnan University, Yunnan, Kunming; 650504, China (4) MLR Key Laboratory of Sanjiang Metallogeny & Resources Exploration and Utilization, Yunnan Geological Survey, Yunnan, Kunming; 650051, China ","Li, Wen-Chang(lwcyndd@163.com) ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","107","","944-959","April 2019","","","2019","English","01691368","","","","10.1016/j.oregeorev.2019.03.015","","","","","","","Journal article (JA)","","The superlarge Luziyuan Zn-Pb-Fe(-Cu) polymetallic deposit is located in the southern Baoshan Block of western Yunnan (SW China). The deposit contains over 4.2 million tonnes (Mt) of contained Zn + Pb metal reserves at 5.09% Zn and 2.40% Pb, and 301 Mt of Fe ore resources at 30.02% TFe. The stratiform or vein-type orebodies are hosted in the Upper Cambrian Shahechang Formation. Similar to many major Zn skarn deposits worldwide, the Luziyuan deposit shows a distinct metal zonation pattern with depth, which correlates with the different calc-silicate mineral assemblages: From Zn-Pb (sphalerite + galena) ores in marble, through Zn-Pb-Fe-Cu (sphalerite + galena + magnetite ± pyrite + chalcopyrite) ores in pyroxenoid (± clinopyroxene)-bearing skarn, to Fe-Cu (magnetite ± pyrite + chalcopyrite) ores in garnet (± clinopyroxene ± pyroxenoid)-bearing skarn. The syn-ore calcite has δ13CPDB and δ18OSMOW values of −1.0 to +0.9‰ and +10.3 to +12.7‰ respectively, suggestive of isotopic affinities to both granite and marble. δDH2O values of the fluid inclusions in the pre-ore rhodonite and the syn-ore quartz range from −81.7 to −68.8‰ and −76.6 to −56.3‰ respectively; whilst the calculated δ18OH2O values of the rhodonite, syn-ore calcite, and quartz are of +5.4 to +6.1‰ +1.4 to +3.8‰ and −5.3 to −2.0‰ respectively. This indicates that the ore-forming fluids were sourced from both magmatic and meteoric waters. δ34S values of the syn-ore sulfides (+8.9 to +12.0‰) are slightly higher than those of typical crustal-derived granites (δ34S = −4.0 to +9.0‰), but are significantly lower than those of Cambrian seawater sulfates. This indicates that the source of S is correlated with both granite and seawater sulfates. We propose that the Luziyuan Zn-Pb-Fe(-Cu) polymetallic mineralization occurred in a distal skarn system, and was genetically linked to concealed Early Cretaceous granite intrusions. © 2019 Elsevier B.V.","154","Ores","Binary alloys - Calcite - Copper compounds - Deposits - Granite - Iron alloys - Isotopes - Lead alloys - Magnetite - Marble - Mineralogy - Ore deposit geology - Ore deposits - Quartz - Seawater - Silicate minerals - Sulfur compounds - Uranium alloys - Zinc - Zinc alloys - Zinc sulfide","Baoshan Block (SW China) - Distal skarn - Fluid sources - Luziyuan - Polymetallic - S isotopes","471.4 Seawater, Tides and Waves - 481.1 Geology - 482 Mineralogy - 482.2 Minerals - 545.2 Iron Alloys - 546.1 Lead and Alloys - 546.3 Zinc and Alloys - 547 Minor, Precious and Rare Earth Metals and Alloys - 804.2 Inorganic Compounds",,"Number: 41363001, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 2013HA001, Acronym: -, Sponsor: Leading Talents Program of Guangdong Province; Number: 2015CB452605, Acronym: -, Sponsor: -; ","This research was financially supported by the National Natural Science Foundation Project of China ( 41363001 and 41762009 ), the State Key Fundamental Research Development Program ( 2015CB452605 and 2014CB440905 ), and the Science and Technology leading talent training program of Yunnan Province ( 2013HA001 ). We sincerely thank Prof. Guochun Zhao and Dr. Yigui Han (University of Hong Kong), and Drs. Chunkit Lai (Universiti Brunei Darussalam) and Jingjing Zhu (Institute of Geochemistry, CAS) for the fruitful discussion. We are grateful to the constructive reviews and comments from Profs. Franco Pirajno (Editor-in-Chief) and Huayong Chen (Associate Editor), and two anonymous reviewers.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Feature of Jiyidu oblique strike-slip ductile shear zone in the Jinshajiang combined belt, Northwest Yunnan","2002076862123","","Jiang, Yuan-Sheng (1); Ge, Meng-Chun (1); Feng, Qing-Lai (1) ","(1) Chengdu University of Technology, Chengdu 610059, China ","Jiang, Y.-S. ","Kuangwu Yanshi","Kuangwu Yanshi","","Kuangwu Yanshi","21","4","31-35","December 2001","","","2001","Chinese","10016872","","","","","","","","","","","Journal article (JA)","","There are some oblique strike-slip structures in the Jingshajiang combined zone which is one of the key regions in the Sanjiang Paleotethyan tectonic domain. Data of 1/50000 geological survey are used to study the material composition, strain, deformation and kinematic characteristics in the Jiyidu oblique strike-slip ductile shear zone.","1","Tectonics","Deformation - Geological surveys - Strain","Material composition","408.1 Structural Design, General - 421 Strength of Building Materials; Mechanical Properties - 481.1 Geology","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mineralogical characterization and design of a treatment process for Yunnan nickel laterite ore, China","20170203239343","","Zhou, Shiwei (1, 2); Wei, Yonggang (1, 2); Li, Bo (1, 2); Wang, Hua (1, 2); Ma, Baozhong (1, 2); Wang, Chengyan (3); Luo, Xing (4) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; 650093, China (2) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; 650093, China (3) School of Metallurgical and Ecological Engineering, University of Science and Technology Beijing, Beijing; 100083, China (4) Ministry of Land and Mineral Resources Supervision and Test Center Kunming, Kunming; 650217, China ","Wang, Chengyan ","International Journal of Mineral Processing","Int. J. Miner. Process.","","Elsevier B.V.","159","","51-59","February 10, 2017","","","2017","English","03017516","","","","10.1016/j.minpro.2017.01.002","","","","","","IJMPBL","Journal article (JA)","","The use of laterite ore as a major nickel source is gradually increasing because of the depletion of sulphide ores. However, in contrast to high-grade nickel sulphide ore, low-grade nickel laterite ore cannot be as easily upgraded by current technologies due to its complicated mineral structure and nickel distribution. This study investigated the mineralogical characteristics, occurrence state and dissemination characteristics of nickel within Yunnan nickel laterite ore in China. Nickel laterite ore had a complex internal structure and mainly consisted of limonite (10 wt.%) and serpentine (87 wt.%). Sulphides were not a significant part of this laterite ore and were rarely observed. Furthermore, the nickel was mainly hosted in serpentine by substitution for Mg or by adsorption. Serpentine had a mean grade of approximately 0.77 wt.% Ni and represented approximately 81.49 wt.% of the total laterite resource. A portion of the laterite ore had a pore structure that was formed by destruction of the original protolith during and after its formation, with a specific surface area of 70.042 m2/g. The actual temperature for the reduction of metal oxides within the ore was analysed by H2-TPR (temperature-programmed reduction), which indicated that it was higher than the reduction temperature of the pure metal oxides. Finally, based on the above analyses, a non-melting reduction treatment process was proposed for efficient and reasonable utilization of Yunnan laterite ore. © 2017 Elsevier B.V.","29","Ores","Iron oxides - Nickel compounds - Nickel ore treatment - Ore analysis - Ore reduction - Serpentine - Silicate minerals - Soils - Sulfur compounds","Mineralogical analysis - Mineralogical characterization - Nickel distribution - Nickel laterite - Reduction temperatures - Reduction treatment - Temperature-programmed reduction - Treatment process","482.2 Minerals - 483.1 Soils and Soil Mechanics - 533.1 Ore Treatment - 801 Chemistry - 804.2 Inorganic Compounds",,"Number: 2012HB009, Acronym: -, Sponsor: Candidate Talents Training Fund of Yunnan Province; Number: 20150978, Acronym: -, Sponsor: Analysis and Testing Foundation of Kunming University of Science and Technology; Number: 2013FZ007, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 2013FD009, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: KKSY201252137, Acronym: -, Sponsor: Candidate Talents Training Fund of Yunnan Province; Number: U1302274, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51304091, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Financial support for this study was supplied from the National Natural Science Foundation of China (Project Nos. U1302274 and 51304091), the Applied Basic Research Program of Yunnan Province (No. 2013FZ007 and 2013FD009), the Candidate Talents Training Fund of Yunnan Province (2012HB009), the Talents Training Program of Yunnan Province (KKSY201252137) and the Analysis and Testing Foundation of Kunming University of Science and Technology (20150978).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"40Ar/39Ar dating of cryptomelane from the Baye manganese deposit, SW Yunnan, China: Implications for growth rate of supergene Mn-oxide veins","20134016808086","","Deng, XiaoDong (1, 2); Li, JianWei (1, 2) ","(1) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Wuhan, 430074, China (2) China University of Geosciences, Wuhan, 430074, China ","Li, J. W.(jwli@cug.edu.cn) ","Science China Earth Sciences","Sci. China Earth Sci.","","Science in China Press","56","10","1654-1663","October 2013","","","2013","English","16747313","","","","10.1007/s11430-013-4591-8","","","","","","","Journal article (JA)","","Supergene Mn-oxide deposits are commonly related to thick weathering profiles and form as a result of intense and prolonged weathering of Mn-bearing precursor rocks, processes facilitated by a combination of multiple factors including warm and wet climate, relatively quiescent tectonic environment, and favorable geomorphic setting. Precise age constraints of supergene Mn-oxides may provide valuable information on the climatic, tectonic, and geomorphic conditions prevailing in the geological past.40Ar/39Ar laser incremental heating analysis of cryptomelane from the Baye manganese deposit, western Yunnan-Guizhou Plateau, SW China, was conducted to provide numerical constraints on the ages of supergene Mn enrichment and growth rates of Mn-oxide veins. In this study, two Mn-oxide veins of 3-6 cm thickness, termed as Vein A and B, respectively, were collected for40Ar/39Ar dating. Vein A is subhorizontal and present in fractures parallel to schistosity of the Proterozoic spessartine schists, whereas Vein B is filled in nearly vertical fractures penetrating the schistosity. A combination of optical microscopy, XRD, SEM, and EMP analyses demonstrate that mineral grains extracted from both veins consist of pure, well-crystallized cryptomlane, which has acicular crystal forms and contains 0.96%-4.70% K2O. Fourteen cryptomelane subsamples extracted from different growth bands of Vein A yield well-defined plateau ages ranging from 1.35 ± 0.05 to 1.16 ± 0.04 Ma (2σ), whereas seven subsamples obtained from Vein B have plateau ages ranging from 1.23 ± 0.05 to 1.01 ± 0.04 Ma (2σ). The age results permit estimation for the growth rates of both veins at ca. 115-153 and 34-67 mm Ma-1, respectively. Distinct growth rates between Veins A and B are likely reflective of different fluid pressures during their formation governed by the orientation of the fractures hosting the veins. The growth rates calculated for both veins are 1-2 orders of magnitude higher than the values (-1) estimated for Mn-oxide nodules in supergene Mn deposits elsewhere. The high growth rates obtained for the Baye samples are consistent with direct precipitation of tetravalent Mn-oxides from weathering solution in open cavities or fractures, characterized by incremental growth of Mn-oxide bands from the margin to the center of the cavities or fractures. In contrast, Mn-oxide nodules with low growth rates from other deposits formed through self-oxidation and self-catalization, and grow outwards from the nuclei. In addition, prevalence of warm and humid climate and prolonged tectonic uplift in the Yunnan Plateau may have also partly contributed to the rapid growth of Mn-oxides in the Baye deposit. © 2013 Science China Press and Springer-Verlag Berlin Heidelberg.","38","Indium compounds","Barium compounds - Deposits - Fracture - Growth rate - Manganese deposits - Structural geology - Tectonics - Weathering","Cryptomelane - Direct precipitation - Geomorphic conditions - Growth mechanisms - Guizhou - Numerical constraints - Warm and humid climates - Weathering profiles","481.1 Geology - 504.1 Light Metal Mines - 951 Materials Science",,"Number: 101017, Acronym: -, Sponsor: Fok Ying Tong Education Foundation; Number: NCET-05-0665, Acronym: NCET, Sponsor: Program for New Century Excellent Talents in University; Number: 41202053, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40573021, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: CUG120102, Acronym: -, Sponsor: -; ","This study was supported by National Natural Science Foundation of China (Grant Nos. 41202053 & 40573021), Fok Ying Tong Education Fund (Grant No. 101017), Fundamental Research Funds for the Central Universities (Grant No. CUG120102), and Program for New Century Excellent Talents in University (Grant No. NCET-05-0665). Chen Lei, Paulo Vacon-celos, and David Thiede are thanked for their help in the field and sample analysis.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Based on the limit equilibrium method and strength reduction method of Guansheng landslide stability Analysis in Ailaoshan Aera, Yunnan","20145200381055","","Chao, Zhang (1); Xiaohao, Jin (1) ","(1) Center for Hydrogeology and Environmental Geology Survey, GGS, China ","Chao, Zhang ","Proceedings - 2014 5th International Conference on Intelligent Systems Design and Engineering Applications, ISDEA 2014","Proc. - Int. Conf. Intell. Syst. Des. Eng. Appl., ISDEA","Central South University; Department of Electronics Science and Technology; et al.; Hunan Institute of Engineering; St. John's University; Xi'an Shiyou University","Institute of Electrical and Electronics Engineers Inc.","","","247-250","December 4, 2014","","1of1","2014","English","","","","9781479942619","10.1109/ISDEA.2014.61","6977589","2014 5th International Conference on Intelligent Systems Design and Engineering Applications, ISDEA 2014","June 15, 2014 - June 16, 2014","Zhangjiajie, Hunan, China","109630","","Conference article (CA)","","The article took Guansheng landslide as the research object, based on the analysis of the deformation data and geological data, implemented the geotechnical test and real-time monitoring, by choosing the limit equilibrium method and strength reduction method to evaluate the safety factor in different rainfall conditions, to predict the warning threshold and failure mode of the landslide. The result shows that twice continuous rainstorms will cause the water level rising rapidly, saturated the landslide soil, decline the shear strength seriously, cause the destruction. © 2014 IEEE.","10","Landslides","Intelligent systems - Safety factor - Shear strength - Storms - Water levels","Geological data - Geotechnical tests - Landslide stability analysis - Limit equilibrium methods - Rainfall condition - Real time monitoring - Research object - Strength reduction method","443.3 Precipitation - 723.4 Artificial Intelligence - 914.1 Accidents and Accident Prevention",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
