Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Identity, Diversity, and Molecular Phylogeny of the Endophytic Mycobiota in the Roots of Rare Wild Rice (Oryza granulate) from a Nature Reserve in Yunnan, China","20101012751132","","Yuan, Zhi-Lin (1, 2); Zhang, Chu-Long (1); Lin, Fu-Cheng (1); Kubicek, Christian P. (3) ","(1) State Key Laboratory for Rice Biology, Institute of Biotechnology, Zhejiang University, Hangzhou 310029, China (2) Institute of Subtropical Forestry, Chinese Academy of Forestry, Fuyang, Zhejiang 311400, China (3) Institute of Chemical Engineering, Research Area Gene Technology and Applied Biochemistry, Vienna University of Technology, 1060 Vienna, Austria ","Zhang, C.-L.(clzhang@zju.edu.cn) ","Applied and Environmental Microbiology","Appl. Environ. Microbiol.","","American Society for Microbiology","76","5","1642-1652","March 2010","","","2010","English","00992240","10985336","","10.1128/AEM.01911-09","","","","","","AEMIDF","Journal article (JA)","Rice (Oryza sativa L.) is, on a global scale, one of the most important food crops. Although endophytic fungi and bacteria associated with rice have been investigated, little is known about the endophytic fungi of wild rice (Oryza granulate) in China. Here we studied the root endophytic mycobiota residing in roots of O. granulate by the use of an integrated approach consisting of microscopy, cultivation, ecological indices, and direct PCR. Microscopy confirmed the ubiquitousness of dark septate endophytes (DSEs) and sclerotium-like structures in root tissues. Isolations from 204 root segments from 15 wild rice plants yielded 58 isolates, for which 31 internal transcribed spacer (ITS)-based genotypes were recorded. The best BLAST match indicated that 34.5% of all taxa encountered may represent hitherto undescribed species. Most of the fungi were isolated with a very low frequency. Calculation of ecological indices and estimation of taxon accumulation curves indicated a high diversity of fungal species. A culture-independent approach was also performed to analyze the endophytic fungal community. Three individual clone libraries were constructed. Using a threshold of 90% similarity, 35 potentially different sequences (phylotypes) were found among 186 positive clones. Phylogenetic analysis showed that frequently detected clones were classified as Basidiomycota, and 60.2% of total analyzed clones were affiliated with unknown taxa. Exopkiala, Cladopkialophora, Harpophora, Periconia macrospinosa, and the Ceratobasidium/Rhizoctonia complex may act as potential DSE groups. A comparison of the fungal communities characterized by the two approaches demonstrated distinctive fungal groups, and only a few taxa overlapped. Our findings indicate a complex and rich endophytic fungal consortium in wild rice roots, thus offering a potential bioresource for establishing a novel model of plant-fungal mutualistic interactions. Copyright © 2010, American Society for Microbiology. All Rights Reserved.","","71","Fungi","Cloning - Ecology","Ecological indices - Integrated approach - Internal transcribed spacers - Molecular phylogeny - Mutualistic interaction - Phylogenetic analysis - Rice (Oryza sativa L.) - Very low frequency","454.3 Ecology and Ecosystems - 461.8.1 Genetic Engineering",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemistry and geochronology of porphyries from the Beiya gold-polymetallic orefield, western Yunnan, China","20152200888310","","Liu, Bo (1, 2); Liu, Huan (1); Zhang, Changqing (1); Mao, Zhihao (3); Zhou, Yunman (4); Huang, Hua (3); He, Zhonghua (4); Su, Gangsheng (4) ","(1) MLR Key Laboratory of Metallogeny and Mineral Assessment, Institute of Mineral Resources, Chinese Academy of Geological Sciences, Beijing; 100037, China (2) National Key Laboratory of Remote Sensing Information and Image Analysis Technology, Beijing Research Institute of Uranium Geology, Beijing; 100029, China (3) School of Earth Science and Resources, China University of Geosciences, Beijing; 100083, China (4) Yunnan Gold and Mineral Group Co., Ltd, Kunming; 650224, China ","Liu, Huan ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","69","","360-379","September 1, 2015","","","2015","English","01691368","","","10.1016/j.oregeorev.2015.03.004","","","","","","","Journal article (JA)","The Beiya gold-polymetallic orefield, with gold reserves of 305t, is one of the most representative porphyry-skarn orefields in the Jinshajiang-Ailaoshan Cu-Au ore belt within the Sanjiang region of southwest China. The orefield contains seven deposits: the Wandongshan, Hongnitang, Dashadi, Bijiashan, Weiganpo, Matouwan, and Bailiancun deposits. In this paper we report on the geochemistry and geochronology of porphyries associated with mineralization from the seven deposits. The results show that all the porphyries have similar geochemistry, with high alkalinity, high contents of SiO2, Al2O3, K2O, and Sr, high K2O/Na2O ratios, low MgO, Y, and Yb contents, enrichments in Ba, K, and Pb, depletions in P, Ti, Nb, and Ta, and non-evident to weak Eu depletions (δEu=0.42-0.99). In the SiO2vs. Th/Ce diagram, the porphyry samples are distributed in the area of thickened lower crust, and in the Sr/Y vs. Y and La/Yb vs. Yb diagrams, the porphyries broadly followed the batch-melting trend of amphibolite containing up to 10% garnet. LA-MC-ICP-MS zircon U-Pb dating analysis suggests that the porphyries were emplaced between 34.62±0.25 and 36.72±0.25Ma. They were coeval with lamprophyres (34 to 36Ma) in the Beiya area and with potassic-ultrapotassic intrusive rocks (40 to 35Ma) within the Jinshajiang-Ailaoshan magmatic belt, indicating possible genetic relation between these rock types. We suggest that the porphyries in the Beiya gold-polymetallic orefield were derived from the partial melting of a K-rich mafic source in the thickened lower crust, with the melting triggered by asthenospheric upwelling following the removal of lower lithospheric mantle. © 2015 Elsevier B.V.","","107","Gold deposits","Alumina - Aluminum oxide - Binary alloys - Cerium compounds - Copper alloys - Deposits - Europium compounds - Geochemistry - Geochronology - Gold alloys - Lead alloys - Magnesia - Melting - Silica - Silicate minerals - Thorium compounds - Ytterbium - Zircon","Beiya - Genetic relations - Intrusive rocks - Lithospheric mantle - Partial melting - Potassic porphyry - Southwest China - Zircon U-Pb dating","481 Geology and Geophysics - 482.2 Minerals - 482.2.1 Gems - 544.2 Copper Alloys - 546.1 Lead and Alloys - 547.1 Precious Metals - 547.2 Rare Earth Metals - 802.3 Chemical Operations - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fluid flow and mineralization of Youjiang Basin in the Yunnan-Guizhou-Guangxi area, China","2003367617892","","Wang, Guozhi (1, 2); Hu, Ruizhong (1); Su, Wenchao (1); Zhu, Laimin (1) ","(1) Open Lab. Ore Deposit Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550002, China (2) Chengdu University of Technology, Chengdu 610059, China ","Wang, G.(wangguozhi66@163.net) ","Science in China, Series D: Earth Sciences","Sci. China Ser. D Earth Sci.","","Science in China Press","46","SUPPL","99-109","March 2003","","","2003","English","10069313","","","","","","","","","","Journal article (JA)","Comprehensive studies, based on isotope geochemistry of C, H, O, S and Sr, chronology, common element and trace element geochemistry of fluid inclusions for the epithermal Au, As, Sb and Hg deposits in the Youjiang Basin and its peripheral areas, suggested that the ore fluid was the basin fluid with abundant metallic elements and the large-scale fluid flow of the same source in the late Yenshan stage was responsible for huge epithermal mineralization and silicification. The ore fluid flowed from the basin to the platform between the basin and the platform and migrated from the inter-platform basin to the isolated platform in the Youjiang Basin. The synsedimentary faults and paleokast surface acted respectively as main conduits for vertical and lateral fluid flow.","","36","Geochemistry","Fluid dynamics - Mineral resources - Trace elements","Silicification","481.2 Geochemistry - 501 Exploration and Prospecting - 931.1 Mechanics","Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Hydrochemical Characteristics and Water Quality Assessment of a Zn-Pb Mine Waters in Yunnan Southwest China","20191306703492","","Cheng, Xianfeng (1); Huang, Qianrui (1); Danek, Tomas (2); Marschalko, Marian (2); Wufuqi, W. (1); Yang, Shuran (1); Zou, Liling (1); Zhao, Xinliang (1); Xiang, Yungang (1) ","(1) Yunnan Land and Resources Vocational College, Kunming, Yunnan; 652501, China (2) VSB-Technical University of Ostrava, Faculty of Mining and Geology, Ostrava-Poruba; 708 33, Czech Republic ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","LAMA Energy group; LAMA Gas and Oil","Institute of Physics Publishing","221","1","","March 4, 2019","World Multidisciplinary Earth Sciences Symposium, WMESS 2018","1 of 1","2019","English","17551307","17551315","","10.1088/1755-1315/221/1/012129","012129","3rd World Multidisciplinary Earth Sciences Symposium, WMESS 2018","September 3, 2018 - September 7, 2018","Prague, Czech republic","146111","","Conference article (CA)","Water samples (rivers, streams, mine adits, tailings ponds) from Jinding zinc-lead polymetallic mining area and Bi River Basin were analysed for 32 indicators including major hydrochemical components and heavy metals. The correlation analysis of water chemical parameters and Gibbs diagram show that the water composition of the Bi River is influenced by human activities in addition to the rock weathering. In the streams, the main cations and anions are derived from the rock weathering of formations rich in gypsum, calcite and dolomite. Nemerow comprehensive pollution index method was performed to evaluate water quality. The water of streams and one pond is clean. Mine adits water pollution level is medium-heavy pollution. The water samples flowing through the mining area and from tailings ponds are heavy polluted. © Published under licence by IOP Publishing Ltd.","","9","River pollution","Binary alloys - Calcite - Chemical analysis - Earth sciences - Groundwater - Heavy metals - Hydrochemistry - Lakes - Lead alloys - Quality control - Rivers - Water quality - Weathering - Zinc alloys","Chemical parameters - Correlation analysis - Human activities - Hydrochemical characteristics - Pollution index - Water composition - Water pollution levels - Water quality assessments","444.2 Groundwater - 445.2 Water Analysis - 453 Water Pollution - 481.2 Geochemistry - 482.2 Minerals - 531 Metallurgy and Metallography - 546.1 Lead and Alloys - 546.3 Zinc and Alloys - 913.3 Quality Assurance and Control",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"SIMS U-Pb zircon age of a tuff layer in the Meishucun section, Yunnan, southwest China: Constraint on the age of the precambrian-cambrian boundary","20094212372173","","Zhu, Ri Xiang (1); Li, Xian Hua (1); Hou, Xian Guang (2); Pan, Yong Xin (3); Wang, Fei (1); Deng, Cheng Long (1); He, Huai Yu (3) ","(1) State Key Laboratory of Lithospheric Evolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing 100029, China (2) Yunnan Key Laboratory for Palaeobiology, Yunnan University, Kunming 650091, China (3) Key Laboratory of the Earth's Deep Interior, Chinese Academy of Sciences Institute of Geology and Geophysics, Beijing 100029, China ","Zhu, R.X.(rxzhu@mail.iggcas.ac.cn) ","Science in China, Series D: Earth Sciences","Sci. China Ser. D Earth Sci.","","Science in China Press","52","9","1385-1392","2009","","","2009","English","10069313","18622801","","10.1007/s11430-009-0152-6","","","","","","","Journal article (JA)","Determination of the age of the Precambrian-Cambrian boundary is critical in understanding early evolution of life on Earth. SIMS U-Pb zircon analyses of the Bed 5 tuff layer of the Meishucun section were carried out closely following the guidance of cathodoluminescence images, and the majority of analyses were conducted on the oscillatory zircon grains. Thirteen measurements yield a highly reliable Concordia U-Pb age of 536.7 ±3.9 Ma for the Bed 5 horizon. A grand mean of206Pb/238U age of 535.2±1.7 Ma (MSWD = 0.53) is calculated based on 13 concordant SIMS measurements of this study and 4 nano-SIMS measurements of Sawaki et al., which is the best estimate of the deposition age of the tuff layer within Bed 5 in the Meishucun section. This age has provided a robust age constraint on the significant Precambrian-Cambrian boundary strata in southern China, which independently suggested the placement of the Precambrian-Cambrian boundary at the bottom of the Xiaowaitoushan Member (Marker A). © Science in China Press and Springer-Verlag GmbH 2009.","","40","Lead alloys","Binary alloys - Geochronology - Silicate minerals - Zircon","Cambrians - Cathodoluminescence images - Highly reliable - Measurements of - Meishucun section - Southwest China - U-Pb geochronology - Upb zircon age (SHRIMP)","481.1 Geology - 482.2 Minerals - 482.2.1 Gems - 546.1 Lead and Alloys",,"Number: 40821091, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40730211, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Received April 17, 2009; accepted July 17, 2009; published online August 11, 2009 doi: 10.1007/s11430-009-0152-6 †Corresponding author (email: rxzhu@mail.iggcas.ac.cn) Supported by National Natural Science Foundation of China (Grant Nos. 40730211 and 40821091)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"40Ar/39Ar geochronology and geochemistry of Pleistocene trachyandesite in Tengchong, western Yunnan, China, and its tectonic implication","20190306388910","","Lin, Musen (1, 2); Peng, Songbai (2); Qiao, Weitao (3) ","(1) College of Zijin Mining, Fuzhou University, Fuzhou; 350108, China (2) Faculty of Earth Sciences, China University of Geosciences, Wuhan; 430074, China (3) Guizhou Academy of Geological Survey, Guiyang; 550004, China ","","Yanshi Xuebao/Acta Petrologica Sinica","Yanshi Xuebao/Acta Petrol. Sin.","","Science Press","33","10","3137-3146","2017","","","2017","Chinese","10000569","20958927","","","","","","","","","Journal article (JA)","Mangbang area is located in the east of Tengchong with widely distribution of the Late Cenozoic volcanoes. 40Ar/39Ar analysis on matrix separate from two trachyandesite samples collected from the Mangbang area yielded a high-precise plateau age of 2.1 ±0.1Ma and 2.0 ± 0.1Ma, indicating the effusive age as Early Pleistocene. Analyzed samples appear as high-potassium calc-alkaline features, and are enriched in large ion lithophile elements (LILE), but depleted in high field strength elements (HFSE), which show the arc volcanic and intraplate volcanic transition characteristic, speculating that they may form in post-orogenic environment. The generation of Pleistocene volcanic rocks in the Tengchong Block is related to extension collapse after the India-Asia collision result in partial melting of an enriched mantle source. The Indosinian Block escape to the southeast and rejuvenation of Tengchong arcuate strike-slip fault zone (e. g., Longchuanjiang fault belt and Dayingjiang fault belt) induced the volcanic eruption and emplacement. © 2017 Science Press. All rights reserved.","","41","Volcanoes","Geochronology - Strike-slip faults - Structural geology - Volcanic rocks","Early pleistocene - High field strength elements - Large ion lithophile elements - Pleistocene - Tectonic implications - Tengchong - Trachyandesites - Volcanic eruptions","481.1 Geology - 482.2 Minerals - 484 Seismology - 484.1 Earthquake Measurements and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new method to determine shearing strength for limestone - A case study on Longshan Quarry of Anning City in Yunnan","20132916515278","","Xu, Shiguang (1, 2); Wang, Jianguo (1); Li, Chenchen (1) ","(1) Kunming University of Science and Technology, China (2) Yunnan Geologic and Mineral Bureau of Exploration and Exploitation, China ","","Rock Characterisation, Modelling and Engineering Design Methods - Proceedings of the 3rd ISRM SINOROCK 2013 Symposium","Rock Charact., Model. Eng. Des. Methods - Proc. ISRM SINOROCK Symp.","","Taylor and Francis - Balkema","","","303-307","2013","Rock Characterisation, Modelling and Engineering Design Methods - Proceedings of the 3rd ISRM SINOROCK 2013 Symposium","","2013","English","","","9781138000575","","","3rd ISRM Symposium on Rock Characterisation, Modelling and Engineering Design Methods, SINOROCK 2013","June 18, 2013 - June 20, 2013","Shanghai, China","97711","","Conference article (CA)","Thirty six slopes, which are constituted by limestone, in Longshan Quarry of Anning City have been studied in order to get a new method to determine the shearing strength for limestone. Through comparison the parameter error between the site shearing test and the calculated value that is based on the slope stability, the later has been employed as the substitute of the former to increase the specimen so as to reveal the relationship between the angle of shearing resistance of the rock and the fissuring assembly on the slope together with the coefficient of rock integrity. When the regression analysis is employed, the basic regularity is turned out, which shows the angle of shearing resistance of the rock mass can be determined by the angle of shearing resistance of the rock experimented in laboratory through a discount with the coefficient of its rock integrity. © 2013 Taylor & Francis Group.","","12","Shearing","Design - Lime - Limestone - Quarries - Regression analysis - Rock mechanics - Slope stability","Calculated values - Case-studies - Classfication - Parameter error - Rock joint - Shearing resistance - Shearing strength - Stability analysis","406.2 Roads and Streets - 483.1 Soils and Soil Mechanics - 502 Mines and Quarry Equipment and Operations - 604.1 Metal Cutting - 804.2 Inorganic Compounds - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comparative study of volatile components in sun-dried and baked black teas in Yunnan Province","20163102653947","","Lü, Shidong (1, 2, 3, 4); Wu, Yuanshuang (1); Wang, Chen (1); Gao, Xuemei (1); Li, Jiangbing (1); Zhang, Wenrui (1); Meng, Qingxiong (1) ","(1) Faculty of Life Science and Technology, Kunming University of Science and Technology, Kunming; 650500, China (2) Kunming Grain and Oil and Feed Product Quality Inspection Center, Kunming; 650118, China (3) Yunnan Province Grain and Oil Products Quality Supervision and Inspection Station, Kunming; 650118, China (4) Yunnan Kunming National Grain Quality Testing Station, Kunming; 650118, China ","Meng, Qingxiong(qxmeng@sina.com) ","Shipin Kexue/Food Science","Shipin Kexue/Food Sc.","","Chinese Chamber of Commerce","37","14","62-67","July 25, 2016","","","2016","Chinese","10026630","","","10.7506/spkx1002-6630-201614011","","","","","","","Journal article (JA)","The aroma components of sun-dried and baked black teas, three replicates each, extracted with headspace solidphase microextraction (HS-SPME) were identified by gas chromatography-mass spectrometry (GC-MS). Their similarities and differences were compared by using principal component analysis (PCA) and clustering analysis (CA). A total of 76 aroma components were identified in these two kinds of black tea, mainly including alcohols, ketones, and esters compounds. Among them, alcohol compounds were the most abundant components in sun-dried black tea (57.43%) and baked black tea (60.45%), mainly including linalool, linalool oxides, geraniol, nerolidol, etc. The aroma components of sundried and baked black teas were very similar and difficult to distinguish from each other. However, PCA and CA showed that sun-dried and baked black teas could be clearly distinguished according to their volatile characteristics, which illustrated that drying methods have influences on aroma components of black tea. Therefore, HS-SPME-GC-MS in combination with multivariate statistical methods could provide a feasible and rapid technique to differentiate between sun-dried and baked black teas based on their volatile components and relative contents. © 2016, China Food Publishing Company. All right reserved.","","20","Principal component analysis","Alcohols - Gas chromatography - Ketones - Mass spectrometry - Multivariant analysis - Odors","Aromat components - Black tea - Clustering analysis - Comparative studies - Gas chromatography-mass spectrometries (GC-MS) - Headspace solid phase microextraction - Multivariate statistical method - Volatile components","801 Chemistry - 802.3 Chemical Operations - 804.1 Organic Compounds - 922 Statistical Methods - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"First report of alternaria brown spot of citrus caused by alternaria alternata in Yunnan Province China","20101012760212","","Wang, X.F. (1); Li, Z.A. (1); Tang, K.Z. (1); Zhou, C.Y. (1); Yi, L. (2) ","(1) National Citrus Engineering and Technology Research Center, Citrus Research Institute, Southwest University, Chongqing 400712, China (2) Technology Research Center, Gannan Normal University, Jiangxi Navel Orange Engineering, Ganzhou 341000, China ","Wang, X. F. ","Plant Disease","Plant Dis.","","American Phytopathological Society, 3340 Pilot Knob Road, St. Paul, MN 55121-2097, United States","94","3","375","March 2010","","","2010","English","01912917","","","10.1094/PDIS-94-3-0375C","","","","","","PLDIDE","Journal article (JA)","","","2",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Direct versus indirect climate controls on Holocene diatom assemblages in a sub-tropical deep, alpine lake (Lugu Hu, Yunnan, SW China)","20162202448842","","Wang, Qian (1); Yang, Xiangdong (1); Anderson, Nicholas John (2); Dong, Xuhui (1) ","(1) State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing; 210008, China (2) Department of Geography, Loughborough University, Loughborough; LE11 3TU, United Kingdom ","Yang, Xiangdong(xdyang@niglas.ac.cn) ","Quaternary Research (United States)","Quat. Res.","","Academic Press Inc.","86","1","1-12","July 1, 2016","","","2016","English","00335894","10960287","","10.1016/j.yqres.2016.03.003","","","","","","","Journal article (JA)","The reconstruction of Holocene environmental changes in lakes on the plateau region of southwest China provides an understanding of how these ecosystems may respond to climate change. Fossil diatom assemblages were investigated from an 11,000-year lake sediment core from a deep, alpine lake (Lugu Hu) in southwest China, an area strongly influenced by the southwest (or the Indian) summer monsoon. Changes in diatom assemblage composition, notably the abundance of the two dominant planktonic species, Cyclotella rhomboideo-elliptica and Cyclostephanos dubius, reflect the effects of climate variability on nutrient dynamics, mediated via thermal stratification (internal nutrient cycling) and catchment-vegetation processes. Statistical analyses of the climate–diatom interactions highlight the strong effect of changing orbitally-induced solar radiation during the Holocene, presumably via its effect on the lake's thermal budget. In a partial redundancy analysis, climate (solar insolation) and proxies reflecting catchment process (pollen percentages, C/N ratio) were the most important drivers of diatom ecological change, showing the strong effects of climate–catchment–vegetation interactions on lake functioning. This diatom record reflects long-term ontogeny of the lake-catchment ecosystem and suggests that climatic changes (both temperature and precipitation) impact lake ecology indirectly through shifts in thermal stratification and catchment nutrient exports. © 2016 University of Washington","","107","Climate change","Budget control - Catchments - Ecosystems - Lakes - Nutrients - Runoff - Solar radiation - Thermal stratification - Thermodynamic stability - Vegetation","Climate variability - Climatic changes - Ecological changes - Environmental change - Holocenes - Lake sediment cores - Nutrient dynamics - Redundancy analysis","442.1 Flood Control - 443.1 Atmospheric Properties - 454.3 Ecology and Ecosystems - 641.1 Thermodynamics - 657.1 Solar Energy and Phenomena",,"Number: -, Acronym: -, Sponsor: Jiangsu Collaborative Innovation Center for Climate Change; Number: -, Acronym: -, Sponsor: Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences; Number: NIGLAS2015QD05, Acronym: -, Sponsor: Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences; Number: NIGLAS2012135004, Acronym: -, Sponsor: Chinese Academy of Sciences; Number: 2012CB956100, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 41272379, Acronym: -, Sponsor: National Natural Science Foundation of China; ","We gratefully acknowledge Rong Wang for his helpful discussions and comments on the manuscript. This research was supported by the National Basic Research Program of China ( 2012CB956100 ), the National Science Foundation of China ( 41502170 , 41272379 ), the program of Nanjing Institute of Geography and Limnology , Chinese Academy of Sciences ( NIGLAS2012135004 ), the Scientific Research Foundation of Nanjing Institute of Geography and Limnology ( NIGLAS2015QD05 ), and the Jiangsu Collaborative Innovation Center for Climate Change, China . NJA acknowledges the support of the Chinese Academy of Sciences via a Senior Visiting Professorship and the Royal Society for a Wolfson Merit award.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
