Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"High and steep slope stability analysis induced by goaf based on 3D fast lagrangian analysis of continua","20122315085082","","Yu, Qing (1); Zeng, Sheng (1); Zhang, Zhijun (2); Sun, Bing (2) ","(1) Key Discipline Lab. for Natl. Def. for Biotech. in Uranium Mining and Hydrometallurgy, University of South China, Hengyang, 421001, China (2) School of Nuclear Resources and Nuclear Fuel Engineering, University of South China, Hengyang, 421001, China ","Yu, Q.(yuqingk@qq.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","524-527","","306-309","2012","Natural Resources and Sustainable Development II","","","2012","English","10226680","","","9783037854174","10.4028/www.scientific.net/AMR.524-527.306","","1st International Conference on Energy and Environmental Protection, ICEEP 2012","June 23, 2012 - June 24, 2012","Hohhot, China","89966","","Conference article (CA)","Contraposing a lead-zinc ore in yunnan province, Adopting FLAC3D which is a three-dimensional finite differential method to analyse the slope stability induced by goaf, The results indicated: the movement of surrounding rock had been being more intense, meanwhile the slope was instability, It might cause collapse and land slide of slope rock if no using filling method to treat timely. The size of plastic zone in slope rock reduced greatly after filling the goaf, that greatly improved slope stability. Results of simulation were in line with practical producing, validating that FLAC3D was an effective way of slope stability analysis induced by goaf. © (2012) Trans Tech Publications.","8","Slope stability","Ores - Three dimensional - Three dimensional computer graphics - Zinc ore treatment","Fast Lagrangian analysis of continuum - Filling methods - Finite differential methods - Goaf - High and steep slope - In-line - Size of plastic zone - Slope rocks - Slope stability analysis - Surrounding rock - Yunnan province","902.1 Engineering Graphics - 723.5 Computer Applications - 546.3 Zinc and Alloys - 505 Mines and Mining, Nonmetallic - 504 Mines and Mining, Metal - 502 Mines and Quarry Equipment and Operations - 406.2 Roads and Streets",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A drought index: The standardized precipitation evapotranspiration runoff index","20190806539247","","Wang, Long (1, 2); Yu, Hang (1); Yang, Maoling (3); Yang, Rui (1); Gao, Rui (1); Wang, Ying (1) ","(1) College of Water Conservancy, Yunnan Agricultural University, China (2) IHE Delft Institute for Water Education, Netherlands (3) Survey Design Institute of Water Conservancy and Hydropower in Zhaotong, China ","Yu, Hang(wolf5666@163.com) ","Journal of Hydrology","J. Hydrol.","","Elsevier B.V.","571","","651-668","April 2019","","","","2019","English","00221694","","","","10.1016/j.jhydrol.2019.02.023","","","","","","JHYDA7","Journal article (JA)","Based on the principles underlying the calculation of the standardized precipitation index (SPI) and standardized precipitation evapotranspiration index (SPEI), this study selects precipitation, temperature, relative humidity, sunshine hours, wind speed and runoff data to develop a multi-scalar drought index, the standardized precipitation evapotranspiration runoff index (SPERI), using methods such as Penman-Monteith and Copula. This index is applied along with the SPI and SPEI to Yunnan Province of China. The results show that the changes in the SPERI are close to those in the SPI and SPEI. They are well correlated and can all reflect drought conditions. In addition, comparisons among these three drought indexes and the actual extreme drought during September 2009–August 2010 showed that the SPERI was superior to the SPI and SPEI and that the 3-month SPERI assessment was the most accurate. Therefore, the SPERI can be used to analyze, assess and forecast drought conditions in different areas as well as to assess the impacts of climate change on drought. © 2019 Elsevier B.V.","78","Drought","Climate change - Evapotranspiration - Runoff - Wind","Copula functions - Drought conditions - Drought indices - Penman Monteith - SPEI - SPERI - Standardized precipitation index - Yunnan province","443.1 Atmospheric Properties - 444 Water Resources - 444.1 Surface Water",,"","This study was supported by the Science and Technology Project of Yunnan Province (2014FD022). We greatly appreciate suggestions from anonymous referees for the improvement of our paper. Thanks also to the editorial staff.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The occurrence of Quercus heqingensis n. sp. and its application to palaeo-CO2estimates","20162102426821","","Huang, Huasheng (1, 2); Hu, Jinjin (1); Su, Tao (1); Zhou, Zhekun (1, 3) ","(1) Key Laboratory of Tropical Forest Ecology, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla; 666303, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China (3) Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming; 650201, China ","Zhou, Zhekun(zhouzk@xtbg.ac.cn) ","Kexue Tongbao/Chinese Science Bulletin","Kexue Tongbao/Chin. Sc. Bull.","","Chinese Academy of Sciences, P.O. Box 2871, Beijing, 100085, China","61","12","1354-1364","April 25, 2016","","","","2016","Chinese","0023074X","20959419","","","10.1360/N972015-01198","","","","","","","Journal article (JA)","Many leaf fossils belonging to Quercus sect. Heterobalanus were collected from the Upper Pliocene Sanying Formation in Heqing County, Yunnan Province, China. Leaves are oblong, elliptic or obovate with entire margin or spinous serrations, 3.1-8.7 cm in length and 1.8-5.7 cm in width. Leaf apex is round, mucronate or blunt round, while leaf base is heart-shaped, slightly heart-shaped or blunt round, and occasionally asymmetric. The petiole is slightly sturdy, straight or a bit curved, with 1.8-4.9 mm in length. The main vein of these specimens is slightly zigzagging, with a sturdy base attenuating to the apex. Secondary veins are pinnate, 7-12 pairs, alternate and parallel with the stretching angles from 40° to 73°, bifurcating near 1/3 to 1/2 of the leaf margin. Tertiary veins are, relatively thin, 5-7 bands in 1 cm2, and perpendicular to secondary veins. Quaternary, blind and marginal veins are not clear. The upper epidermis has both unicellular and multicellular trichomes without stomata, and most of the epidermal cells are nearly quadrangular. The lower epidermis has only unicellular trichomes and cyclocytic stomatal apparatuses, and the epidermal cells are nearly quadrangular or pentagonal. The stomatal apparatuses are 20-33 μm in length, 17-27 μm in width, with 2-6 μm wide in apertures. They spread casually with the stomatal density of 503±98 mm-2and the stomatal index of 8.90%±0.32%. The guard cells show kidney-shaped, with 5-7 subsidiary cells. These features are similar to Q. rehderiana, Q. guyavifolia, Q. preguyavifolia and some other extant or fossil species of Q. sect. Heterobalanus, but they are different in terms of density and type of trichomes. Both Q. guyavifolia and Q. preguyavifolia have more trichomes in total, and multicellular trichomes in lower epidermis which spread in veins and between veins. The fossil leaves of Q. sect. Heterobalanus in Heqing and Q. rehderiana have less trichomes, and the former has no multicellular trichome in lower epidermis, while the latter's multicellular trichome are just found in veins. Hence, it was designated as a new species-Quercus heqingensis n. sp. The estimates of palaeoatmospheric-CO2using the positive relationships between stomatal frequency and atmospheric CO2partial pressure in its Nearest Living Relatives (NLRs)-Q. guyavifolia show that, the palaeo-CO2levels in the late Pliocene reconstructed by Q. heqingensis were 263.42±24.86 ppm (equation with extant field collections) and 234.25±22.49 ppm (equation with historical herbarium samples). These results are slightly lower than most previous estimates of the same age. Our results are in agreement with other estimates when palaeoaltitude is considered. This indicates that it is feasible to apply the stomatal index of Q. heqingensis to the positive relationship between stomatal index of Q. guyavifolia and atmospheric pCO2to reconstruct palaeo-CO2levels. Meanwhile, the results further support lower palaeo-CO2level in the late Pliocene than present. This study provides credible evidence for future palaeo-CO2estimates using NLRs as proxies. © 2016, Science Press. All right reserved.","59","Carbon dioxide","Cells - Cytology - Plants (botany)","Late Pliocene - Nearest Living Relatives - Palaeo-CO2 estimates - Quercus - Stomatal index - Yunnan","461.2 Biological Materials and Tissue Engineering - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mineralogical Characterisation of an Ag–In-Bearing Polymetallic Ore with Regard to Its Mineral Separation Behaviour","20181404987289","","Chen, Yu-meng (1, 2); Xie, Xian (1, 2, 3); Tong, Xiong (1, 2); Lv, Hao-zi (1, 2) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) Yunnan Province Engineering Research Center for Reutilization of Metal Tailings Resources, Kunming; 650093, China (3) Kunming Metallurgy Research Institute, Kunming; 650093, China ","Xie, Xian(xianxie2008@kmust.edu.cn) ","Russian Journal of Non-Ferrous Metals","Russ. J. Non-ferrous Met.","","Pleiades Publishing","59","1","16-22","January 1, 2018","","","","2018","English","10678212","1934970X","","","10.3103/S1067821218010066","","","","","","","Journal article (JA)","Polymetallic ores always contain precious rare metals which have high economic value. There is a large-scale copper (Cu)–zinc (Zn)–stannum (Sn) polymetallic ore deposit in Dulong, Yunnan Province, China. The polymetallic ore deposit contains a lot of silver (Ag) and indium (In). In this paper, the polymetallic ore is investigated to explore the characteristics of its process mineralogy by X-ray diffraction (XRD), X-ray fluorescence (XRF), optical microscopy (OM), and electron probe micro-analyser (EMPA). The contents of the main valuable elements in the ore are Cu 0.20%, Zn 3.93%, Sn 0.47%, Fe 22.70% and S 9.90%. Cu, Zn, Sn, and Fe mainly occur in chalcopyrite, marmatite, cassiterite and magnetite, respectively. In addition, as rare metal elements, there are also Ag 4.9 g/t and In 90.50 g/t in the ore. Ag mainly occurs in matildite and an unknown mineral (Ag0.75(Zn, Fe)0.25S) and these two minerals are all enclosed and disseminated in marmatite. In does not form an independent mineral, but an isomorphism element which mainly occurs in marmatite. Based on the results of the process mineralogy and actual conditions, a feasible flowsheet for this polymetallic ore is designed and optimized. The industrial experimental results show that processing capacity of the plant and the indexes of the concentrates are improved. © 2018, Allerton Press, Inc.","28","Ores","Copper compounds - Copper deposits - Deposits - Flowcharting - Magnetite - Silver deposits - X ray diffraction - Zinc deposits","Actual conditions - Mineral separation - Polymetallic ores - Process mineralogy - Processing capacities - Rare metals - X ray fluorescence - Yunnan province","504.3 Heavy Metal Mines - 723.1 Computer Programming",,"Number: xy2015kf01, Acronym: -, Sponsor: -; Number: 2014FA027, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; ","ACKNOWLEDGMENTS This work was supported by the Key Project of Yunnan Applied Basic Research under Grant no. 2014FA027 and the Key Laboratory Open Fund of Yunnan Province under Grant no. xy2015kf01.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Variations in adsorption of two step solvent extracted vitrain and their coal crystallites response","20182705519961","","Chen, Run (1, 2); Wang, Youyang (3); Wang, Zhiyang (3) ","(1) Low Carbon Energy Institute, Key Laboratory of Coal-based CO2 Capture & Geological Storage, China University of Mining and Technology, Xuzhou; Jiangsu Province; 221008, China (2) Henan Key Laboratory for Green and Efficient Mining & Comprehensive Utilization of Mineral Resources, Henan Polytechnic University, Jiaozuo; Henan; 454000, China (3) School of Resource and Geosciences, Key Laboratory of Coalbed Methane Resource & Reservoir Formation History Ministry of Education, China University of Mining and Technology, Xuzhou; 221008, China ","Chen, Run(chenrun@cumt.edu.cn) ","Tehnicki Vjesnik","Teh. Vjesn.","","Strojarski Facultet","25","3","663-669","June 2018","","","","2018","English","13303651","18486339","","","10.17559/TV-20160525151512","","","","","","","Journal article (JA)","Adsorption capacity and crystallite characteristics of raw vitrains collected from western Guizhou and eastern Yunnan and their step extracted residues were analysed; the possible geochemical mechanism of methane adsorption on coal crystallite was discussed. The results show that the step extraction changes methane adsorption capacity on sample, and the change direction and magnitude depend on the coalification degree. The extraction also depolymerizes the coal crystallite. It is found that it has a synchronous relationship between the percent change of adsorption and the percent depolymerization of coal crystallite. It is suggested that the second coalification jump plays a key role on the percent change of methane adsorption and the percent depolymerization of crystallite. The crystallite depolymerization is an important reason that methane adsorption percent changes. © 2018, Strojarski Facultet. All rights reserved.","25","Adsorption","Coal - Crystallites - Methane - Organic solvents - Solvent extraction","Adsorption capacities - Extracted residue - Methane adsorption - Methane adsorption capacity - Vitrain - Western guizhou and eastern yunnan","524 Solid Fuels - 802.3 Chemical Operations - 804.1 Organic Compounds - 933.1 Crystalline Solids",,"Number: S201608, Acronym: HPU, Sponsor: Henan Polytechnic University; Number: 41572138, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study is supported by the National Natural Science Foundation of China (No. 41572138) and The research fund of Henan Key Laboratory for Green and Efficient Mining & Comprehensive Utilization of Mineral Resources (Henan Polytechnic University) (grant No. S201608).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comparison of hypoglycemic effects of ripened pu-erh tea and raw pu-erh tea in streptozotocin-induced diabetic rats","20190606476790","","Ding, Qianzhi (1); Zheng, Wei (1); Zhang, Bowei (2); Chen, Xiaojuan (1); Zhang, Jie (1); Pang, Xu (1); Zhang, Yong (3); Jia, Dexian (3); Pei, Surui (4); Dong, Yuesheng (2); Ma, Baiping (1) ","(1) Beijing Institute of Radiation Medicine, No. 27 Taiping Road Haidian District, Beijing; 100850, China (2) School of Life Science and Biotechnology, Dalian University of Technology, Dalian, Liaoning; 116024, China (3) Beijing University of Chinese Medicine, Beijing; 100029, China (4) Annoroad Gene Technology Co., Ltd, Beijing; 100176, China ","Ma, Baiping(mabaiping@sina.com) ","RSC Advances","RSC Adv.","","Royal Society of Chemistry","9","6","2967-2977","2019","","","","2019","English","","20462069","","","10.1039/c8ra09259a","","","","","","RSCACL","Journal article (JA)","Pu-erh tea is produced from the leaves of large-leaf tea species (Camellia sinensis var. assamica) in the Yunnan province of China and divided into ripened pu-erh tea (RIPT, with pile-fermentation) and raw pu-erh tea (RAPT) according to processing methods. RIPT extract showed more potent anti-diabetic effects on two-hour postprandial blood glucose (2h-PBG) and fasting blood glucose (FBG) than RAPT extract. UHPLC-Q-TOF/MS and UHPLC-PDA analyses found that 17 newly formed components and the increased components after fermentation, such as quinic acid, gallic acid, caffeine, puerin I and so on, might be the main contributors to the enhanced activities of RIPT. In addition, the probiotic role of RIPT to some beneficial gut bacteria, such as lactobacillus, Prevotellaceae NK3B31 group, Alloprevotella and Prevotella, was observed in our study. These results might provide a clue to anti-diabetic mechanism and active components of pu-erh tea, and use as a functional beverage worth to be further studied. © 2019 The Royal Society of Chemistry.","33","Piles","Blood - Fermentation - Glucose - Probiotics","Active components - Anti diabetics - Camellia sinensis - Functional beverages - Hypoglycemic effect - Processing method - Streptozotocin - Yunnan province","408.2 Structural Members and Shapes - 461.2 Biological Materials and Tissue Engineering - 804.1 Organic Compounds",,"Number: 81773867, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors thank Annoroad Gene Tech. (Beijing) Co., Ltd for their excellent technical assistance. This study was supported by the National Natural Science Foundation of China (No. 81773867).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The application study of universal design principle in the old people product","20091311975898","","Zhang, Xin (1, 2); Zhang, Jianwu (1); Yang, Mei (3) ","(1) School of Mechanical Engineering, Shanghai Jiaotong University, Shanghai, China (2) College of Mechanical and Electronic Engineering, Shandong University of Science and Technology, Qingdao, China (3) College of Art and Design, Shandong University of Science and Technology, Qingdao, China ","Zhang, X.(zhangxinmt@163.com) ","9th International Conference on Computer-Aided Industrial Design and Conceptual Design: Multicultural Creation and Design - CAIDCD 2008","Int. Conf. Comput.-Aided Ind. Des. Concept. Des. Multicult. Creat. Des. - CAIDandCD","IEEE Beijing Section; Ind. Design Inst., Chinese Mechanical Engineering Society; Yunnan University; Zhejiang University","IEEE Computer Society","","","120-123","2008","9th International Conference on Computer-Aided Industrial Design and Conceptual Design: Multicultural Creation and Design -CAIDCD 2008","","","2008","English","","","","9781424432912","10.1109/CAIDCD.2008.4730533","4730533","9th International Conference on Computer-Aided Industrial Design and Conceptual Design: Multicultural Creation and Design -CAIDCD 2008","November 22, 2008 - November 25, 2008","Kunming, China","75367","","Conference article (CA)","From the concept and background of universal design, this paper introduces the principle of universal design. Based on the actual need analysis of the elderly, it discusses the approach how to design the old age product with the use of the principle of universal design. © 2008 IEEE.","5","Product design","Conceptual design","Application studies - Humanistic - Need analysis - Old age - Old people - The elderly - Universal Design","913.1 Production Engineering",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the discrete time multichannel three-dimensional probability csma protocol in WSN","20164102894167","","Zhao, Yifan (1); Zhou, Shengjie (1); Ding, Hongwei (1); Yang, Zhijun (1); Liu, Qianlin (1) ","(1) School of Information, Yunnan University, Kunming, Yunnan, China ","Ding, Hongwei(dhw1964@163.com) ","International Journal on Smart Sensing and Intelligent Systems","Int. J. Smart Sensing Intelligent Syst.","","Massey University","9","2","845-863","June 2016","","","","2016","English","","11785608","","","","","","","","","","Journal article (JA)","With the development of the times, in the wireless sensor networks, the increasing amount of information transmission requires more advanced transmission protocols. Especially accompanied by the arrival of the era of Big Data, the conflicts between traditional transport agreement and the sudden or large amount of data are increasingly prominent. The discrete time three-dimensional probability CSMA protocol with multichannel mechanism proposed solves these problems pretty well. By the new MAC protocol to control transmission of information, so that the agreement adapts various contingencies problems in the network better and has more controllable ability. Using simulation tool-MATLAB for the accuracy of the agreement is demonstrated.","25","Wireless sensor networks","Big data - Carrier sense multiple access - Data communication systems - Internet protocols - MATLAB - Medium access control - Probability - Throughput","Amount of information - Discrete time - Large amounts - MAC protocol - Multichannel - Transmission protocols","716.3 Radio Systems and Equipment - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 921 Mathematics - 922.1 Probability Theory",,"Number: 2010CD023, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: No.XT412004, Acronym: -, Sponsor: -; Number: 61072079, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61461053, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61461054, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (No.61461053, No.61461054, No.61072079); Natural Science Foundation of Yunnan Province (No.2010CD023); The Financial Support of Yunnan University (No.XT412004).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Albatredines A and B, a pair of epimers with unusual natural heterocyclic skeletons from edible mushroom: Albatrellus confluens","20182805524989","","Zhang, Shuaibing (1); Huang, Ying (2); He, Shijun (3); Chen, Heping (1); Li, Zhenghui (1); Wu, Bin (1); Zuo, Jianping (3); Feng, Tao (1); Liu, Jikai (1) ","(1) School of Pharmaceutical Sciences, South-Central University for Nationalities, Wuhan; 430074, China (2) Leibniz Research Group-Biobricks of Microbial Natural Product Syntheses, Leibniz Institute for Natural Product Research and Infection Biology (HKI), Adolf-Reichwein-Str. 23, Jena; 07745, Germany (3) State Key Laboratory of Drug Research, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai; 201203, China ","Zuo, Jianping(jpzuo@simm.ac.cn) ","RSC Advances","RSC Adv.","","Royal Society of Chemistry","8","42","23914-23918","2018","","","","2018","English","","20462069","","","10.1039/c8ra04226h","","","","","","RSCACL","Journal article (JA)","A chemical study of the common species Albatrellus confluens present in Yunnan province, southwest China led to the identification of a pair of epimers named albatredines A (1) and B (2). They feature a natural unprecedented 1,2,4-oxadiazolidin-5-one skeleton. The acyl substitution pattern and complete configurational assignments were deduced from the comparison between experimental and theoretical13C NMR and ECD data, respectively. Bioassay results showed that compound 1 exhibited a weak immunosuppressive activity against the concanavalin A-induced T lymphocyte cell proliferation (IC502.99 μM). © 2018 The Royal Society of Chemistry.","23","Musculoskeletal system","Bioassay - Cell proliferation","13C NMR - Acyl substitution - Common species - Concanavalin A - Edible mushroom - Epimers - Southwest China - Yunnan province","461 Bioengineering and Biology",,"Number: -, Acronym: CAAS, Sponsor: Chinese Academy of Agricultural Sciences; Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2016ACA138, Acronym: -, Sponsor: -; Number: 81373289, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 81561148013, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was nancially supported by the National Natural Science Foundation of China (81561148013, 81373289), and the Key Projects of Technological Innovation of Hubei Province (No. 2016ACA138). Computational resources used in this work were supported in part by the HPC Center, Kunming Institute of Botany, CAS, China and the Supercomputing Environment of Chinese Academy of Science (ScGrid).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the Grey Verhulst Model Based on Particle Swarm Optimization and Markov Chain to Predict the Settlement of High Fill Subgrade in Xiangli Expressway","20191906898300","","Liu, Haiming (1); Guo, Wei (1); Zhang, Chao (2); Yang, Huaihao (1) ","(1) Yunnan Key Laboratory of Disaster Reduction in Civil Engineering, Faculty of Civil Engineering and Mechanics, Kunming University of Science and Technology, Kunming; 650500, China (2) State Key Laboratory of Geomechanics and Geotechnical Engineering, Institute of Rock and Soil Mechanics, Chinese Academy of Sciences, Wuhan; 430071, China ","Liu, Haiming(haiming0871@163.com) ","Mathematical Problems in Engineering","Math. Probl. Eng.","","Hindawi Limited, 410 Park Avenue, 15th Floor, 287 pmb, New York, NY 10022, United States","2019","","","2019","","","","2019","English","1024123X","15635147","","","10.1155/2019/1878296","1878296","","","","","","Journal article (JA)","It is of vital significance to accurately forecast the settlement of high fill subgrade, which is the foundation for disaster prevention and treatment of subgrade. According to the monitoring data of high fill subgrade, a novel model, called PSOMGVM model, based on particle swarm optimization (PSO) and Markov chain is proposed. Firstly, the typical characteristics of settlement curve are analyzed from the aspect of geomechanics theory and based on the grey theory, the grey Verhulst model (GVM) with unequal time-interval is proposed. Then, according to the theory of Markov chain, the grey Verhulst model is built to revise the relative residuals of the GVM, in which the effects of volatility characteristics can be considered. Finally, the PSOMGVM model based on PSO algorithm and Markov chain is set up, which whitens the parameters of the grey interval. In order to demonstrate the fitness and the ability of the proposed model, five competing models are introduced to predict the settlement of the high fill subgrade of Xiangli Expressway in Yunnan Province. Through the analysis of APE, MAPE, and RMSE, it states that the accuracy and performance of the PSOMGVM model outperform the other five competing models for simulative and predictive periods. © 2019 Haiming Liu et al.","33","Particle swarm optimization (PSO)","Disaster prevention - Forecasting - Markov processes","Competing models - Grey theory - Grey Verhulst model - Model-based OPC - PSO algorithms - Settlement curve - Time interval - Yunnan province","723 Computer Software, Data Handling and Applications - 914.1 Accidents and Accident Prevention - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
