Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Uniqueness results for monopolar fluids. We prove a unique property for weak solutions of monopolar fluid equations","2005179054041","Lin, Guoguang ","(1) Department of Mathematics, Yunnan University, Kunming 650091, China ","","Communications in Nonlinear Science and Numerical Simulation","Comm. Nonlinear Sci. Numer. Simul.","","Elsevier, Amsterdam, Netherlands","5","1","21-23","","","","2000","English","10075704","","","10.1016/S1007-5704(00)90018-2","","","","","","","Journal article (JA)","No abstract available","2",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Synthesis and properties of Ni-doping nano-TiO2 photocatalysts","20132816485305","Luo, Yu-Ping (1); Zhang, Jin (1); Zhu, Zhong-Qi (1); Liu, Qiang (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory of Nanomaterials and Nanotechnology, Yunnan University, Kunming 650091, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","Chinese Functional Materials Society; Natl. Instrum. Funct. Mater. Eng. Technol. Res. Cent.; Chongqing Functional Materials Periodical Press; Yunnan University; Chongqing Materials Research Institute; et al","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","320","","688-692","2013","Proceedings of 2012 China Functional Materials Technology and Industry Forum","","2013","English","16609336","16627482","9783037856857","10.4028/www.scientific.net/AMM.320.688","","2012 China Functional Materials Technology and Industry Forum, CFMTIF 2012","November 9, 2013 - November 12, 2013","Kunming, China","97630","","Conference article (CA)","Ni-doping TiO2 photocatalysts were synthesized by sol-gel method and characterized by XRD, Size Distribution and PL instruments. Meanwhile, the degradation of methyl blue (MB) was investigated under fluorescent lamp to test the photocatalytic activity of the samples with different Ni-doping concentration and sintered at different temperature. The results show that the photocatalytic activity of TiO2 photocatalysts is much higher than that of Degussa P25. The optimum preparation parameters are that the pH value is 2.5, Ni: Ti=0.01 (molar ratio) and sintering temperature is 500°. © (2013) Trans Tech Publications, Switzerland.","18","Photocatalysts","Functional materials - Nickel - Photocatalysis - Sintering - Sol-gel process - Titanium dioxide","MB - Nano-TiO - Ni-doping - Photo-catalystic - Photocatalytic activities - Preparation parameters - Sintering temperatures - TiO2 photocatalyst","951 Materials Science - 813.1 Coating Techniques - 804.2 Inorganic Compounds - 803 Chemical Agents and Basic Industrial Chemicals - 741.1 Light/Optics - 548.1 Nickel - 536.1 Powder Metallurgy Operations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Sizing and economic analysis of stand alone photovoltaic system with hydrogen storage","20174804462756","Nordin, N.D. (1, 2); Rahman, H.A. (1, 2) ","(1) Centre of Electrical Energy Systems, Institute of Future Energy, Universiti Teknologi Malaysia, Johor; 81300, Malaysia (2) Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Johor; 81300, Malaysia ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012068","012068","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","This paper proposes a design steps in sizing of standalone photovoltaic system with hydrogen storage using intuitive method. The main advantage of this method is it uses a direct mathematical approach to find system's size based on daily load consumption and average irradiation data. The keys of system design are to satisfy a pre-determined load requirement and maintain hydrogen storage's state of charge during low solar irradiation period. To test the effectiveness of the proposed method, a case study is conducted using Kuala Lumpur's generated meteorological data and rural area's typical daily load profile of 2.215 kWh. In addition, an economic analysis is performed to appraise the proposed system feasibility. The finding shows that the levelized cost of energy for proposed system is RM 1.98 kWh. However, based on sizing results obtained using a published method with AGM battery as back-up supply, the system cost is lower and more economically viable. The feasibility of PV system with hydrogen storage can be improved if the efficiency of hydrogen storage technologies significantly increases in the future. Hence, a sensitivity analysis is performed to verify the effect of electrolyzer and fuel cell efficiencies towards levelized cost of energy. Efficiencies of electrolyzer and fuel cell available in current market are validated using laboratory's experimental data. This finding is needed to envisage the applicability of photovoltaic system with hydrogen storage as a future power supply source in Malaysia. © Published under licence by IOP Publishing Ltd.","33","Hydrogen storage","Charging (batteries) - Cost benefit analysis - Costs - Digital storage - Economic analysis - Electrolytic cells - Fuel cells - Irradiation - Meteorology - Photovoltaic cells - Sensitivity analysis - Solar power generation","Economically viable - Fuel cell efficiency - Hydrogen storage technologies - Levelized cost of energies - Mathematical approach - Meteorological data - Photovoltaic systems - Stand alone photovoltaic system","522 Gas Fuels - 615.2 Solar Power - 702.1.2 Secondary Batteries - 702.2 Fuel Cells - 722.1 Data Storage, Equipment and Techniques - 911 Cost and Value Engineering; Industrial Economics - 911.2 Industrial Economics - 921 Mathematics",,"Number: -, Acronym: MOHE, Sponsor: Ministry of Higher Education, Malaysia; Number: Q.J130000.2523.14H02, Acronym: UTM, Sponsor: Universiti Teknologi Malaysia; Number: -, Acronym: MOHE, Sponsor: Ministry of Higher Education; ","The authors wish to acknowledge the supports for this research paper received from Malaysian Ministry of Higher Education (MOHE) and Universiti Teknologi Malaysia leading to this article under the Tier 1 grant (vote no: Q.J130000.2523.14H02).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Preparation and property of lanthanum ferrite formaldehyde gas sensor modified by carbon nano tubes and silver","20132816485281","Zhang, Yu-Min (1); Lin, Yu-Tao (1); Zhang, Jin (1); Zhu, Zhong-Qi (1); Liu, Qiang (1); Liu, Qing-Ju (1) ","(1) Yunnan Key Laboratory of Nanomaterials and Nanotechnology, Yunnan University, Kunming 650091, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","Chinese Functional Materials Society; Natl. Instrum. Funct. Mater. Eng. Technol. Res. Cent.; Chongqing Functional Materials Periodical Press; Yunnan University; Chongqing Materials Research Institute; et al","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","320","","554-557","2013","Proceedings of 2012 China Functional Materials Technology and Industry Forum","","2013","English","16609336","16627482","9783037856857","10.4028/www.scientific.net/AMM.320.554","","2012 China Functional Materials Technology and Industry Forum, CFMTIF 2012","November 9, 2013 - November 12, 2013","Kunming, China","97630","","Conference article (CA)","Our previous study revealed that the gas sensitive property of Silver-modified Lanthanum Ferrite (Ag-LaFeO3) is well, but the operating temperature is still high and the sensitivity also needs to be improved. This work based on our previous study. Ag-LaFeO3 was further modified by the Carbon Nano Tubes (CNTs). The Ag-LaFeO3 powder modified with CNTs(CNTs-Ag-LaFeO3) was prepared by a sol-gel method combined with microwave chemical synthesis. The structure and gas-sensing properties were investigated. The results show that the structure of CNTs-Ag-LaFeO3 is of orthogonal perovskite. The sensitivity of 0.75% CNTs -Ag-LaFeO3 powder for 1 ppm formaldehyde is 13 at 86°C. The response and recovery time are 100s and 60s, respectively. Moreover, the sensor also has an obvious response for 1ppm formaldehyde at 58°. © (2013) Trans Tech Publications, Switzerland.","8","Silver","Carbon - Chemical sensors - Formaldehyde - Functional materials - Gas detectors - Sol-gel process","Carbon nano tube (CNTs) - Gas sensing properties - Gas sensitive property - LaFeO3 - Lanthanum ferrites - Operating temperature - Preparation and properties - Response and recovery time","547.1 Precious Metals - 801 Chemistry - 804 Chemical Products Generally - 804.1 Organic Compounds - 813.1 Coating Techniques - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Changes of free amino acids in Saba ham during fermentation","20132616448832","Wang, Yan (1); Ji, Jie-Li (1); Zhu, Ren-Jun (1) ","(1) College of Food Science and Technology, Yunnan Agricultural University, Kunming 650201, China ","Wang, Y. ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology, Guangzhou, 510640, China","29","5","1010-1013","May 2013","","","2013","Chinese","16739078","","","","","","","","","","Journal article (JA)","The contents of amino acids in the leg back side muscle between femur and hip in Saba ham were determined by amino acid analyzer during fermentation. The results showed that the free amino acids in the muscles during fermentation first increased and then decreased. In the middle of fermentation, the content of free amino acids reached the largest value, accounting for 5.39% of the products. The free amino acids with high contents were Glu, Lys, Phe and Ile, and the lower-content ones were Cys, Pro, Tyr and Arg. Different free amino acids may play an important role of Saba ham flavor.","16","Amino acids","Fermentation - Flavors - Meats - Muscle","Free amino acids - High-content - Saba ham","461 Bioengineering and Biology - 822.3 Food Products",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Anti-browning effect of 1-MCP and film treatments on Lijiang snow peach during cold storage","20134216860877","Dong, Wen-Ming (1); Tian, Su-Mei (1); He, Lian-Jun (1) ","(1) Food Institute of Science and Technology, Yunnan Agriculture University, Kunming 650201, China ","Dong, W.-M. ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology, Guangzhou, 510640, China","29","8","1796-1799+1795","August 2013","","","2013","Chinese","16739078","","","","","","","","","","Journal article (JA)","The ethylene receptor inhibitor 1-methylcyclopropene model (1-MCP) combined with cling film was tested for preservation of Lijiang snow peach picked from Lashi township of Yulong county, Lijiang city, at low temperature storage (3 ± 1°C). The results showed that at refrigerated temperature, 1-MCP treatment could inhibit the respiration of Lijiang snow peach, Inhibit the increase of cell membrane permeability and maintain the fruit weight. However it increased the POD activity of the peach. Film bag processing can keep moisture, inhibited the POD activity and cell membrane permeability. The inhibition effect of film bag on peach respiration was lower than that of 1-MCP treatment. The combination treatment of 1-MCP and film bag treatment not only maintain moisture, but inhibit the cell membrane permeability, respiration and POD activity. In addition, the combined treatment can effectively inhibit the decrease of total phenolic content and PPO activity, thus preventing the browning of fresh Lijiang snow peach.","12","Fruits","Cell membranes - Cold storage - Cytology - Moisture - Plants (botany) - Snow","1-MCP - Anti browning - Cell membrane permeability - Combination treatments - Fresh keepings - Lijiang snow peach - Low-temperature storage - Total phenolic content","443.1 Atmospheric Properties - 443.3 Precipitation - 461.2 Biological Materials and Tissue Engineering - 461.9 Biology - 694.4 Storage - 821.4 Agricultural Products",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Automatic Positioning System of Ultrasonic Testing of Wind Turbine Blade Flaws","20174804462762","Liu, Q.X. (1); Wang, Z.H. (2); Long, S.G. (2); Cai, M. (2); Cai, M. (1); Wang, X. (1, 2); Chen, X.Y. (1); Bu, J.L. (1) ","(1) Zhuzhou Times New Material Technology CO. LTD, Zhuzhou, Hunan; 412007, China (2) Faculty of Material Science and Engineering, Xiangtan University, Xiangtan, HUNAN; 411105, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012074","012074","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Ultrasonic testing technology has been used essentially in non-destructive testing of wind turbine blades. However, it is fact that the ultrasonic flaw detection method has inefficiently employed in recent years. This is because the testing result will illustrate a small deviation due to the artificial, environmental and technical factors. Therefore, it is an urgent technical demand for engineers to test the various flaws efficiently and quickly. An automatic positioning system has been designed in this paper to record the moving coordinates and the target distance in real time. Simultaneously, it could launch and acquire the sonic wave automatically. The ADNS-3080 optoelectronic chip is manufactured by Agilent Technologies Inc, which is also utilized in the system. With the combination of the chip, the power conversion module and the USB transmission module, the collected data can be transmitted from the upper monitor to the hardware that could process and control the data through software programming. An experiment has been designed to prove the reliability of automotive positioning system. The result has been validated by comparing the result collected form LABVIEW and actual plots on Perspex plane, it concludes that the system possesses high accuracy and magnificent meanings in practical engineering. © Published under licence by IOP Publishing Ltd.","23","Ultrasonic testing","Nondestructive examination - Turbine components - Turbomachine blades - Wind turbines","Agilent technologies inc - Automatic positioning systems - Non destructive testing - Opto-electronic chips - Power conversion modules - Practical engineering - Transmission modules - Ultrasonic flaw detection","615.8 Wind Power (Before 1993, use code 611 ) - 617 Turbines and Steam Turbines - 753.3 Ultrasonic Applications",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Conservation voltage regulation (CVR) applied to energy savings by voltage-adjusting equipment through AMI","20174804462758","Lan, B.-R. (1); Chang, C.-A. (2, 3); Huang, P.-Y. (3); Kuo, C.-H. (3); Ye, Z.-J. (3); Shen, B.-C. (3); Chen, B.-K. (3) ","(1) Industrial Technology Research Institute, Hsinchu, Taiwan (2) Department of Electrical Engineering, Tatung University, Taipei, Taiwan (3) Institute of Nuclear Energy Research, Taoyuan City, Taiwan ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012070","012070","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Conservation voltage reduction (CVR) includes peak demand reduction, energy conservation, carbon emission reduction, and electricity bill reduction. This paper analyzes the energy-reduction of Siwei Feeders with applying CVR, which are situated in Penghu region and equipped with smart meters. Furthermore, the applicable voltage reduction range for the feeders will be explored. This study will also investigate how the CVR effect and energy conservation are improved with the voltage control devices integrated. The results of this study can serve as a reference for the Taiwan Power Company to promote and implement voltage reduction and energy conservation techniques. This study is expected to enhance the energy-reduction performance of the Penghu Low Carbon Island Project. © Published under licence by IOP Publishing Ltd.","12","Energy conservation","Carbon - Electric utilities - Emission control - Voltage regulators","Carbon emission reductions - Conservation voltage reductions - Conservation voltage regulation - Electricity bill - Peak demand reductions - Penghu low carbon islands - Taiwan power companies - Voltage reduction","451.2 Air Pollution Control - 525.2 Energy Conservation - 732.1 Control Equipment - 804 Chemical Products Generally",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design and implementation of a 38 kW dish-Stirling concentrated solar power system","20174804462740","Yan, J. (1); Peng, Y.D. (1); Cheng, Z.R. (1); Liu, F.M. (1); Tang, X.H. (2) ","(1) Hunan Provincial Key Laboratory of Health Maintenance for Mechanical Equipment, Hunan University of Science and Technology, Hunan Province Xiangtan; 411201, China (2) Solar Business Department of Xiangtan Electric Manufacturing Group, Hunan Province Xiangtan; 411101, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012052","012052","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Dish-Stirling concentrated solar power system (DS-CSP) is an important pathway for converting solar energy into electricity at high efficiency. In this study, a rated power 38 kW DS-CSP system was developed (installed in Xiangtan Electric Manufacturing Group). The heat engine adopted the alpha-type four cylinders double-acting Stirling engine (Stirling Biopower Flexgen S260). The absorber flux distribution simulation was conducted using ray tracing method and then the 204 m2parabolic dish concentrator system (diameter is 17.70 m and focal length is 9.49 m) with single concentrator plus single pillar supporting has been designed and built. A water-cooled disc target and an absorber imitation device were adopted to test the tracking performance of the dish concentrator system, homogeneity of the focal spot and flux distribution of the absorber. Finally, the S260 Stirling engine was installed on the focal position of the dish concentrator and then the net output power date of the 38 kW DS-CSP system was tested. The absorber overheating problem on the DS-CSP system performance was discussed when the DS-CSP system was installed in different locations. The testing result shows that this system achieved the net output power of 38 kW and solar-to-electricity efficiency (SEE) of 25.3% with the direct normal irradiation (DNI) at 750 W/m2. The net output power can further increase to 40.5 kW with the SEE of 26.6% when the DNI reaches up to the maximum of 761 W/m2. The net output power of the 38 kW DS-CSP system has a linear function relationship with the DNI. The fitting function is Net power output=0.1003 DNI36.129, where DNI is at the range of 460∼761 W/m2. This function could be used to predict the amount of the 38 kW DS-CSP system annual generation power. © Published under licence by IOP Publishing Ltd.","29","Solar power generation","Concentration (process) - Engine cylinders - Ray tracing - Solar concentrators - Solar energy - Stirling engines","Concentrated solar power - Design and implementations - Electricity efficiencies - Flux distributions - Net power outputs - Parabolic dish concentrator - Ray-tracing method - Tracking performance","612.1.1 Internal Combustion Engine Components - 615.2 Solar Power - 657.1 Solar Energy and Phenomena - 741.1 Light/Optics",,"Number: 51641504, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51576061, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: CX2017B628, Acronym: -, Sponsor: Hunan Provincial Innovation Foundation for Postgraduate; Number: CX2016B549, Acronym: -, Sponsor: Hunan Provincial Innovation Foundation for Postgraduate; Number: 2016JJ2052, Acronym: -, Sponsor: -; ","This work is supported by the National Natural Science Foundation of People‟s Republic of China (No. 51576061, 51641504), Hunan Province Natural Science Foundation of People‟s Republic of China (No. 2016JJ2052), and Hunan Province Postgraduate Innovation Project Foundation of People‟s Republic of China (No. CX2016B549, CX2017B628).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Information entropy and its application in heat conduction","20174804462863","Su, C.Q. (1); Wu, Y. (1); Fan, X.Y. (1); Guo, P. (1) ","(1) College of Electromechanical Engineering, Qingdao University of Science and Technology, Qingdao; 266061, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012031","012031","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","In this paper, heat conduction problems are analyzed from the view of information entropy. The variation law of temperature with time in the lumped-heat-capacity system can be expressed in the form of exponential distribution. It is proved that exponential distribution is the solution of a conditional extreme value problem with information entropy as an objective function. The general analysis procedure of heat conduction problems from the view of information entropy is proposed. Fundamental solution of heat conduction equation can be written in the form of normal distribution, and normal distribution can be derived from the maximum entropy principle. © Published under licence by IOP Publishing Ltd.","12","Heat conduction","Normal distribution - Specific heat","Exponential distributions - Fundamental solutions - Heat conduction equations - Heat conduction problems - Information entropy - ITS applications - Maximum entropy principle - Objective functions","641.1 Thermodynamics - 641.2 Heat Transfer - 922.1 Probability Theory",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
