Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Standardization on bitemporal information representation in BCDM","20161102092685","Yang, Chunlei (1); Wang, Xiangluo (2); Zhang, Mingchuan (1); Zheng, Ruijuan (1); Wei, Wangyang (1); Lou, Ying (1) ","(1) Information and Engineering College, Henan University of Science and Technology, Luoyang, China (2) College of Information and Technology, Luoyang Normal University, Luoyang, China ","Yang, Chunlei(cleiyang@126.com) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2052-2057","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279627","7279627","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","For conveniently analyzing semantic and updating data, it is urgent to unify the expression forms of bitemporal information in Bitemporal Conceptual Data Model (BCDM). In this paper, we firstly summary three typical forms about bitemporal information expression and extract temporal characteristics of entity attributes; then we present the transfer conditions between any two of the three forms and corresponding transfer methods; finally we propose a simple and unified form of bitemporal information expression and offer necessary proofs. Experimental study indicates that this unified standardization form favors the continuity and repeatability meaning of entity within the valid times, and effectively decrease the information storage space and operation response time. © 2015 IEEE.","","19","Standardization","Automation - Digital storage - Semantics","BCDM - Bitemporal information - Bitemporal interval - Conceptual data modeling - Information expression - Information representation - Temporal characteristics - unifying","722.1 Data Storage, Equipment and Techniques - 731 Automatic Control Principles and Applications - 902.2 Codes and Standards",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Novel digital carpet printing using acid ink","20161102092578","Zhu, Wenhua (1, 2); Wang, Qiang (1) ","(1) Zhejiang University, College of Computer Science, Zhejiang Provincial Key Laboratory of Service Robot, Hangzhou; 310027, China (2) Hangzhou Dianzi University, School of Information Engineering, Hangzhou; 310018, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","643-646","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279365","7279365","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Because of the extensive amount of waste water that is discharged during its processes, conventional carpet printing is a big polluting industry. In this paper, we propose a new digital carpet printing method based on traditional textile-printing technology. Our method aims to remove limitations in carpet design and eliminate industry pollution. A series of measures are performed to raise the permeability of acid inks. In addition, a new ink control method is employed to compensate for penetrated color inks. This results in carpet production processes that not only take advantage of digital textile printers, but also satisfy the requirements of carpet production. © 2015 IEEE.","","9","Textile printing","Automation - Textiles","Color inks - Control methods - Digital textile - Printing method - Printing technologies - Production process","731 Automatic Control Principles and Applications - 819 Synthetic and Natural Fibers; Textile Technology - 819.5 Textile Products and Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Wind field on-line extraction based on small -window sliding Fourier transform","20161102092659","Yu, Lili (1); Qu, Yaohong (1); Zhang, Youmin (2) ","(1) School of Automation, Northwestern Polytechnical University, Xi'an, Shaanxi Province, China (2) Department of Mechanical and Industrial Engineering, Concordia Institute of Aerospace Design and Innovation, Concordia University, Montreal; QC; H3G 1M8, Canada ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2287-2292","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279667","7279667","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","In order to solving the problem in sampling period selection and frequency diversity reservation during real-time wind field estimation, a method of variable-frequency wind field information extraction is put forward based on small-window sliding Fourier transform. Firstly, a discrete wind information extraction method is proposed and used in the estimation. Secondly, for purpose of reducing the processing delay caused by stats accumulation, the small-window technology is established with the aid of the wind field frequency characteristic. Finally, by means of sliding Fourier transform, the frequency response in each sampling point is obtained by area comparison algorithm of spectrum function, and then the wind field information is partitioned extracted in the case of threshold sliding changed. Simulation results show that the estimation is available for tracking the wind field real-timely and accurately, and the main frequency component of the wind field is furthest retained and highlighted. © 2015 IEEE.","","10","Frequency estimation","Automation - Fourier transforms - Frequency response - Information retrieval - Unmanned aerial vehicles (UAV)","Frequency characteristic - Information extraction methods - on-line - Sampling period selection - threshold - Variable frequencies - Wind field - Wind field estimation","652.1 Aircraft, General - 731 Automatic Control Principles and Applications - 903.3 Information Retrieval and Use - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Double liquid-core cylindrical lens utilized to measure liquid diffusion coefficient","20171203475953","Meng, Weidong (1); Xia, Yan (1); Song, Fangxi (1); Pu, Xiaoyun (1) ","(1) Department of Physics, Yunnan University, Kunming; 650091, China ","","Optics Express","Opt. Express","","OSA - The Optical Society","25","5","5626-5640","March 6, 2017","","","","2017","English","","10944087","","10.1364/OE.25.005626","","","","","","","Journal article (JA)","We design and fabricate an aplanatic double liquid-core cylindrical lens (DLCL), which is used to measure the binary liquid diffusion coefficient (D). The front lens of the DLCL is used as both a diffusion cell and a key imaging element; the refractive index (RI) of liquid filled in its core can be measured in the way of spatial resolution. The rear lens of the DLCL is used as an aplanatic component, and either the RI position of spherical aberration (SA) or the SA in a range of RI caused by the front lens can be regulated by selecting the liquid, of which RI is pre-prepared and filled in the rear liquid core. Equipped with the aplanatic DLCL, two methods have been applied to measure the D value of 0.33mol/L KCL aqueous solution at temperature 298.15K. The first method derives D value precisely from the drift rate of diffusion image and the measured D is 1.8508 × 10-5cm2/s. Meanwhile, the second method obtains the D value rapidly by analyzing an instantaneous diffusion image and the measured D is 1.8619 × 10-5cm2/s. The measured values are in good agreement with the literature value, demonstrating that the designed DLCL works well in measuring liquid diffusion coefficients. © 2017 Optical Society of America.","","21","Aberrations","Diffusion in liquids - Refractive index - Solutions","Cylindrical lens - Diffusion cells - Imaging elements - KCl aqueous solution - Liquid diffusion coefficient - Measured values - Spatial resolution - Spherical aberrations","741.1 Light/Optics",,"Number: 2016CYH05, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; Number: 61465014, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (NSFC) (Grant NO. 61465014); Applied Basic Research Key Project of Yunnan (Grant NO. 2016CYH05); Scholarship Award for Excellent Doctoral Student granted by Yunnan Province, China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Longitudinal control of a monowheeler","20084011615963","Chen, Pingho (1) ","(1) Dept. of EE, Tungnan University ","Chen, P.(phc@mail.tnu.edu.tw) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","613-617","2008","Proceedings of the 27th Chinese Control Conference, CCC","","","2008","English","","","9787900719706","10.1109/CHICC.2008.4604877","4604877","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The monowheeler, a mono-wheeled vehicle is composed of a wheel, a platform and a control module. Design, fabrication and simulation by LQR control approach point out that the results improve a lot the eigen structure of the system in longitudinal balancing.","","17","Longitudinal control","Automobile manufacture - Balancing - Linear control systems","Control module - Eigen-structure - IMPROVE-A - LQR control - Monowheeler - Wheeled vehicles","601 Mechanical Design - 662.1 Automobiles - 731.3 Specific Variables Control - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimized context weighting based on the least square algorithm","20160101755212","Chena, Min (1); Chen, Jianhua (1); Zhang, Yan (1); Tang, Meng (1) ","(1) Department of Electronic, Yunnan University, North Cuihu Road 2#, Kunming; Yunnan; 650091, China ","Chena, Min(minkeychen@sina.cn) ","Lecture Notes in Electrical Engineering","Lect. Notes Electr. Eng.","","Springer Verlag","348","","1037-1045","2016","Wireless Communications, Networking and Applications, Proceedings of WCNA 2014","","1 of 1","2016","English","18761100","18761119","9788132225799","10.1007/978-81-322-2580-5_94","","International Conference on Wireless Communications, Networking and Applications, WCNA 2014","December 27, 2014 - December 28, 2014","Shenzen, China","154629","","Conference article (CA)","The optimized context weighting is presented. The relationship between the weighting of context models and the weighting of the description lengths corresponding to their respective context models are discussed first and it indicates that the weighting of context models is equivalent to the weighting of the their description lengths. With these discussions, the weights optimization algorithm based on the minimum description length are presented and the least square algorithm is suggested to implement the optimization of the weights. The proposed optimization algorithm is used in the compression of genome sequences. The experiment results indicate that by using the proposed weights optimization method, our context weighting-based algorithm can achieve better results than some similar algorithms reported in the literature. © Springer India 2016.","","8","Genes","Genetic engineering - Optimization - Wireless telecommunication systems","Context modelling - Context weighting - Genome sequences - Least Square - Least square algorithms - Minimum description length - Optimization algorithms - Optimization method","461.2 Biological Materials and Tissue Engineering - 461.8.1 Genetic Engineering - 921.5 Optimization Techniques",,"Number: 2013FD042, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: ynuy201383, Acronym: -, Sponsor: -; Number: 61062005, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by Natural Science Foundation of China under Grant (61062005) and Natural Science Foundation of Yunnan Province under Grant (2013FD042) and Yunnan University Science Foundation for Graduates under Grant (ynuy201383).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"IEEE 802.15.4 CSMA/CA scheme for heterogeneous sensor networks based adaption and RTS/CTS mechanism","20163602764961","Zhao, Yifan (1); Zhou, Shengjie (1); Ding, Hongwei (1); Yang, Zhijun (1); Liu, Qianlin (1) ","(1) School of Information, Yunnan University, Kunming; Yunnan; 650091, China ","Ding, Hongwei(dhw1964@163.com) ","Sensor Letters","Sens. Lett.","","American Scientific Publishers","14","7","719-726","July 2016","","","","2016","English","1546198X","15461971","","10.1166/sl.2016.3712","","","","","","","Journal article (JA)","Recently, the wireless sensor networks (WSNs) are being widely used in various fields which can simultaneously support many kinds of sensing tasks in a common sensor field. In heterogeneous sensor networks (HSNs), the network topology may change due to environmental factors or energy depletion, the position of the moving object and the observer, adding a new node; each node generates data packets with a different size, degrading the network performance. In this paper, we propose a multi-channel three-dimensional probability CSMA/CA scheme based on the adaption and RTS/CTS mechanism, which is a variation on the basis of IEEE 802.15.4 CSMA/CA, solving the three problems. The mathematical model based on the discrete time is presented and analyzed to measure the performance. Network aggregate throughput and multiple priorities throughput with diverse business are successfully detected. Simulation results are given to verify the accuracy of the improved model. Copyright © 2016 American Scientific Publishers All rights reserved.","","32","Wireless sensor networks","Carrier sense multiple access - Sensor nodes - Standards","Energy depletion - Environmental factors - Heterogeneous sensor networks - Ieee 802.15.4 csma/ca - Network aggregates - RTS/CTS - Three dimensions - Wireless sensor network (WSNs)","722 Computer Systems and Equipment - 722.3 Data Communication, Equipment and Techniques - 902.2 Codes and Standards",,"Number: 2010CD023, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: XT412004, Acronym: -, Sponsor: -; Number: 61072079, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61461053, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61461054, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Nos. 61461053, 61461054, 61072079); Natural Science Foundation of Yunnan Province (No. 2010CD023); The Financial Support of Yunnan University (No. XT412004).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Approximation algorithms for the generalized stacker crane problem","20175104558829","Li, Jianping (1); Liu, Xiaofei (1); Li, Weidong (1); Guan, Li (1); Lichen, Junran (1) ","(1) Department of Mathematics, Yunnan University, Kunming; 650091, China ","Li, Jianping(jianping@ynu.edu.cn) ","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Lect. Notes Comput. Sci.","","Springer Verlag","10627 LNCS","","95-102","2017","Combinatorial Optimization and Applications - 11th International Conference, COCOA 2017, Proceedings","","1 of 2","2017","English","03029743","16113349","9783319711492","10.1007/978-3-319-71150-8_8","","11th International Conference on Combinatorial Optimization and Applications, COCOA 2017","December 16, 2017 - December 18, 2017","Shanghai, China","208249","","Conference article (CA)","The stacker crane problem is treated as one modified arc routing problem. This problem is to find some route for stacker cranes on a construction site such that all arcs in a mixed graph G=(V, E∪A w) must be traversed at least once. In the real literature, since many different building materials must be handled, we consider the generalized stacker crane (GSC) problem, and the objective of this new problem is to determine a minimum weighted tour C traversing each arc e (in A) a number of times between the lower demand and upper demand. In this paper, we design two approximation algorithms for the GSC problem. The first algorithm uses some exact algorithm to solve the integral circulation problem, and the second algorithm uses some approximation algorithm to solve the metric traveling salesman problem. Combining these two approximation algorithms, we can design a 9/5-approximation algorithm to solve the GSC problem. © Springer International Publishing AG 2017.","","9","Approximation algorithms","Combinatorial optimization - Cranes - Problem solving - Traveling salesman problem","Arc routing problems - Can design - Construction sites - Exact algorithms - Lower/upper demands - Mixed graph - Stacker crane problems - Stacker cranes","693.1 Cranes - 921 Mathematics",,"Number: 2017ZZX235, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 11461081, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11761078, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61662088, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Acknowledgments. The work is supported in part by the National Natural Science Foundation of China [Nos. 11461081, 61662088, 11761078] and the Natural Science Foundation of Education Department of Yunnan Province [No. 2017ZZX235].",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Farmland environmental quality evaluation system for edible agricultural products based on WebGIS","20113114199435","Li, Wenfeng (1); Li, Chao (2); Yang, Linnan (1); Li, Ming (3); Liu, Xiaolin (1) ","(1) University Key Laboratory of Agricultural Information Technology in Yunnan, Kunming 650201, China (2) Meteorological Observatory of Yunnan Province, Kunming 650034, China (3) Personnel Division, Guangxi University, Nanning 530004, China ","Yang, L. ","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","Nongye Gongcheng Xuebao","","Chinese Society of Agricultural Engineering","27","6","198-202","June 2011","","","","2011","Chinese","10026819","","","10.3969/j.issn.1002-6819.2011.06.036","","","","","","NGOXEO","Journal article (JA)","In order to evaluate the farmland environmental quality for the edible agricultural product accurately and improve the edible agricultural product security. Agricultural environment of Jianshui county in Yunnan province was kept monitoring for consecutive years, six web-spatial databases were developed by WebGIS and database technology, including agricultural basic database, agrometeorology database, soil property database, atmospheric pollutant database, soil pollutant database, and irrigation water pollutant database. According to China national standard, farmland environmental quality evaluation standards for edible agricultural products, an evaluation model was developed to evaluate the environmental quality of atmosphere, soil, and irrigation water for edible agricultural product farmland. With the six databases and the evaluation model, an information service system based on WebGIS was developed by the tools SupMapGIS and Visual Studio 2005. The system can be used for the telematic of agricultural environment, spatial analysis of pollutant information, the evaluation of single pollutant in atmosphere, soil and irrigation water, and comprehensive evaluation of farmland environmental quality. This study can provide references for development of Decision Support System of non-pollution agricultural product planting and agricultural regionalization and decision-making in non-pollution agricultural production.","","18","Quality control","Agricultural products - Artificial intelligence - Database systems - Decision making - Decision support systems - Farms - Image quality - Information services - Irrigation - Soils - Water - Water pollution - Wireless telecommunication systems","Agricultural environments - Agricultural productions - Atmospheric pollutants - Comprehensive evaluation - Environment - Evaluation systems - Information service systems - Web-GIS","453 Water Pollution - 483.1 Soils and Soil Mechanics - 723.3 Database Systems - 723.4 Artificial Intelligence - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 903.4 Information Services - 912.2 Management - 913.3 Quality Assurance and Control",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An expressway rock pile of environment geology condition analysis and evaluation of landslide stability","20174204277298","Yu, Wenqi (1); Ma, Lei (1); Qian, Jiazhong (1); Luo, Qiankun (1) ","(1) School of Resources and Environmental Engineering, Hefei University of Technology, Hefei; 230009, China ","","Proceedings of the 5th International Conference on Environmental Technology and Knowledge Transfer","Proc. Int. Conf. Environ. Technol. Knowl. Transf.","","Hefei University","","","218-223","2014","Proceedings of the 5th International Conference on Environmental Technology and Knowledge Transfer","","1 of 1","2014","English","","","9783860094112","","","5th International Conference on Environmental Technology and Knowledge Transfer","May 15, 2014 - May 16, 2014","Hefei, China","130743","","Conference article (CA)","Through an expressway in Yunnan, China, rock pile of environmental engineering geological conditions and characteristics of landslide development research, this article analyzes the formation mechanism of landslide by use the fold line method to evaluate landslide stability analysis. Result shows that this landslide is Temporary stable in the nature lodging, and in full water from glide to strained condition. This conclusion for the construction of highway safety and the local environmental protection provides the technical support.","","9","Piles","Environmental technology - Geology - Highway engineering - Knowledge management - Landslides","Condition analysis - Engineering geological condition - Formation mechanism - Landslide stability - Landslide stability analysis - Origin - Stability evaluation - Strained condition","408.2 Structural Members and Shapes - 454 Environmental Engineering - 481.1 Geology - 723.5 Computer Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
