Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Comprehensive analysis on influencing factors of bearing capacity of large diameter pile foundation for red bed in West Yunnan","2005249161224","Feng, Zhong-Ju ; Xie, Yong-Li ; Zhang, Hong-Guang ; Qiu, Yu-Liang ","(1) School of Highway, Chang'an University, Xi'an 710064, China ","","Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering","Yantu Gongcheng Xuebao","","Chinese Society of Civil Engineering, Nanjing, China","27","5","540-544","May 2005","","","","2005","Chinese","10004548","","","","","","","","","","YGXUEB","Journal article (JA)","Combined with the engineering geological feature of the red bed in West Yunnan, this paper conducts tests and researches on the characteristics of bearing capacity of pile foundation under different construction conditions. The relevant factors influencing the characteristics of bearing capacity of pile foundation for the red bed in West Yunnan are analyzed. Through the analyses of loading test using mortar casting around pile to harden soil and water injection around pile to soften soil, the result shows that mortar casting can increase greatly the bearing capacity of pile while water injection can reduce the bearing capacity of pile. The findings may provide reliable evidence to the design and construction of pile foundation in the area of red bed in West Yunnan.","","6",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Hydrophilic properties of TiO2-Al2O3 composite thin films","2005179060664","Liu, Qingju (1); Zhang, Jin (1); Zhu, Zhongqi (1); Jin, Yingxia (1); Wang, Qinghui (1) ","(1) Dept. of Mat. Sci. and Engineering, Yunnan University, Yunnan 650091, China ","Liu, Q.(qjliu@ynu.edu.cn) ","Materials Science Forum","Mater Sci Forum","The Chinese Society for Metals; The Japan Institute of Metals; The Korea Institute of Metals and Minerals; The Minerals, Metals and Materials Society","Trans Tech Publications Ltd","475-479","V","3897-3900","2005","PRICM 5: The Fifth Pacific Rim International Conference on Advanced Materials and Processing","","5 of 5","2005","English","02555476","","","","","","PRICM 5: The Fifth Pacific Rim International Conference on Advanced Materials and Processing","November 2, 2004 - November 5, 2004","Beijing, China","64584","MSFOEP","Conference article (CA)","TiO2-Al2O3 composite thin films were fabricated on soda-lime glass with sol-gel technology. By measuring the contact angle of water with the film surface and the analysis of the XRD and XPS, we studied the influence of Al2O3 doping concentration and film thickness on the hydrophilicity of the composite films. The results indicate that the doping of Al2O3 into TiO2 and the relatively large thickness of the films can improve their hydrophilicity. © 2005 Trans Tech Publications, Switzerland.","","6","Thin films","Alumina - Composite materials - Doping (additives) - Hydrolysis - Hydrophilicity - Sol-gels - Surface properties - Titanium dioxide - X ray diffraction analysis - X ray photoelectron spectroscopy","Film thickness - Hydrolysis reactions - Sol-gel technology - Super-hydrophilicity","931.2 Physical Properties of Gases, Liquids and Solids - 804.2 Inorganic Compounds - 802.2 Chemical Reactions - 801 Chemistry - 714.2 Semiconductor Devices and Integrated Circuits - 712.1 Semiconducting Materials - 415 Metals, Plastics, Wood and Other Structural Materials","Theoretical (THR); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Machining of Molybdenum by EDM-EP and EDC Processes","20180304662286","Wu, K.L. (1); Chen, H.J. (2); Lee, H.M. (3); Lo, J.S. (4) ","(1) Department of Mechanical Engineering, Tungnan University, New Taipei City; 222, Taiwan (2) Department of Mechanical Engineering, National Central University, Jhong-Li City; 320, Taiwan (3) Department of Mechanical Engineering, Army Academy, Taoyuan City; 32093, Taiwan (4) Department of Mechanical Engineering, National United University, Miaoli; 36003, Taiwan ","Wu, K.L.(klwu@mail.tnu.edu.tw) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","281","1","","December 21, 2017","1st International Workshop on Materials Science and Mechanical Engineering","","1 of 1","2017","English","17578981","1757899X","","","10.1088/1757-899X/281/1/012030","012030","1st International Workshop on Materials Science and Mechanical Engineering, IWMSME 2017","October 27, 2017 - October 29, 2017","Kunming, Yunnan, China","133101","","Conference article (CA)","Molybdenum metal (Mo) can be machined with conventional tools and equipment, however, its refractory propertytends to chip when being machined. In this study, the nonconventional processes of electrical discharge machining (EDM) and electro-polishing (EP) have been conducted to investigate the machining of Mo metal and fabrication of Mo grid. Satisfactory surface quality was obtained using appropriate EDM parameters of Ip 3A and Tonmax= 8.51μm) to 0.23μm (Rmax= 1.48μm). Machined Mo metal surface, when used as grid component in electron gun, needs to be modified by coating materials with high work function, such as silicon carbide (SiC). The main purpose of this study is to explore the electrical discharge coating (EDC) process for coating the SiC layer on EDMed Mo metal. Experimental results proved that the appropriate parameters of Ip= 5A and Ton= 50μs at Toff= 10μs can obtain the deposit with about 60μm thickness. The major phase of deposit on machined Mo surface was SiC ceramic, while the minor phases included MoSi2and/or SiO2with the presence of free Si due to improper discharging parameters and the use of silicone oil as the dielectric fluid. © Published under licence by IOP Publishing Ltd.","","12","Molybdenum","Coatings - Deposits - Electric discharge machining - Electric discharges - Electrolytes - Electron guns - Refractory metals - Silica - Silicon carbide - Silicon oxides - Silicones - Surface roughness","Coating material - Electrical discharge machining - Electrical discharges - Electrolyte flow rates - High work function - Molybdenum metals - Nonconventional process - Silicon carbides (SiC)","531 Metallurgy and Metallography - 543.3 Molybdenum and Alloys - 604.2 Machining Operations - 701.1 Electricity: Basic Concepts and Phenomena - 714.1 Electron Tubes - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 813.2 Coating Materials - 815.1.1 Organic Polymers - 931.2 Physical Properties of Gases, Liquids and Solids",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Gravity and magnetic anomaly separation based on bidimensional empirical mode decomposition","20111813958237","Chen, Jian-Guo (1, 2); Xiao, Fan (1, 2); Chang, Tao (1, 2) ","(1) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Wuhan 430074, China (2) Faculty of Earth Resources, China University of Geosciences, Wuhan 430074, China ","Chen, J.-G.(jgchen@cug.edu.cn) ","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","36","2","327-335","March 2011","","","","2011","Chinese","10002383","","","","10.3799/dqkx.2011.034","","","","","","DIKEEL","Journal article (JA)","Geological process often experienced a number of causal or complex genetic stages, which often resulted in original gravity and magnetic anomaly composed of various geological elements including background anomaly, and local anomaly which may be caused by deposits, alternation and concealed rocks, etc., which are associated with mineral exploration and prospecting. It is one of the most difficult issues in mineral prospecting and potential resource assessment as how to separate gravity and magnetic anomaly, which is significant for mineral exploration from original composite anomaly. Empirical mode decomposition (EMD) is considered to be an effective method in superimposed information separation. In this paper, a new bidimensional empirical mode decomposition (BEMD) method is proposed, that is, biharmonic spline interpolation (BSI) instead of general spline interpolation for improving stability. As a case study, gravity and magnetic data in Gejiu, Yunnan, China, have been used to extract local anomaly which could reveal potential information in mineral exploration by multiscale and nonlinear decomposition with BEMD method. It extends the application of empirical mode decomposition.","","51","Minerals","Geology - Interpolation - Magnetism - Mineral exploration - Separation - Signal processing","Bi dimensional empirical mode decomposition (BEMD) - Bi-dimensional empirical mode decompositions - Empirical Mode Decomposition - Gejiu - Gravity and magnetic anomalies - Information separation - Mathematic model - Spline interpolation","481.1 Geology - 482.2 Minerals - 501.1 Exploration and Prospecting Methods - 701.2 Magnetism: Basic Concepts and Phenomena - 716.1 Information Theory and Signal Processing - 802.3 Chemical Operations - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The characteristics of the blood flow distribution near the vessel wall in mildly-stenosed vessels","20120214678675","Gao, Lian (1); Zhang, Yufeng (1); Su, Hong (1); Liu, Bin (1); Shi, Xinling (1) ","(1) Department of Electronic Engineering, Information School, Yunnan University, Kunming, Yunnan, 650091, China ","Zhang, Y.(yfengzhang@yahoo.com) ","Proceedings - 4th International Congress on Image and Signal Processing, CISP 2011","Proc. - Int. Congr. Image Signal Process., CISP","Donghua University","IEEE Computer Society","5","","2339-2344","2011","Proceedings - 4th International Congress on Image and Signal Processing, CISP 2011","","","2011","English","","","","9781424493067","10.1109/CISP.2011.6100722","6100722","4th International Congress on Image and Signal Processing, CISP 2011","October 15, 2011 - October 17, 2011","Shanghai, China","88002","","Conference article (CA)","This paper presents a study on the velocity distribution of the blood flow near the vessel wall in the mildly-stenosed vessels to determine the characteristics being sensitive to the arterial stenosis at an early stage. By solving the Navier-Stokes equations, the velocity distributions of blood flow near the vessel wall in the mildly stenosed vessels are calculated according to the velocity at the axis of the circular tube, and then the power spectrum density (PSD) of the blood flow velocity distribution is estimated by summing the contribution of all scatterers passing through the sample volume grouped into elemental volumes to determine the characteristics being sensitive to the mild stenosis. The results show that Doppler ultrasound spectrogram characteristics, such as: increased spectral broadening index and obvious reserved blood flow (components with negative frequencies), are observed in the blood flow close to the vessel wall, and could be used as the indications that identify the mild narrowing of arteries. © 2011 IEEE.","","15","Velocity distribution","Blood - Blood vessels - Flow velocity - Hemodynamics - Image processing - Navier Stokes equations - Non Newtonian flow - Velocity","Blood flow distribution - Blood flow distribution close to the vessel walls - Blood flow velocity - Doppler ultrasound - Mild stenosis - Negative frequency - Power spectrum density - Spectral broadening index","461.1 Biomedical Engineering - 461.2 Biological Materials and Tissue Engineering - 631 Fluid Flow - 631.1 Fluid Flow, General - 921.2 Calculus - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new DAA scheme from one-off public key","20114714544947","Guo, Jie (1); Hao, Lin (1); Sun, Huimin (1) ","(1) Department of Computer Science and Engineering, Yunnan University, Kunming 650091, China ","Guo, J.(guojie827@163.com) ","2011 International Conference on Electronics, Communications and Control, ICECC 2011 - Proceedings","Int. Conf. Electron., Commun. Control, ICECC - Proc.","Ningbo University","IEEE Computer Society","","","646-649","2011","2011 International Conference on Electronics, Communications and Control, ICECC 2011 - Proceedings","","","2011","English","","","","9781457703218","10.1109/ICECC.2011.6066664","6066664","2011 International Conference on Electronics, Communications and Control, ICECC 2011","September 9, 2011 - September 11, 2011","Ningbo, China","87394","","Conference article (CA)","Direct Anonymous Attestation (DAA) is a kind of mechanism that enables remote direct anonymous authentication of a user in trusted computing. However, DAA is based on zero knowledge signature that leading to the processes of authentication is complicated. So in this paper, the improved scheme of one-off public key is proposed to realize the anonymous authentication of trusted computing in a simpler processes. The scheme of one-off public key has a key management problem and the security is not very well, so the combined public key (CPK) technology is used to expand the scheme's key space and promote the safety of the whole scheme. The improved scheme can not only realize the direct and credible anonymous authentication of trusted computing, but also, if necessary, reveal the malicious users' true identity with the help of a trusted third party. © 2011 IEEE.","","11","Trusted computing","Authentication","Anonymous authentication - Combined public key - Direct anonymous attestations - Improved scheme - Key-management problem - One-off public keys - Trusted third parties - Zero knowledge","723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Basic Support Capacity of Resources Environment in China's Silk Road Economic Belt Based on GIS","20190306385981","Wu, Yingmei (1); Wang, Dali (1) ","(1) Yunnan Normal University, School of Tourism and Geographic Sciences, Kunming, Yunnan; 650500, China ","Wang, Dali ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","","1 of 1","2018","English","2161024X","21610258","","9781538676196","10.1109/GEOINFORMATICS.2018.8557118","8557118","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","With the China' s Silk Road Economic Belt as a space carrier, GIS is used to analyze the basis for resources and environment of the Silk Road Economic Belt: Guangxi, Chongqing and Sichuan are the areas with high abundance of the combination of resources and environment; Yunnan, Shaanxi, and Ningxia are the areas with medium abundance of the medium combination of resources and environment; Gansu, Xinjiang, and Qinghai are the areas that with general abundance of the combination of resources and environment. Qinghai and Xinjiang are the areas with high degree of guarantee for resources and environment; Yunnan, Sichuan, Guangxi, and Ningxia are the areas with average degree of guarantee for resources and environment, and Gansu, Shaanxi, and Chongqing are the areas with general degree of guarantee for resources and environment. Qinghai and Xinjiang are the areas with high degree of matching between economic and social resources and environment; Gansu, Yunnan and Ningxia are the areas with average degree of matching between economic and social resources and environment; Sichuan, Guangxi, Shaanxi and Chongqing are the areas with general degree of matching between economic and social resources and environment. © 2018 IEEE.","","12","Geographic information systems","Roads and streets - Silk","Average degree - Chongqing - Degree of matching - Resources and environment - Resources environments - Silk roads - Social resources - Xinjiang","406.2 Roads and Streets - 819.1 Natural Fibers - 903.3 Information Retrieval and Use",,"Number: 2014cx01-10, Acronym: -, Sponsor: -; Number: 41761037, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: GIS, Sponsor: Genome Institute of Singapore; ","Fund project: Joint funding by National Natural Science Foundation of China (41461037, 41761037) , Yunnan Ph ilosophy and Social Sciences Innovation Team (2014cx01-10) and Yunnan Philosophy and Social Science Project(YB2015004). The first author:Yingmei Wu(1968-), female, Kunming, Yunnan, Phd., professor, mainly engaged in regional eco nomic development research. * Correspondence author:Dali Wang(1989-), male, Bai nationality, Dali, Yunnan, postgraduate, mainly engaged i n GIS research.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The analysis on the meteorological factors of the wine grape growing region in Shangri-La area","20144800240985","Gao, Meng (1); Zhang, TianShun (2); Lu, Shaokun (1); He, Xiahong (3); Duan, Meiying (1); He, Hanmin (1) ","(1) College of Foundation and Information Engineering, Yunnan Agricultural University, Kunming, Yunnan Province, China (2) College of Engineering and Technology, Yunnan Agricultural University, Kunming, Yunnan Province, China (3) Key Laboratory for Plant Pathology of Yunnan Province, Yunnan Agricultural University, Kunming, Yunnan Province, China ","Lu, Shaokun ","American Society of Agricultural and Biological Engineers Annual International Meeting 2014, ASABE 2014","Am. Soc. Agric. Biol. Eng. Annu. Int. Meet.","","American Society of Agricultural and Biological Engineers, 2950 Niles Road, St. Joseph, MI 49085-9659, United States","4","","2347-2353","2014","","American Society of Agricultural and Biological Engineers Annual International Meeting 2014, ASABE 2014","4of7","2014","English","","","","9781632668455","","","American Society of Agricultural and Biological Engineers Annual International Meeting 2014, ASABE 2014","July 13, 2014 - July 16, 2014","Montreal, QC, Canada","108722","","Conference article (CA)","Shangri-La, which located in Yunnan Province of China, has special geographical conditions of low latitude and high altitude, its environmental factors directly affects the growth and quality of grape. In this paper, the meteorological data is collected and monitored by automatic weather observation instruments to study the meteorological factors in particular terrain environment. Meanwhile, this paper does a preliminary analysis of the correlation of key meteorological factors of 6 meteorological stations in different altitude, latitude and longitude along the Jinsha River and Lantsang River. According to the rule of the variation of meteorological elements, the change laws of various meteorological factors of wine grape are analyzed respectively in the period of flowering (early May to early June), discoloring (early July to early September), and picking (in the middle of the middle of September to November). In particular, USB4000 Fiber Optic Spectrometer is used by collecting and analyzing the distribution of the solar spectrum in Shangri-La area. It is found that, Shangri-La area has less rainfall, bigger total radiation and ultraviolet radiation, significant temperature changes, smaller relative humidity changes, almost identical various spectral distribution regularity in the sun, and increasing sunlight intensity with altitude rising. The results can provide a reference for the development of local wine grape planting.","","9","Factor analysis","Agriculture - Meteorology - Sensors - Spectrum analysis - Ultraviolet radiation - Wine","Fiber-optic spectrometers - Geographical conditions - Grapes - Meteorological elements - Meteorological factors - Meteorological station - Relative humidity changes - Temperature humidity","741.1 Light/Optics - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 822.3 Food Products - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A multiuser detection for MC-CDMA system based on particle swarm optimization algorithm with Hopfield neural network","20091712046773","Long, Yin-Fang (1); Zhao, Zhi-Jin (1); Shen, Lei (1) ","(1) Telecommunication School, Hangzhou Dianzi University, Hangzhou, 310018, China ","Long, Y.-F.(longxiao8283@163.com) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","World Research Institutes","IEEE Computer Society","1","","283-286","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.65","4797002","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75844","","Conference article (CA)","In this paper, we propose a multiuser detection (MUD) for MC-CDMA system based on particle swarm optimization algorithm with Hopfield neural network (HNNPSO). In the updating of particles' position, we choose some random particles as individuals composed of neurons in HNN to update the network, and employ PSO updating strategy to the others, which can provide faster rate of convergence and reduce the computational complexity of PSO algorithm. Simulation results show that the performance of the proposed MUD such as bit error rate, convergence, system capacity, and near-far resistance is better than that of MUD based on PSO and MUD based on HNN, nearly reaching the performance of optimal multiuser detection (OMD). © 2009 IEEE.","","5","Multiuser detection","Bit error rate - Code division multiple access - Computational complexity - Hopfield neural networks - Mobile computing - Multicarrier modulation - Particle swarm optimization (PSO)","Faster rates - MC-CDMA systems - Near-far resistance - Particle swarm optimization algorithm - PSO algorithms - Random particles - System Capacity - Updating strategy","718 Telephone Systems and Related Technologies; Line Communications - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723 Computer Software, Data Handling and Applications - 723.1 Computer Programming",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Lower hybrid current drive experiments in the HT-7 tokamak","20174404350246","Chen, Zhongyong (1) ","(1) Yunnan Normal University, Kunming, China ","Chen, Zhongyong ","Lower Hybrid Current Drive Experiments in the HT-7 Tokamak","Lower Hybrid Current Drive Experiments in the HT-7 Tokamak","","Nova Science Publishers, Inc.","","","1-68","January 1, 2011","","","","2011","English","","","","9781616688646","","","","","","","","Book (BK)","The achievement of steady state operation and long pulse is one of the major challenges in the tokamak plasmas. One of the most effective means to sustain tokamak steady state operation is non-inductive current drive (NICD) by lower hybrid (LH) wave. Lower hybrid current drive (LHCD) as an effective NICD tool has been demonstrated in many tokamaks. LHCD is used to modify the plasma current profile to improve the MHD stability, or used in conjunction with ion Bernstein wave (IBW) to achieve high performance discharge. The achievement of high current drive efficiency is of primary importance since it determines the required power that must be recycled to sustain the plasma current. This new book discusses the lower-hybrid current drive experiences currently being done in regards to HT-7 tokamaks. © 2010 by Nova Science Publishers, Inc.","","67","Tokamak devices","Electric discharges - Magnetohydrodynamics - Magnetoplasma - Plasma stability","Ion Bernstein wave - Lower hybrid current drive - Lower Hybrid waves - Noninductive current drives - Performance discharges - Plasma current profile - Steady-state operation - Tokamak plasmas","615.3 Magnetohydrodynamics (MHD) Power Generation - 701.1 Electricity: Basic Concepts and Phenomena - 932.3 Plasma Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
