Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Effects of time delay on stochastic resonance of a periodically driven linear system with multiplicative and periodically modulated additive white noises","20093012220833","Lu-Chun, Du (1); Dong-Cheng, Mei (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Dong-Cheng, M.(meidch@ynu.edu.cn) ","Chinese Physics B","Chin. Phys.","","Institute of Physics Publishing","18","3","946-951","2009","","","2009","English","16741056","","","","10.1088/1674-1056/18/3/018","","","","","","","Journal article (JA)","Stochastic resonance (SR) of a periodically driven time-delayed linear system with multiplicative white noise and periodically modulated additive white noise is investigated. In the condition of small delay time, an approximate analytical expression of output signal-to-noise ratio (SNR) is obtained. The analytical results indicate that (1) there exists a resonance peak in the curve for SNR versus time delay; (2) the time delay will suspend the SR dramatically for SNR versus other parameters of the system, such as noise intensity, correlation intensity, and signal frequency, once a certain value is reached, the SR phenomenon disappears. © 2009 Chin. Phys. Soc. and IOP Publishing Ltd.","42","Signal to noise ratio","Additives - Circuit resonance - Linear systems - Magnetic resonance - Stochastic systems - Time delay - Timing circuits - White noise","Additive white noise - Analytical results - Approximate analytical expressions - Multiplicative white noise - Output signal-to-noise ratios - Signal frequencies - Stochastic resonances - Time delayed linear systems","701.2 Magnetism: Basic Concepts and Phenomena - 703.1 Electric Networks - 713 Electronic Circuits - 713.4 Pulse Circuits - 716.1 Information Theory and Signal Processing - 803 Chemical Agents and Basic Industrial Chemicals - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effect of 1 -MCP treatments on physiology of Lijiang snow peach postharvest during cold storage","20132116359955","Tian, Su-Mei (1); Zhang, Xue (1); Dong, Wen-Ming (1) ","(1) Food Institute of Science and Technology of Yunnan Agriculture University, Kunming 650201, China ","Dong, W.-M. ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology, Guangzhou, 510640, China","29","4","733-736","April 2013","","","2013","Chinese","16739078","","","","","","","","","","","Journal article (JA)","Lijiang snow peach has large shape, sweet crisp taste and is in rich of nutrition 1-MCP is a new type of ethylene receptor inhibitor, widely used in keeping fruit and vegetablefresh. In this work, the fresh-keeping effect of 1-methylcyclopropene (1-MCP) on snow peaches and its mechanism were explored to find out an effective and safe fresh-keeping way for snow peach. The Lijiang snow peaches were picked from Lashi Township Yulong county andLijiang city were treated by 1-MCP with different concentrations (0.5, 1, 1.5 and 2 μL/L). The results showed that, at refrigerated temperature, 1-MCP treatment was very effective in maintaining hardness and membrane permeability of the peach, as well as inhibiting Lijiang snow peach respiration. 1-MCP treatment with the concentration of 1-2 μL/L was more effective in increasing the Lijiang snow peach POD activity than that with lower concentration. 1 μL/L 1-MCP treatment was effective in inhibiting total phenol content, PPO activity decline, and pulp Browning of Lijiang snow peach. Comprehensive analysis showed that the best treatment concentration of 1-MCP was 1 μL/L.","13","Fruits","Cold storage - Physiology - Plants (botany) - Snow","1-MCP - 1-methylcyclopropene (1-MCP) - Comprehensive analysis - Lijiang snow peach - Membrane permeability - Postharvest physiologies - Quality change - Total phenol contents","443.3 Precipitation - 461.9 Biology - 694.4 Storage - 821.4 Agricultural Products",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Escape rate in the gene transcriptional regulatory system with time delay","20084811734939","Zeng, Chun-Hua (1); Xie, Chong-Wei (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Zeng, C.-H.(zengchunhua110@163.com) ","Physica Scripta","Phys Scr","","Institute of Physics Publishing","78","3","","September 1, 2008","","","2008","English","00318949","14024896","","","10.1088/0031-8949/78/03/035801","035801","","","","","PHSTBO","Journal article (JA)","The escape rate in the gene transcriptional regulatory system with time delay in the presence of cross-correlation noises is studied. The expression of the escape rate is derived under the condition of small delay time. Based on the escape rate, we investigated the effects of both cross-correlation intensity (λ) and delay time (τ) on the escape rate. Our results indicate that: (i) under positively correlated noises action (i.e. λ> 0), the escape rate exhibits one minimum value as the intensities of the multiplicative and additive noises vary, namely the suppression effect. However, for the case of uncorrelated noises (λ=0) and negatively correlated noises (λ","18","Time delay","Additive noise - Genes - Timing circuits - White noise","Correlated noise - Cross-correlation intensity - Cross-correlation noise - Escape rate - Minimum value - Suppression effects - Transcriptional regulatory system - Uncorrelated noise","461.2 Biological Materials and Tissue Engineering - 703 Electric Circuits - 713 Electronic Circuits - 713.4 Pulse Circuits",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Wavelength shift of whispering-gallery-mode fiber laser caused by fiber cladding refractive index","20091412017604","Zhang, Yuanxian (1); Han, Deyu (1); Zhu, Kun (1); Jiang, Nan (1); Pu, Xiaoyun (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Pu, X.(xypu@163.com) ","Zhongguo Jiguang/Chinese Journal of Lasers","Zhongguo Jiguang","","Science Press","36","3","691-694","March 2009","","","2009","Chinese","02587025","","","","10.3788/CJL20093603.0691","","","","","","ZHJIDO","Journal article (JA)","Quartz fiber with diameter of 93 μm is immersed into a low refractive index solution, which is mixed with ethanol and ethylene glycol doped by rhodamine 6G dye molecules. Pumped by evanescent-wave along the fiber axis, the lasing wavelength of whispering gallery mode (WGM) is found blue-shifting with the refractive index of dye solution increasing. The experimental observations are well explained by the γ(λ) curve, which is deduced from the four-energy level model of dye lasing from a WGM fiber laser and caculated by the ratio of molecular density for the upper and total lasing energy levels.","19","Whispering gallery modes","Blue shift - Ethylene - Ethylene glycol - Fiber lasers - Fibers - Optical resonators - Refractive index","Energy level model - Evanescent wave - Fiber claddings - Gain medium - Lasing wavelength - Low refractive index - Molecular density - Wavelength shift","714.3 Waveguides - 741.1 Light/Optics - 741.3 Optical Devices and Systems - 744.4 Solid State Lasers - 804.1 Organic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Photochemical Reaction Mechanism of Cyclobutanone: CASSCF Study","2004128068909","Chen, Yishan (1); Ye, Song (1) ","(1) Department of Chemistry, Yunnan University, Kunming 650091, China ","Ye, S.(songye@ynu.edu.cn) ","International Journal of Quantum Chemistry","Int J Quantum Chem","","John Wiley and Sons Inc.","97","2","725-735","March 15, 2004","","","2004","English","00207608","","","","10.1002/qua.10620","","","","","","IJQCB2","Journal article (JA)","The photochemical reaction channels of cyclobutanone have been studied at the CASSCF level with a 6-31G* basis set. Starting from the n-π* excited-state (S1) cyclobutanone, the three reactions can take place: decarbonylation (produce CO and cyclopropane or propylene), cycloelimination (produce ketene and ethylene), and ring expansion (produce oxacarbene). Our computation indicates that decarbonylation products CO and triplet trimethylene are formed on the triplet n-π* excited state (T1) in a stepwise way via a biradical intermediate after intersystem crossing (ISC) to T1 from S1. And, then, the triplet trimethylene undergoes a second ISC to the ground state (S0) to produce the singlet trimethylene from which cyclopropane can be produced rapidly only overcoming a 1 to 2-kcal/mol barrier while propylene can be formed as a secondary product. The cycloelimination products ketene and ethylene are formed on the S 0 in a concerted mechanism after internal conversion (IC) to S 0 from S1 via a biradical conical intersection. The reaction channels corresponding to ring expansion on the S0, T 1, and S1 states have also been discussed, and the likeliest reaction path is that oxacarbene is formed on the ground state following S1/S0 internal conversion. The surface topology of cyclobutanone on the S1 surface is characterized by a transition state separating the minimum from the S1/S0 conical intersection, which is consistent with the previous computations and can explain the wavelength dependence of the fluorescence emission yield. © 2003 Wiley Periodicals, Inc.","36","Ketones","Computational methods - Decomposition - Dissociation - Fluorescence - Photochemical reactions - Potential energy - Propylene - Surface treatment - Topology","Photodecomposition - Surface topology","741.1 Light/Optics - 802.2 Chemical Reactions - 804.1 Organic Compounds - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 931.1 Mechanics","Theoretical (THR); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The boundary quenching behavior of a semilinear parabolic equation","20113114192705","Zhi, Yuanhong (1) ","(1) School of Mathematics, Yunnan University, Kunming 650091, China ","Zhi, Y.(zhi_yuanhong@126.com) ","Applied Mathematics and Computation","Appl. Math. Comput.","","Elsevier Inc.","218","2","233-238","September 15, 2011","","","2011","English","00963003","","","","10.1016/j.amc.2011.05.002","","","","","","AMHCBQ","Journal article (JA)","In this paper we consider the boundary quenching behavior of a semilinear parabolic problem in one-dimensional space, of which the nonlinearity appears both in the source term and in the Neumann boundary condition. First we proved that the solution quenches at somewhere in some finite time. Then we assert that the quenching can only occur on the left boundary if the given initial datum is monotone. Finally we derived the upper and lower bounds for the quenching rate of the solution near the quenching time. Thus we generalized our former results. © 2011 Elsevier Inc. All rights reserved.","7","Quenching","Boundary conditions","Neumann boundary condition - Nonlinear boundary - Quenching rate - Quenching time - Semi linear parabolic problems - Semilinear parabolic equation - Source terms - Upper and lower bounds","537.1 Heat Treatment Processes",,"Number: W4030002, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 2007Q019C, Acronym: -, Sponsor: -; ","This work is supported by YNU Postdoctoral Science Foundation Project ( W4030002 ) and Science Foundation of Yunnan University ( 2007Q019C ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on computing the degree of relevant service on ERP system","20110313584297","Tang, Jun (1); Luo, Wei (1); Xie, Ge (1) ","(1) Shool of Information, Yunnan University, Kunming, Yunnan, China ","Tang, J.(tangjun_erp@163.com) ","Proceedings - 2010 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2010","Proc. - IEEE Int. Conf. Intelligent Comput. Intelligent Syst., ICIS","","IEEE Computer Society","3","","887-890","2010","Proceedings - 2010 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2010","","2010","English","","","","9781424465835","10.1109/ICICISYS.2010.5658368","5658368","","","","","","Conference article (CA)","Service Composition is a very hot research topic in ERP field. The main method of service composition in ERP system is matching the static business process template. Every function in business process is fixed. The ERP system realized by this method can not synchronize with the changing requirement of enterprise business process and changing market environment. In this paper, a method of computing relevant degree under Service Oriented Architecture is proposed. Computing the relevant degree of service is the basis of service composition.Service composition is automatic and dynamic. Service composed with this computing method can accuratly match the changing business process. The ERP system can dynamiclly satisfy the business development of enterprise. ©2010 IEEE.","8","Enterprise resource planning","Information services - Intelligent computing - Intelligent systems - Quality of service - Service oriented architecture (SOA)","Business development - Business Process - Enterprise business process - Hot research topics - Market environment - Relevant degrees - Service compose - Service compositions","722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence - 903.4 Information Services",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Quantum theory of whispering gallery modes in a cylindrical optical microcavity","20111413892986","Yang, Rui (1); Yun, Apeng (1); Zhang, Yuanxian (1); Pu, Xiaoyun (1) ","(1) Deparment of Physics, Yunnan University, Kunming, Yunnan, 650091, China ","Yang, R.(yangrui@ynu.edu.cn) ","Optik","Optik","","Urban und Fischer Verlag Jena","122","10","900-909","May 2011","","","2011","English","00304026","","","","10.1016/j.ijleo.2010.06.015","","","","","","","Journal article (JA)","The quantum interpretation of whispering gallery modes in a cylindrical optical microcavity is presented in analogy with quantum mechanical theory. The formulas for the resonance shifts caused by a small change in correlative refractive index are derived. Then they are applied to two applications of the cylindrical microcavity to probe the change of surrounding medium and the nonlinear effect of cavity's surface. © 2010 Elsevier GmbH.","17","Whispering gallery modes","Microcavities - Optical resonators - Quantum theory - Refractive index","Cylindrical microcavities - Nonlinear effect - Optical microcavities - Quantum-mechanical theory - Resonance shift","714 Electronic Components and Tubes - 714.3 Waveguides - 741.1 Light/Optics - 741.3 Optical Devices and Systems - 931.4 Quantum Theory; Quantum Mechanics",,"Number: 60877037, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 10964015, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (projection Nos. 10964015 and 60877037 ). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An ontology based geographic knowledge representation method","20143718144507","Dehai, Zhang (1); Li, Cai (1); Jing, He (1) ","(1) School of Software, Yunnan University, Kunming 650091, China ","","2005 International Symposium on Computer Science and Technology, ISCST 2005","Int. Symp. Comput. Sci. Technol., ISCST","American College of Computer and Information Science (ACCIS); Ningbo Dahongying Polytechnics; Zhejiang Society of Computer Application and Education; Zhejiang Software Industry Association","American Scholars Press","","","217-225","2005","2005 International Symposium on Computer Science and Technology, ISCST 2005","","2005","English","","","0972147950","9780972147958","","","2005 International Symposium on Computer Science and Technology, ISCST 2005","October 20, 2005 - October 24, 2005","Ningbo, China","107231","","Conference article (CA)","In recent years, the term 'ontology' has gained a good popularity within the knowledge engineering community. An important reason for this is present tremendous need towards knowledge sharing and knowledge exchange. Researchers widespread consider that the ontology theories research and architecture building is the important basis of realizing these targets, because any knowledge-based systems is based on a certain conceptualization of the world and the ontology is a kind of specification of the conceptualization. In this paper, we present a method based on the ontology to represent geographical knowledge about countries and regions. We give a particular discussion of the principle and the building steps of the geographic ontology design. For ontology-based knowledge representation, we developed an ontology description language for our methodology.","17","Ontology","Geographical regions - Knowledge based systems - Knowledge management - Knowledge representation","Geographic ontologies - Knowledge exchange - Knowledge representation method - Knowledge-sharing - Ontology description language - Ontology theory - Ontology-based","723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Field electron emssion from graphite fiber","2005259170114","Chen, Ergang (1); Dou, Juying (1); Chen, Yongchang (1); Zhang, Jin (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Chen, E. ","IVESC2004 - 5th International Vacuum Electron Sources Conference Proceedings","IVESC Int. Vac. Electron Sources Conf. Proc.","Chinese Institute of Electronics; IEEE Beijing Section; IEE Beijing Branch; IEEE EDS Beijing Chapter; National Natural Science Foundation of China","Institute of Electrical and Electronics Engineers Inc.","","","91","2004","IVESC2004 - 5th International Vacuum Electron Sources Conference Proceedings","","2004","English","","","0780384377","9780780384378","","110","IVESC2004 - 5th International Vacuum Electron Sources Conference Proceedings","September 6, 2004 - September 10, 2004","Beijing, China","65017","","Conference article (CA)","Usually carbon wire can not be used for obtaining remarkable field electron emission because the difficulty of sharpening its tip to a sufficient small radius of curvature to fit the electrical field. However, after a proper treatment on a graphite fiber a large number of small fragments of graphite are formed on the tip of the graphite fiber. Observed by a SEM these fragments are spheres and flakes with the size around 50nm. In this case each of these spheres and flakes can be an emission center in a field emission and some detectable emission and some detectable emission current can be obtained with rather low applied voltage. Because there are a large number of fragments on the tip of a single graphite fiber the total emission current from the tip would be very large. Experimental results show that a single graphite fiber of 20um diameter near 0.2mA emission current can be obtained with 4KV applied voltage and the stability have been measured to be leas than 10%. This would be the best achievement in the field of electron emission up to date. We expect that this achievement can be used in FE display or other display devices manufacturing near future. ©2004 IEEE.",,"Electron emission","Carbon - Electric currents - Electric fields - Electric potential - Field emission cathodes - Graphite - Scanning electron microscopy","Carbon wire - Emission current - Field electron emission - Graphite fiber","482.2 Minerals - 701.1 Electricity: Basic Concepts and Phenomena - 714.1 Electron Tubes - 741.1 Light/Optics - 804 Chemical Products Generally","Theoretical (THR); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
