Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"The effect of temperature on the microbial communities of peak biogas production in batch biogas reactors","20180804820982","Tian, Guangliang (1, 2, 3); Yang, Bin (1, 2, 3); Dong, Minghua (4); Zhu, Rui (1, 2, 3); Yin, Fang (1, 2, 3); Zhao, Xingling (1, 2, 3); Wang, Yongxia (4); Xiao, Wei (4); Wang, Qiang (5); Zhang, Wudi (1, 2, 3); Cui, Xiaolong (4) ","(1) Yunnan Research Center of Biogas Technology and Engineering, Yunnan Normal University, Kunming; 650500, China (2) Engineering and Research Center of Sustainable Development and Utilization of Bioenergy, Ministry of Education, Yunnan Normal University, Kunming; 650500, China (3) Yunnan Key Laboratory of Rural Energy Engineering, Yunnan Normal University, Kunming; 650500, China (4) Yunnan Institute of Microbiology, State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan University, Kunming; 650091, China (5) School of Energy and Environment Science, Yunnan Normal University, Kunming; 650500, China ","Zhang, Wudi(wootichang@163.com) ","Renewable Energy","Renew. Energy","","Elsevier Ltd","123","","15-25","August 2018","","","2018","English","09601481","18790682","","10.1016/j.renene.2018.01.119","","","","","","","Journal article (JA)","In this study, changes in the microbial communities and the metabolic pathway involved in anaerobic digestion were examined as the temperature was changed from 9 to 55 °C. The results from six batch biogas reactors, which were designed to ferment at 9, 15, 21, 35, 45 and 55 °C, showed that: 1) The components of the microbial communities and metabolic pathways were found to be very similar but the metabolic activities increased significantly when the temperature grew from 15 to 35 °C. 2) Hydrogenotrophic metabolism was almost exclusively observed when the temperature was lowered to 9 °C, whereas greater bacterial diversity involving hydrolisis, acidogenesis, and acetogenesis was observed when the temperature was raised to 45 °C. Finally, these dominant bacteria involved in hydrolisis, acidogenesis, and acetogenesis decreased in number when the temperature was raised to 55 °C and acetotrophic-type metabolism became the major metabolic pathway. That means the turning point for microbial community composition and metabolic pathway from mesophilic to thermophilic was at 45 °C and the metabolic pathway at 9 °C was somewhat different to those observed at 15–35 °C. © 2018","","61","Anaerobic digestion","Batch reactors - Biogas - Metabolism - Microorganisms - Physiology","Abiotic factors - High-throughput sequencing - Metabolic pathways - Psychrophilic - Thermophilic","461.9 Biology - 522 Gas Fuels - 802.1 Chemical Plants and Equipment",,"Number: 20135303110001, Acronym: -, Sponsor: -; Number: 51366015, Acronym: -, Sponsor: Shandong Provincial Key Laboratory of Software Engineering; Number: 2015KF07, Acronym: -, Sponsor: Shandong Provincial Key Laboratory of Software Engineering; Number: 2013DH041, Acronym: -, Sponsor: -; Number: 31160123 / C0309, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2014FA030, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; ","The authors would like to thank the following funding providers for their generous grant funding: the National Natural Science Foundation of China (NSFC, 31160123 / C0309 ); the Yunnan Provincial Sciences and Technology Platform Promotion Plan ( 2013DH041 ); the Specialized Research Fund for Doctoral Program of Universities ( 20135303110001 ); the Yunnan Province Key Fund of Applied Basic Research ( 2014FA030 ); and the Open Fund from Yunnan Provincial Renewable Energy Engineering Key Laboratory ( 2015KF07 ); National Natural Science Foundation of China ( NSFC, 51366015 ). The authors are also grateful to the staff of the Forestry Bureaus of Jianshui County. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Low temperature preparation and properties of high activity anatase TiO2aqueous sols","20121114844583","Liu, Q.J. (1); Na, W. (1); Zhu, Z.Q. (1); Zhang, J. (1) ","(1) Yunnan Key Laboratory of Nanomaterials and Technology, Yunnan University, Kunming, Yunnan 650091, China ","Liu, Q.J.(qjliu@ynu.edu.cn) ","Materials Technology","Mater Technol","","Maney Publishing","27","1","34-35","February 2012","","","2012","English","10667857","17535557","","10.1179/175355511X13240279340769","","","","","","MATTEI","Journal article (JA)","Anatase TiO2aqueous sols were prepared below 70°C by sol method. The influences of preparing conditions on the crystal structures and stability of the sols were investigated with X-ray diffraction and zeta potential. The photocatalytic activities of anatase TiO2aqueous sols were characterised by degradation of methyl orange and methylene blue under ultraviolet light, fluorescent light and sunlight. The sols demonstrate higher photocatalytic activity than Degussa P25-TiO2. © 2012 W. S. Maney & Son Ltd.","","12","Titanium dioxide","Aromatic compounds - Azo dyes - Dyes - Photocatalysis - Sol-gel process - Sol-gels - Temperature - X ray diffraction","Aqueous sols - Degradation of methyl oranges - Fluorescent light - High activity - Low temperature preparation - Methylene Blue - Photocatalytic activities - Ultra-violet light","641.1 Thermodynamics - 741.1 Light/Optics - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 812.3 Glass",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Reducing exploration by closing enclosures in cluttered state space","20101212791974","Jin, Zhao (1); Li, JiDong (2) ","(1) School of Information Science and Engineering, Yunnan University, Kunming, China (2) School of Vocational and Continuing Education, Yunnan University, Kunming, China ","Jin, Z.(jzletter@sina.com) ","Proceedings - 2009 International Conference on Information Engineering and Computer Science, ICIECS 2009","Proc. - Int. Conf. Inf. Eng. Comput. Sci., ICIECS","Columbia University; et al.; Huazhong Normal University; National Technology University of Ukraine; Wuhan University; Wuhan University of Technology","IEEE Computer Society","","","","2009","Proceedings - 2009 International Conference on Information Engineering and Computer Science, ICIECS 2009","","2009","English","","","9781424449941","10.1109/ICIECS.2009.5363187","5363187","2009 International Conference on Information Engineering and Computer Science, ICIECS 2009","December 19, 2009 - December 20, 2009","Wuhan, China","79561","","Conference article (CA)","In cluttered state space, agent is very likely to become trapped in these enclosures formed by obstacles. We proposed an approach to discover the openings of enclosures based the state trajectories that agent moved, then the openings of enclosures are closed by virtual obstacles to avoid agent entering these enclosures again in subsequent learning. Since large amount of episodes are included in learning process, the accumulative reduced exploration by our method are significant. Moreover, agent would have higher learning efficiency due to avoid cycle behavior in these enclosures. The experiments on Maze problem show the applicability and effectiveness of our method. ©2009 IEEE.","","8","Enclosures","Learning systems - Natural resources exploration - State space methods","Higher learning - Large amounts - Learning process - Maze problems - Opening - State trajectory - Virtual obstacle - Vitual obstacle","921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An improved camshift algorithm based on dynamic background","20102212964322","Yue, Yingying (1); Gao, Yun (1, 2); Zhang, Xuejie (1) ","(1) School of Information Science and Engineering, Yunnan University, Kunming, China (2) High Performance Computing Center, Yunnan University, Kunming, China ","Yue, Y.(yyybf@126.com) ","2009 1st International Conference on Information Science and Engineering, ICISE 2009","Int. Conf. Inf. Sci. Eng., ICISE","City University of Hong Kong; Computer Society of Jiangsu province; et al.; Georgia State University; Howard University; University of Kentucky","IEEE Computer Society","","","1141-1144","2009","2009 1st International Conference on Information Science and Engineering, ICISE 2009","","2009","English","","","9780769538877","10.1109/ICISE.2009.270","5455748","1st International Conference on Information Science and Engineering, ICISE2009","December 26, 2009 - December 28, 2009","Nanjing, China","80401","","Conference article (CA)","In this paper, an improved Camshift algorithm based on dynamic background is presented, detecting motion objects with Twice-Frame-Difference Method (TFDM) and tracking objects with Multi-Features-Fusion Method (MFFM). By the comparing experiments, the presented improved algorithm can acquire the better detecting effects and improve the robustness and accuracy of tracking. ©2009 IEEE.","","10","Object detection","Image segmentation","Cam-shift algorithms - CamShift - Comparing experiments - Edge orientation histograms - Multi-feature fusion - Multi-features fusions - Tracking objects - Twice-frame-difference","723.2 Data Processing and Image Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A skeleton-based algorithm for rigid object segmentation","20161102092710","Fang, Zhongyu (1); Zeng, Peifeng (1) ","(1) Department of Computer Science, University of Donghua, Donghua, Shanghai, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","761-765","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279386","7279386","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","A skeleton-based segmentation point searching (SSPS) segmentation algorithm is proposed in this paper. In SSPS, two segmentation points are searched in each touched place by skeleton stretching; touched objects are separated by linking two segmentation points. Rotation invariant is SSPS's intrinsic property. Experimental results and performance analy-sis are provided. © 2015 IEEE.","","19","Musculoskeletal system","Automation - Image segmentation","Intrinsic property - Point-searching - Rigid objects - Rotation invariant - Segmentation algorithms - Skeleton","461.3 Biomechanics, Bionics and Biomimetics - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Plant diversity along the eastern and western slopes of Baima Snow Mountain, China","20161902367854","Yang, Yang (1); Shen, Zehao (1); Han, Jie (1); Zhongyong, Ciren (2) ","(1) The MOE Key laboratory of Earth Surface Processes; Department of Ecology, College of Urban and Environmental Sciences, Peking University, Beijing; 100871, China (2) Baima Mountain National Reserve, Deqin, Yunnan; 674500, China ","Shen, Zehao(shzh@pku.edu.cn) ","Forests","Forests","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","7","4","","2016","","","2016","English","","19994907","","10.3390/f7040089","89","","","","","","Journal article (JA)","Species richness and turnover rates differed between the western and eastern aspects of Baima Snow Mountain: Maximum species richness (94 species in a transect of 1000 m2) was recorded at 2800 m on the western aspect and at 3400 m on the eastern aspect (126 species), which also recorded a much higher value of gamma diversity (501 species) than the western aspect (300 species). The turnover rates were the highest in the transition zones between different vegetation types, whereas species-area curves showed larger within-transect beta diversity at middle elevations. The effect of elevation on alpha diversity was due mainly to the differences in seasonal temperature and moisture, and these environmental factors mattered more than spatial distances to the turnover rates along the elevation gradient, although the impact of the environmental factors differed with the growth form (herb, shrubs or trees) of the species. The differences in the patterns of plant biodiversity between the two aspects helped to assess several hypotheses that seek to explain such patterns, to highlight the impacts of contemporary climate and historical and regional factors and to plan biological conservation and forest management in this region more scientifically. © 2016 by the authors.","","49","Plants (botany)","Biodiversity - Forestry - Landforms - Snow","Baima Snow Mountain - Comparative studies - Elevational gradients - Mountain aspect - Northwest Yunnan - Plant species diversity - Three Parallel River region","443.3 Precipitation - 454 Environmental Engineering - 481.1 Geology",,"Number: 41371190, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31321061, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31170449, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was sponsored by National Natural Science Foundation of China (41371190, 31170449, 31321061). We are grateful to Diana F. Tomback and two anonymous reviewers for their help in improving the draft and language.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Heart sound signals based on CNN classification research","20174504363339","Sunjing (1); Lifu, Kang (1); Weilian, Wang (1); Songshaoshuai (1) ","(1) School of Information Science and Technology, Yunnan University, Kunming; 650091, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","National University of Singapore","Association for Computing Machinery","Part F130950","","44-48","June 22, 2017","Proceedings of 2017 6th International Conference on Bioinformatics and Biomedical Science, ICBBS 2017","1 of 1","2017","English","","","9781450352222","10.1145/3121138.3121173","","6th International Conference on Bioinformatics and Biomedical Science, ICBBS 2017","June 22, 2017 - June 24, 2017","Singapore, Singapore","130950","","Conference article (CA)","Heart sound signal can provide complex physiological and pathological information while diagnosing CHD(congenital heart disease). The main procedure includes pretreatment, Envelope extraction, classification and recognition. Pretreatment includes normalization, de-noising, envelope extraction, etc. Then, segment the heartbeat signal through Hilbert Envelope to confirm the first heart sound and the second heartbeat. After that, take logarithm of the periodic signal of the heartbeat to get Hilbert Energy Spectrum. Take the result as characteristic variable and put it into convolution neural network to train the study. The main innovation of this paper is using the convolution neural network to identify the heart sound pattern. The experiment results have a very high correct rate by using CNN (convolutional neural network) compared with other methods. © 2017 Association for Computing Machinery.","","15","Biomedical signal processing","Bioinformatics - Cardiology - Convolution - Diagnosis - Extraction - Heart - Neural networks","Classification and recognition - Congenital heart disease - Convolution neural network - Convolutional neural network - Envelope extraction - Heart sound signal - Heart sounds - Segmented positioning","461 Bioengineering and Biology - 716.1 Information Theory and Signal Processing - 802.3 Chemical Operations",,"Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 61261008, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Thanks to School of Information Science and Technology, Yunnan University for excellent working environment. Financial supports to this project are provided by National Science Foundation of China (61261008).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research of comfort disparity range in 3D contents","20132616448168","Chen, Zai-Qing (1); Shi, Jun-Sheng (1); Tai, Yong-Hang (1) ","(1) Color and Image Vision Lab., Yunnan Normal University, Kunming 650092, China ","Shi, J.-S.(shijs@ynnu.edu.cn) ","Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition)","Jilin Daxue Xuebao (Gongxueban)","","Editorial Board of Jilin University","43","SUPPL.1","291-294","March 2013","","","2013","Chinese","16715497","","","","","","","","","JDXGAH","Journal article (JA)","In order to understand the underlying causes of visual discomfort so that it can be minimized or even eliminated, it is very essential to evaluate the visual comfort of 3D displays. The visual comfort is highly correlated with the disparity information of 3D contents. Hence, a subjective evaluation experiment was carried out to measure visual comfort of stereoscopic video at different disparity levels. Results show that the degree of visual comfort decreases as disparity increases and the comfort disparity is in the range of -119 to +115 minute of arc.","","30","Three dimensional displays","Stereo image processing","3D content - Binocular disparity - Degree of visual comforts - Stereoscopic video - Subjective - Subjective evaluations - Visual comfort - Visual discomfort","723.2 Data Processing and Image Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"RETRACTED ARTICLE: Assessment of the crops Pb pollution and the health risk were brought by exploitation of lead-zinc ores","20112814142026","Zhao, Xiaoqing (1); Xu, Lifei (1); He, Chunlan (1); Jiao, Yuanmei (2) ","(1) School of Resource and Environment and Earth Science, Yunnan University, Kunming, China (2) School of Tourism and Geography Science, Yunnan Normal University, Kunming, China ","Zhao, X.(Tiankong9366@126.com) ","5th International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2011","Int. Conf. Bioinformatics Biomedical Eng., iCBBE","","IEEE Computer Society","","","","2011","5th International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2011","","2011","English","","","9781424450893","10.1109/icbbe.2011.5781577","5781577","","","","","","Conference article (CA)","In order to ascertain the situation of crops pollution and health risk as result from the mineral exploitation, the Bijiang river basin in Yunnan Province was selected as the study area where influenced by the mining of Lanping lead-zinc ores. A total of 45 crop samples (including corns, potatoes, beans, vegetables and fruits) were collected, and 705 blood samples were tested in this study. The study has important implications to enhance food security and guarantee the safety of people's diet and physical health. The study results indicated that: (1) the Pb concentration of the crops exceeds the standard. Corns have the highest Pb content followed by beans; (2) the degrees of Pb contaminations in crops can be arranged in decreasing order as follows: corns>beans>vegetables>fruits>potatoes. The potatoes were not polluted, its pollution level is security, the corns were polluted most serious; (3) when individual intake one of the five crops everyday, there is no obvious effect on the health risk to the local residents; when intake all of this five agricultural products everyday, there are no conspicuous health risks for child and adolescent, but has obviously health risk for adult; (4) the blood Pb content analysis result of 705 blood samples showed that the blood Pb content of the inhabitants has generally exceed the standard, and the excessive rate has to 52.2%. Therefore, the inhabitants of the town have a great potential health risks; (5) the result of correlation analysis between blood Pb content with gender and age for local people revealed that the blood Pb content of residents has no relation with gender, and has great weak relation with age. The blood Pb content of human is influenced by various heavy metal exposure ways which resulting from mining activities. © 2011 IEEE.","","13","Health risks","Biomedical engineering - Blood - Crops - Food supply - Fruits - Health - Heavy metals - Ores - Risk assessment - River pollution - Vegetables - Zinc ore treatment","Bijiang basint - Content analysis - Correlation analysis - Human health risks - Mining activities - Pb pollution - Potential health risks - Vegetables and fruits","453 Water Pollution - 461 Bioengineering and Biology - 531 Metallurgy and Metallography - 533.1 Ore Treatment - 821.4 Agricultural Products - 822.3 Food Products - 914.1 Accidents and Accident Prevention",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The production system optimizing simulation in Petrochemical industry based on HLA","20100312642125","Zhiwu, Dou (1); Hongwei, Li (2) ","(1) School of Business, Yunnan University of Finance and Economics, Kunming, 650221, China (2) Library, Yunnan University of Finance and Economics, Kunming, 650221, China ","Zhiwu, D.(zhiwudou@163.com) ","2nd International Symposium on Electronic Commerce and Security, ISECS 2009","Int. Symp. Electron. Commer. Secur., ISECS","'Peoples' Friendship University of Russia'; et al.; Jiangxi Normal University; Nanchang HangKong University; Nanchang University; Wuhan University","IEEE Computer Society","1","","151-154","2009","2nd International Symposium on Electronic Commerce and Security, ISECS 2009","","2009","English","","","9780769536439","10.1109/ISECS.2009.213","5209901","2nd International Symposium on Electronic Commerce and Security, ISECS 2009","May 22, 2009 - May 24, 2009","Nanchang, China","78564","","Conference article (CA)","By analyzing the characteristic and the application of distributed interactive simulation (DIS) and high level architecture (HLA) and researching the management of federation object model and data distribution in DIS, A new method is presented to develop Petrochemical industry distributed interactive simulation adopting HLA technology. A simple petrochemical industry is modeled with HLA, the FOM and SOM are developed. The results of the instance research show that HLA plays an important role in developing distributed interactive simulation of complicated distributed system and the method is valid to solve the problem puzzling petrochemical industry. © 2009 Crown Copyright.","","9","Petrochemicals","Electronic commerce - Information management - Petrochemical plants","Distributed interactive simulation - Distributed systems - Distribution - Federation Object Models - High level architecture - Interactive - Petrochemical industry - Production system","513.3 Petroleum Products - 723.5 Computer Applications - 802.1 Chemical Plants and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
