Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Low-complexity encoding techniques for multiview video","20140417228903","","Zhao, Fan (1); Qu, Fangying (2) ","(1) Department of Information Science, Xi'an University of Technology, Xi'an, China (2) Department of Mathematics, Northwest University, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664029","6664029","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","MVC (Multiview Video Coding), as an international encoding standard, gets a rather good performance by fully utilizing the temporal correlation and inter-view correlation, meanwhile, it results in great complexity. This paper presents a low complexity encoding technique for multi-view video. The main contributions can be summarized as follows. First, the macroblock-based inter-view prediction is not employed for the non-anchor pictures of B-views, if the temporal correlation of the corresponding GOP unit is strong enough. Second, when the disparity estimation of a macroblock is performed, the search range is adjusted according to the mode size distribution of the neighboring view. Experimental results show that, compared to reference software JMVM 5.1, the average time reduction is 86.63% while the bitrate increase and PSNR loss are less than 0.20% and 0.02 dB, respectively. © 2013 IEEE.","12","Video signal processing","Encoding (symbols) - Forecasting - Image coding - Signal encoding","Bit-rate increase - Disparity estimations - Inter-view predictions - Low complexity encoding - Multiview video - Multiview video coding - Reference software - Temporal correlations","716.1 Information Theory and Signal Processing - 716.4 Television Systems and Equipment - 723.2 Data Processing and Image Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Second-order-cone-programming scheme for designing all-pass phase systems","20140417228812","","Ito, Noboru (1); Deng, Tianliang (2) ","(1) Faculty of Science, Toho University, Miyama 2-2-1, Funabashi, Chiba 274-8510, Japan (2) Dalian Neusoft University of Information, Software Road 8, Dalian, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6663938","6663938","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","This paper proposes a new method for designing digital all-pass phase systems based on the second-order-cone-programming (SOCP) formulation. Since the second-order-cone (SOC) constraint matrix contains an unknown parameter (phase peak-error), we shrink the search inverval containing this unknown parameter by applying the bi-section search scheme until the minimum error is found, which leads to the final phase-system coefficients. An example is provided to validate this feasibility-check-based design scheme. © 2013 IEEE.","14","Signal processing","Design","All pass - Design scheme - Minimax design - Phase peaks - Phase systems - Search scheme - Second-order cone - Second-order cone programming","716.1 Information Theory and Signal Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Speckle reduction in SAR images via Shearlet transform-based thresholding","20140417228916","","Sun, Qiang (1); Gao, Yong (2) ","(1) Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China (2) Xi'an Polytechnic University, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664042","6664042","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","The quality of synthetic aperture radar (SAR) images generally suffers from speckle noise, which damages the radiometric resolution of SAR images. A new speckle reduction method is proposed by thresholding the speckled SAR image coefficients in the Shearlet transform domain. As a powerful multiscale image representation tool, Shearlet tranform enables better preservation of significant detail information in despeckled results. Compared with the wavelet transform, Shearlet transform is more suitable for image restoration applications where detail preservation is highly demanding. Experimental results on real X-band amplitude and intensity SAR images demonstrate the efficacy of the proposed method. A quantitative analysis is also given to show the superiority of the Shearlet-based thresholding method over the translation-invariant wavelet-based counterpart. © 2013 IEEE.","18","Radar imaging","Image reconstruction - Speckle - Synthetic aperture radar - Wavelet transforms","Radiometric resolution - SAR Images - Shearlet transforms - Speckle reduction - Synthetic aperture radar (SAR) images - Thresholding - Thresholding methods - Translation invariant wavelets","716.2 Radar Systems and Equipment - 741.1 Light/Optics - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Exponential stability of quasi-linear non-autonomous differential equations in banach spaces","20084011616388","","Liu, Lixin (1) ","(1) Department of Mathematics and Physics, Panzhihua University, Panzhihua 617000, China ","Liu, L.(pzhliulixin@yahoo.com.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","586-588","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605484","4605484","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper is concerned with the exponential stability of the zero solution of a quasi-linear differential equation in a Banach space, it is proved that the quasi-linear non-autonomous differential equation is exponentially stable if and only if the associated linear non-autonomous differential equation is exponentially stable.","8","Differential equations","Asymptotic stability - Banach spaces","Evolution family - Exponentially stable - Nonautonomous differential equation - Quasi-linear - Quasi-linear differential equations - Zero solutions","921.1 Algebra - 921.2 Calculus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Farrerol improves the blood pressure, plasma biochemical indices and aortic media thickness in spontaneously hypertensive rats","20153601247036","","Qin, Xiao-Jiang (1); Hou, Xiao-Min (2); Liang, Tai-Gang (1); Li, Qing-Shan (1) ","(1) School of Pharmaceutical Science, Shanxi Medical University, Taiyuan; Shanxi, China (2) Department of Pharmacology, Shanxi Medical University, Taiyuan; Shanxi, China ","Li, Qing-Shan(sxlqs2012@163.com) ","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","","CRC Press/Balkema","","","69-74","2015","","1 of 1","2015","English","","","","9781138026841","","","Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","August 16, 2014 - August 17, 2014","Kunming, Yunnan, China","118459","","Conference article (CA)","Farrerol, a flavonoid considered to be the major bioactive component in a traditional Chinese herb, 'Man-shan-hong', which is the dried leaves of Rhododendron dauricum L. Our previous study found that farrerol possesses vasoactive effects. Therefore, we postulated that Farrerol may have potential antihypertensive activity. In this study, we examined this hypothesis by evaluating the effects of farrerol on the systolic blood pressure, heart rate and body weight in the spontaneously hypertensive rats (SHR) and its normotensive Wistar-Kyoto rats (WKY) control strain of 12 weeks of age for a duration of 20 weeks. Aortic media thickness were examined as they are the cardiovascular parameters that are directly associated with increased blood pressure. Plasma biochemical indices were also performed to assess whether these parameters were affected. These results showed that farrerol significantly improved blood pressure and plasma biochemical index and reduced aortic media thickness, which suggests that farrerol is a potential candidate drugs to prevent the development of hypertension. © 2015 Taylor & Francis Group, London.","5","Blood pressure","Blood vessels - Plants (botany) - Rats","Anti-hypertensive activities - Bioactive components - Biochemical indices - Candidate drugs - Cardiovascular parameters - Spontaneously hypertensive rats - Systolic blood pressure - Wistar-kyoto rats","461.2 Biological Materials and Tissue Engineering - 461.9 Biology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Unsupervised change detection in multitemporal SAR images via NSCT-domain feature clustering","20140417228917","","Sun, Qiang (1); Gao, Yong (2) ","(1) Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China (2) Xi'an Polytechnic University, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6664043","6664043","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","In this paper, a new unsupervised multitemporal change detection method for synthetic aperture radar (SAR) imagery is proposed. This method follows the 'comparison-classification' framework where the difference image is obtained by comparing the multitemporal SAR images acquired on the same geographical area at two different time instances and the change map is generated by classifying the difference image into 'changed class' and 'unchanged class' using feature clustering technique. The features that are clustered result from the multiscale and multiband decomposition of the difference image with the nonsubsampled contourlet transform (NSCT). Experimental results on a pair of synthetic multitemporal SAR images and a pair of real multitemporal SAR data justify the effectiveness of the proposed method. Comparison with the UDWT-based method is also given, showing better detection performance of the proposed method. © 2013 IEEE.","10","Radar imaging","Signal processing - Synthetic aperture radar","Change detection - Clustering - Multi-temporal SAR images - Non subsampled contourlet transform (NSCT) - NSCT - SAR Images - Synthetic Aperture Radar Imagery - Unsupervised change detection","716.1 Information Theory and Signal Processing - 716.2 Radar Systems and Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the job satisfaction of public health staff","20153601247043","","Zhonga, Wen-Juan (1); Yang, Wei-Di (1); Li, Bin (2) ","(1) Wuhan Polytechnic University, Wuhan, China (2) Tongji Medical College of Huazhong University of Science and Technology, Wuhan, China ","Li, Bin ","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","","CRC Press/Balkema","","","719-722","2015","","1 of 1","2015","English","","","","9781138026841","","","Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","August 16, 2014 - August 17, 2014","Kunming, Yunnan, China","118459","","Conference article (CA)","The objective of this study is to survey the job satisfaction of public health staff in HanChuan to provide a basis for its decision-making. Methods Using the self-made questionnaire for the cluster sampling method, questionnaire survey and the statistical methods for result analysis. Results The main factors affecting the satisfaction of public health staff included the performance appraisal system, working emphasis, income satisfaction, lack of experimental material, no cooperation teamwork, earned income. Conclusion It is very important to establish an effective performance evaluation system and protection mechanism of a public health personnel talent, improve salary and welfare and people’s thinking and understanding of public health issues, increase government attention and investment efforts so as to enhance the overall job satisfaction of public health staff. © 2015 Taylor & Francis Group, London, UK.","6","Public health","Behavioral research - Decision making - Job satisfaction - Sampling - Surveys - Wages","Cluster sampling - Effective performance - Experimental materials - Overall job satisfactions - Performance appraisal system - Protection mechanisms - Public health issues - Questionnaire surveys","461.6 Medicine and Pharmacology - 912.2 Management - 912.4 Personnel - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An image inpainting method by structural constraints and sample sparse representation","20140417228776","","Jialun, Kang (1); Xianghong, Tang (2) ","(1) School of Communication Engineering, Hangzhou Dianzi University, Hangzhou, China (2) School of Information Engineering, Hangzhou Dianzi University, Hangzhou, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6663902","6663902","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","This paper discusses a way of image inpainting by structural constraints and patch sparse representation. First, we complete the image edge information by polynomial curve fitting to constrain the structure. Second, we redefine the priority in order to repair the structure firstly and present a narrow-band model based on patch sparse representation to complete structural information. Last, we do sparse representation of the shifting patch in place of the target patch to improve the reliability of sparse representation in texture portion. Simulation results show that the proposed method can make higher image quality and maintain the linear structure well. © 2013 IEEE.","15","Curve fitting","Image processing - Polynomial approximation","Narrow bands - Polynomial curve fitting - Shifting patch - Sparse representation - Structural constraints","921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimization of PCR-SSCP analysis conditions on the analysis of microbial communities of the strong-flavor Chinese liquor fermentation","20153601247064","","Chen, Xin-Xin (1); Yuan, Lin (1, 2) ","(1) College of Life Science, Inner Mongolia University, Hohhot; Inner Mongolia, China (2) Inner Mongolia University, No.235 West College Road, Hohhot; Inner Mongolia; ZIP:010021, China ","Yuan, Lin(yuan0079@163.com) ","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","Medicine Sciences and Bioengineering - Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","","CRC Press/Balkema","","","829-836","2015","","1 of 1","2015","English","","","","9781138026841","","","Proceedings of the 2014 International Conference on Medicine Sciences and Bioengineering, ICMSB 2014","August 16, 2014 - August 17, 2014","Kunming, Yunnan, China","118459","","Conference article (CA)","The microbial communities of fermented grains were complex during the strong-flavor Chinese liquor fermentation. In this study, by using Single Strand Conformation Polymorphism (SSCP), we optimized the influence factors of microbial communities, including the size of PCR production, concentration of gel, cross-linking degree and temperature of the electrophoresis. Based on SSCP profiles, the optimizing conditions are as follows. The target fragments were PCR-amplified using 16S rDNA V3 region (about 200bp) primers. The volume ratio of denaturing buffer and sample was 1: 2. The best gel concentration was 14% and the weight ratio of acrylamide and bis-acrylamide was 49: 1. Then electrophoresis for 18h at 4° C with 300 V constant voltage. © 2015 Taylor & Francis Group, London, UK.","7","Microorganisms","Amides - Electrophoresis - Fermentation - Polymerase chain reaction","Analysis conditions - Chinese liquors - Constant voltage - Cross-linking degree - Fermented grains - Gel concentration - Microbial communities - Single strand conformation polymorphisms (SSCP)","461.9 Biology - 801 Chemistry - 804.1 Organic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A novel image-based method for conveyor belt rip detection","20140417228752","","Peng, Xiaoming (1, 2) ","(1) School of Automation, University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China (2) School of Computer Science and Software Engineering, University of Western Australia, Crawley, Perth, WA 6009, Australia ","Peng, X.(pengxm@uestc.edu.cn) ","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","","9781479910274","10.1109/ICSPCC.2013.6663878","6663878","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","Conveyor belts of all types are prone to rips from impact by sharp objects in the flow path, which can lead to expensive belt failure. In this paper, we present a novel method for detecting conveyor belt rips. In contrast to previous work on conveyor belt rip detection, the proposed method has a built-in real/false rip classification mechanism, which we believe will serve as a quite useful reference to designers of vision-based conveyor belt monitoring systems who wish to reduce false rip detection rates. © 2013 IEEE.","9","Belt conveyors","Image processing - Pattern recognition","Classification mechanism - Conveyor belts - Detection rates - Flow path - Image-based methods - Monitoring system - Sharp objects - Vision based","692.1 Conveyors",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
