Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"An Efficient Key-Insulated Proxy Re-Encryption Scheme in Certificateless Cryptography","20184406007013","He, Li-Bo (1); Lu, Zhen-Yu (2); Geng, Zhen-Wei (1); Qin, Zhi-Guang (1) ","(1) School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu; 610054, China (2) Information Center of Yunnan Power Grid Co.Ltd, Kunming; 650000, China ","","Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China","Dianzi Keji Diaxue Xuebao","","Univ. of Electronic Science and Technology of China","47","4","606-612","July 30, 2018","","","2018","English","10010548","","","10.3969/j.issn.1001-0548.2018.04.021","","","","","","DKDAEM","Journal article (JA)","In a proxy re-encryption scheme, an untrusted proxy can convert the cipher text encrypted by Alice to the cipher text encrypted by Bob. Certificateless proxy re-encryption scheme has the advantages that avoiding the complicated public key infrastructure (PKI) and solving the problem of key-escrow in identity-based cryptography. To deal with the disastrous result of key leakage, a certificateless proxy re-encryption scheme featured with key insulated function has been proposed in this paper. Security proof in the random oracle model and experiment results demonstrate that the proposed scheme is secure and practical. At last, a secure data sharing scheme for cloud-based mobile Internet has also been given based on the proposed encryption scheme. © 2018, Editorial Board of Journal of the University of Electronic Science and Technology of China. All right reserved.","15","Distributed computer systems","Cloud computing - Mobile devices - Public key cryptography","Certificateless cryptographies - Identity based cryptography - Key-insulated - Mobile Internet - Proxy re encryptions - Proxy re-encryption schemes - Public-key infrastructure - Random Oracle model","716 Telecommunication; Radar, Radio and Television - 722.4 Digital Computers and Systems",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effect of phase transition temperature and thermal conductivity on the performance of Latent Heat Storage System","20180904839468","Bie, Yu (1, 2); Li, Ming (1); Malekian, Reza (3); Chen, Fei (2); Feng, Zhikang (1); Li, Zhixiong (4, 5) ","(1) Solar Energy Research Institute, Yunnan Normal University, Kunming; 650500, China (2) Faculty of Chemical Engineering, Kunming University of Science and Technology, Kunming; 650500, China (3) Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria; 0002, South Africa (4) School of Mechatronics Engineering, China University of Mining and Technology, Xuzhou; 221116, China (5) School of Mechanical, Materials, Mechatronic and Biomedical Engineering, University of Wollongong, Wollongong; NSW; 2522, Australia ","Li, Ming(lmllldy@126.com) ","Applied Thermal Engineering","Appl Therm Eng","","Elsevier Ltd","135","","218-227","May 5, 2018","","","2018","English","13594311","","","10.1016/j.applthermaleng.2018.02.036","","","","","","ATENFT","Journal article (JA)","The heat transfer properties of phase change materials (PCMs) are of importance for the efficiency assessment on the heat storage and release in solar thermal systems. Previous research results demonstrate that the increase of thermal conductivity of PCMs can enhance the thermal performance in solar thermal systems; however, the corresponding mechanism is not clear. To this end, this work investigates the influence of PCMs properties on storage performance of solar thermal systems. First, experimental testing was conducted to verify the effectiveness of a thermal simulation model in the heat storage and release process. Then, the proposed simulation model was used to investigate the performance of several commonly used PCMs in the process of melting and solidification. The influence of thermal conductivity and phase transition temperature on the thermal storage properties was analyzed. The analysis results demonstrated that the influence of phase transition temperature on the thermal system performance was greater than that of the thermal conductivity in short time, while the thermal conductivity contributed greater influence on the system performance in long time. The phase transition temperature hardly affected the total system efficiency if given enough heat transfer time. The findings in this work may provide a theoretical reference for the selection of heat storage materials. © 2018 Elsevier Ltd","31","Thermal conductivity","Efficiency - Heat storage - Phase change materials - Phase transitions - Solar heating - Storage (materials) - Temperature","Efficiency assessment - Experimental testing - Heat transfer performance - Heat transfer properties - Latent heat storage system - Melting and solidification - Solar thermal systems - Thermal simulations","641.1 Thermodynamics - 657.1 Solar Energy and Phenomena - 694.4 Storage - 801.4 Physical Chemistry - 913.1 Production Engineering","Number: U1137605, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 05300205020516009, Acronym: -, Sponsor: -; Number: 2015DFA60120, Acronym: -, Sponsor: -; ","This work is supported by the National Natural Science Foundation, China (Grant No.: U1137605 ), the Collaborative Innovation Center of Research and Development of Renewable Energy in the southwest area in China (No.: 05300205020516009 ), the Project on Co-establishing China-Laos Joint Lab for Renewable Energy (No.: 2015DFA60120 ), and UOW VC Postdoctoral Fellowship .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Game theoretic non-cooperative distributed coordination control for multi-microgrids","20182505341834","Liu, Wei (1, 2); Gu, Wei (1); Wang, Jianhui (3); Yu, Wenwu (4); Xi, Xinze (5) ","(1) School of Electrical Engineering, Southeast University, Nanjing; 210096, China (2) Department of Electrical Engineering, School of Automation, Nanjing University of Science and Technology, Nanjing; 210094, China (3) Department of Electrical Engineering, Southern Methodist University, Dallas; TX; 75275, United States (4) School of Mathematics, Southeast University, Nanjing; 210096, China (5) Electric Power Research Institute, Yunnan Power Grid Company Ltd., Kunming; 650217, China ","Gu, Wei(wgu@seu.edu.cn) ","IEEE Transactions on Smart Grid","IEEE Trans. Smart Grid","","Institute of Electrical and Electronics Engineers Inc.","9","6","6986-6997","November 2018","","","2018","English","19493053","","","10.1109/TSG.2018.2846732","8383951","","","","","","Journal article (JA)","An increased number of microgrids (MGs) will exist in future active distribution systems (ADSs); however, these MGs belong to multiple operators and cannot simply be controlled as a public grid in the electricity market environment. For multi-MGs (MMGs) which have multiple coexisting beneficiaries, it will be unfeasible to realize a cooperative control among them. Hence, we propose a game theoretic non-cooperative distributed coordination control (NCDCC) scheme to address multi-operator energy trading and facilitate a powerful control structure for MMGs. The proposed NCDCC coordinates the individual benefits of each MG and achieves a global objective based on differential game theory. Furthermore, it simplifies the implementation of many ADS control functions, including global coordination, local autonomy, and self-healing, by reconsidering an ADS as MMGs and every MG as an agent. Moreover, the NCDCC reduces the control dimension and number of agents by obviating the requirements for a central controller and complex communication topologies. This article investigates the effectiveness, adaptability, and fairness of this scheme by means of several representative cases studies. © 2010-2012 IEEE.","39","Game theory","Autonomous agents - Commerce - Control theory - Decentralized control - Electric frequency control - Electrical engineering - Power markets - Voltage control","Differential game theory - Distributed coordination control - Games - Global coordination - local autonomy - Micro grid - Multi micro-grids",,"Number: -, Acronym: NUST, Sponsor: Nanjing University of Science and Technology; Number: 2016YFB0900404, Acronym: -, Sponsor: -; Number: BK20160674, Acronym: -, Sponsor: Natural Science Foundation of Jiangsu Province; Number: -, Acronym: SEU, Sponsor: Southeast University; Number: 51477029, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: TSG-00707-2017, Acronym: SGCC, Sponsor: State Grid Corporation of China; ","Manuscript received May 23, 2017; revised November 4, 2017 and February 26, 2018; accepted June 8, 2018. Date of publication June 13, 2018; date of current version October 19, 2018. This work was supported in part by the National Key Research and Development Program of China under Grant 2016YFB0900404, in part by the National Natural Science Foundation of China under Grant 51477029, in part by the Natural Science Foundation of Jiangsu Province under Grant BK20160674, and in part by the State Grid Corporation of China. Paper no. TSG-00707-2017. (Corresponding author: Wei Gu.) W. Liu is with the School of Electrical Engineering, Southeast University, Nanjing 210096, China, and also with the Department of Electrical Engineering, School of Automation, Nanjing University of Science and Technology, Nanjing 210094, China (e-mail: wliu@njust.edu.cn).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A comparative Study on the Analysis of Elastic Plastic and Viscoelastic Constitutive Model in Soft Rock large Deformation Tunnel","20191306696996","Zhang, Chengliang (1); Lv, Wenqian (1); Liu, Lei (1); Wang, Chao (1) ","(1) Faculty of Land Resources Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China ","Zhang, Chengliang(zclky78@163.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","452","2","","December 13, 2018","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering - Materials Processing and Material Application","2 of 4","2018","English","17578981","1757899X","","10.1088/1757-899X/452/2/022098","022098","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering, IMMAEE 2018","September 15, 2018 - September 16, 2018","Melbourne, VIC, Australia","146105","","Conference article (CA)","With the construction of large highway engineering, large section soft rock highway tunnel is more and more. In the process of excavation, large section highway tunnel, soft surrounding rock and complex stress, during the excavation process prone to large deformation. Reasonable determination of the deformation of the large section soft rock highway tunnel is particularly important. According to the geological conditions and the mechanical characteristics of surrounding rock, using elastic-plastic and visco elastic constitutive model for deformation of the same level under different embedding rock by numerical analysis, the same rock using different constitutive relations, area difference, measured data through the laying on the site to provide the comparative analysis by the viscoelastic constitutive relation constitutive model is closer to the actual site, which is due to the large section soft rock tunnel has obvious time effect in the process of excavation, therefore in the process of excavation for large deformation of soft rock tunnel is more close to the actual rheological constitutive model considering the effect of amount. © Published under licence by IOP Publishing Ltd.","10","Rocks","Constitutive models - Deformation - Elastoplasticity - Excavation - Highway engineering - Insulating materials - Viscoelasticity","Comparative analysis - Comparative studies - Constitutive relations - Excavation process - Geological conditions - Mechanical characteristics - Soft surrounding rocks - Viscoelastic constitutive models","413 Insulating Materials - 921 Mathematics - 931.2 Physical Properties of Gases, Liquids and Solids",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Quality Assessment of Open Source Software: A Review","20184406019753","Tassone, Joseph (1); Xu, Shaochun (1); Wang, Chunning (2); Chen, Jiao (3); Du, Wencai (4) ","(1) Algoma University, Sault Ste Marie, Canada (2) National Geological Library of China, Beijing, China (3) Yunnan Minzu University, Kunming, China (4) City University of Macao, China ","","Proceedings - 17th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2018","Proc. - IEEE/ACIS Int. Conf. Comput. Inf. Sci., ICIS","IEEE Computer Society; International Association for Computer and Information Science (ACIS)","Institute of Electrical and Electronics Engineers Inc.","","","411-416","September 14, 2018","Proceedings - 17th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2018","1 of 1","2018","English","","","9781538658925","10.1109/ICIS.2018.8466436","8466436","17th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2018","June 6, 2018 - June 8, 2018","Singapore, Singapore","139965","","Conference article (CA)","Open Source Software (OOS) has become more and more popular during last a few years. Quality evaluation of OOS is still an issue and worth to investigate. In this work, we discussed the issues associated with open source software quality, and then conducted a review on the research work of quality evaluation approaches such as metrics and models. The impact of community involvement and quality assessment tools on the OSS quality assessment were also discussed. © 2018 IEEE.","20","Open source software","Computer software selection and evaluation - Models - Open systems - Quality control - Tools","Community involvement - Community Involvment - Metrics - Quality assessment - Quality evaluation","723 Computer Software, Data Handling and Applications - 913.3 Quality Assurance and Control","Number: -, Acronym: -, Sponsor: China Geological Survey; ","The authors are grateful to reviewers for their revision suggestions. Chunning Wang and Shaochun Xu would like to acknowledge the support provided by the National Geological Library of China through the China Geological Survey Project named as "The Collection, Integration and Service of Geological Science Literature Data".",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A novel efficiency assessment criterion for thermo-economic analysis of Gas-Steam Combined Cycle combined heat and power","20191306696710","Liang, Junyu (1); Cai, Chunchun (2); Zhao, Ming (1); Wang, Peihong (2) ","(1) Research Institute of Yunnan Power Grid Co. Ltd., Kunming, Yunnan, China (2) Key Laboratory of Energy Thermal Conversion and Control, Ministry of Education, School of Energy and Environment, Southeast University, Sipailou #2, Nanjing; 210096, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","452","3","","December 13, 2018","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering - Power Engineering and Renewable Energy","3 of 4","2018","English","17578981","1757899X","","10.1088/1757-899X/452/3/032044","032044","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering, IMMAEE 2018","September 15, 2018 - September 16, 2018","Melbourne, VIC, Australia","146105","","Conference article (CA)","Gas-steam combined cycle (GSCC) plants are among the best technologies for power production, in particular when operating in combined heat and power (CHP) generation. As far as we know, there is not any efficiency assessment criterion for thermo-economic analysis of GSCC-CHP plants until now. To solve this problem, this paper proposes a novel efficiency assessment criterion through establishing a mathematical model of heat-consume apportionment and then defining a set of thermo-economic performance indexes for the GSCC-CHP plants, based on the basic principle of heat quantity method by synchronically considering some predefined parameters such as energy utilization efficiency of gas turbine units and the unit comprehensive energy utilization efficiency. With the multi-condition analysis of the changed heat load, extraction pressure and water recovery rate, it verifies the feasibility of the efficiency assessment criterion. © Published under licence by IOP Publishing Ltd.","11","Economic analysis","Cogeneration plants - Energy utilization - Gas plants - Gas turbines - Insulating materials - Power generation - Steam power plants - Thermoelectric power plants","Combined heat and power - Efficiency assessment - Gas steam combined cycles - Thermal power plants - Thermo-economic","413 Insulating Materials - 522 Gas Fuels - 525.3 Energy Utilization - 612.3 Gas Turbines and Engines - 614 Steam Power Plants - 615.4 Thermoelectric Energy - 911.2 Industrial Economics",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Generation of GTKO Diannan Miniature Pig Expressing Human Complementary Regulator Proteins hCD55 and hCD59 via T2A Peptide-Based Bicistronic Vectors and SCNT","20182505347620","Liu, Fengjuan (1, 2); Liu, Jinji (1, 2); Yuan, Zaimei (2); Qing, Yubo (1, 2); Li, Honghui (1, 2); Xu, Kaixiang (1); Zhu, Wanyun (1); Zhao, Heng (1, 2); Jia, Baoyu (1, 2); Pan, Weirong (2); Guo, Jianxiong (1); Zhang, Xuezeng (3); Cheng, Wenmin (2); Wang, Wei (4, 5); Zhao, Hong-Ye (1); Wei, Hong-Jiang (1, 3) ","(1) State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming; 650201, China (2) College of Animal Science and Technology, Yunnan Agricultural University, Kunming; 650201, China (3) College of Veterinary Medicine, Yunnan Agricultural University, Kunming; 650201, China (4) Hunan Xeno Life Science Co., Ltd, Changsha; 410600, China (5) Institute for Cell Transplantation and Gene Therapy, The Third Xiangya Hospital Central-South University, Changsha; 410013, China ","Zhao, Hong-Ye(hyzhao2000@126.com) ","Molecular Biotechnology","Mol. Biotechnol.","","Humana Press Inc.","60","8","550-562","August 1, 2018","","","2018","English","10736085","15590305","","10.1007/s12033-018-0091-6","","","","","","","Journal article (JA)","Pig-to-human organ transplantation has drawn attention in recent years due to the potential use of pigs as an alternative source of human donor organs. While GGTA1 knockout (GTKO) can protect xenografts from hyperacute rejection, complement-dependent cytotoxicity might still contribute to this type of rejection. To prolong the xenograft survival, we utilized a T2A-mediated pCMV-hCD55-T2A-hCD59-Neo vector and transfected the plasmid into GTKO Diannan miniature pig fetal fibroblasts. After G418 selection combined with single-cell cloning culture, four colonies were obtained, and three of these were successfully transfected with the hCD55 and hCD59. One of the three colonies was selected as donor cells for somatic cell nuclear transfer (SCNT). Then, the reconstructed embryos were transferred into eight recipient gilts, resulting in four pregnancies. Three of the pregnant gilts delivered, yielding six piglets. Only one piglet carried hCD55 and hCD59 genetic modification. The expression levels of the GGTA1, hCD55, and hCD59 in the tissues and fibroblasts of the piglet were determined by q-PCR, fluorescence microscopy, immunohistochemical staining, and western blotting analyses. The results showed the absence of GGTA1 and the coexpression of the hCD55 and hCD59. However, the mRNA expression levels of hCD55 and hCD59 in the GTKO/hCD55/hCD59 pig fibroblasts were lower than that in human 293T cells, which may be caused by low copy number and/or CMV promoter methylation. Furthermore, we performed human complement-mediated cytolysis assays using human serum solutions from 0 to 60%. The result showed that the fibroblasts of this triple-gene modified piglet had greater survival rates than that of wild-type and GTKO controls. Taken together, these results indicate that T2A-mediated polycistronic vector system combined with SCNT can effectively generate multiplex genetically modified pigs, additional hCD55 and hCD59 expression on top of a GTKO genetic background markedly enhance the protective effect towards human serum-mediated cytolysis than those of GTKO alone. Thus, we suggest that GTKO/hCD55/hCD59 triple-gene-modified Diannan miniature pig will be a more eligible donor for xenotransplantation. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","50","Mammals","Alkylation - Body fluids - Cell culture - Clone cells - Cytotoxicity - Fibroblasts - Fluorescence microscopy - Genes - Genetic engineering - Proteins - Vectors","Bicistronic vector - Complement-dependent cytotoxicities - Genetic modifications - GGTA1-knockout - Immunohistochemical staining - Regulatory protein - Somatic cell nuclear transfers - Xenotransplantation",,"Number: 31560637, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by grants from Major Program on Basic Research Projects of Yunnan Province (Grant No. 2014FC006), the National Genetically Modified Organisms Breeding Major Projects (Grant No. 2016ZX08009-003-006) and the National Natural Science Foundation of China (Grant No. 31560637). The authors declare that they have no competing interests.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research about Titanium Alloyed Layer's Temperature Oxidation Resistance on Aircraft Engine Surface","20184706120391","Huang, Ao (1); Yang, Jie (2); Zhang, Yulong (1); Jin, Lei (1) ","(1) 2017 Graduate Student in Southwest Forestry University, Kunming, Yunnan; 650224, China (2) School of Mechanical and Manufacturing Engineering, Southwest Forestry University, Kunming, Yunnan; 650224, China ","Huang, Ao(351725623@qq.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","189","3","","November 6, 2018","2018 International Conference on Civil and Hydraulic Engineering, IConCHE 2018 - Physical and Chemical Properties of Materials","3 of 6","2018","English","17551307","17551315","","10.1088/1755-1315/189/3/032062","032062","2018 International Conference on Civil and Hydraulic Engineering, IConCHE 2018","November 23, 2018 - November 25, 2018","Qingdao, China","141905","","Conference article (CA)","Aircraft engines often work in a high temperature or easily oxidized environment, and the titanium alloy layer on the surface of the existing aircraft engine is poorly resistant to high temperature oxidation. The maximum temperature that can bear currently is slightly above 500°C, which severely limits its widespread application. In order to improve its resistance ability to high temperature oxidation, laser surface alloying technique was adopted here which Ti-Al-xSi alloying layer was prepared on the surface of matrix Ti-6Al-4V alloy (It is mainly composed of Ti-Al Intermetallic Compound and Ti5Si3 Reinforced Phase) and the analysis were presented in three aspects: material phase, tissue observation and high temperature oxidation resistance ability during different time periods. The experimental data of tissue composition, structure and high temperature oxidation resistance of Ti-al-xsi alloying layer which was preset different proportion of Al powder and Si powder mixture were compared. The experimental results showed that, when the mass of Si powder was 10%, 20% and 30% of the Al powder mass, Ti-Al Intermetallic Compound has evolved from TiAl to TiAl2 phase and TiAl3 phase with the increasing additive amount of Si, which had excellent oxidation resistance at high temperature. At the same time, the oxidation weight of alloying layer was decreased and the oxidation rate was declined. © Published under licence by IOP Publishing Ltd.","9","Titanium alloys","Aircraft engines - Alloying - Aluminum alloys - Aluminum compounds - Binary alloys - Engines - Fighter aircraft - Hydraulic structures - Hydraulics - Intermetallics - Oxidation resistance - Shore protection - Silicon - Silicon alloys - Surface resistance - Ternary alloys - Thermooxidation - Tissue - Titanium compounds - Vanadium alloys","Different proportions - High temperature - Laser surface alloying technique - Maximum temperature - Temperature oxidation - Ti-6Al-4V alloy - Ti-al intermetallics - Tissue composition","407.1 Maritime Structures - 461.2 Biological Materials and Tissue Engineering - 531.1 Metallurgy - 541.2 Aluminum Alloys - 542.3 Titanium and Alloys - 543.6 Vanadium and Alloys - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 632.1 Hydraulics - 652.1.2 Military Aircraft - 653.1 Aircraft Engines, General - 802.2 Chemical Reactions - 951 Materials Science",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Room-temperature synthesis and photoluminescence of hexagonal CePO4nanorods","20180904831545","Zhu, J. (1); Zhang, K. (1); Zhao, H.Y. (1) ","(1) Yunnan Key Laboratory for Micro/nano Materials and Technology, School of Materials Science and Engineering, Yunnan University, Kunming; 650091, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","292","1","","February 5, 2018","2nd International Conference on New Material and Chemical Industry, NMCI 2017","1 of 1","2018","English","17578981","1757899X","","10.1088/1757-899X/292/1/012026","012026","2nd International Conference on New Material and Chemical Industry, NMCI 2017","November 18, 2017 - November 20, 2017","Sanya, China","134405","","Conference article (CA)","Hexagonal CePO4nanorods were synthesized via a simple chemical precipitation route at room-temperature without the presence of surfactants and then characterized by powder X-ray diffraction (XRD), energy-dispersive X-ray (EDX) spectrometry, scanning electron microscopy (SEM), transmission electron microscopy (TEM), ultraviolet-visible (UV-vis) absorption and photoluminescence (PL) spectroscopy. Hexagonal CePO4nanorods exhibit strong ultraviolet absorption and ultraviolet luminescence, which correspond to the electronic transitions between 4f and 5d state of Ce3+ions. © 2018 Published under licence by IOP Publishing Ltd.","16","Cerium compounds","Absorption spectroscopy - Chemical industry - High resolution transmission electron microscopy - Nanorods - Photoluminescence - Photoluminescence spectroscopy - Precipitation (chemical) - Scanning electron microscopy - Transmission electron microscopy - X ray diffraction","Absorption and photoluminescence - Chemical precipitation - Electronic transition - Energy dispersive x-ray - Powder X ray diffraction - Room temperature synthesis - Ultraviolet absorption - Ultraviolet luminescence","741.1 Light/Optics - 741.3 Optical Devices and Systems - 761 Nanotechnology - 802.3 Chemical Operations - 805 Chemical Engineering, General - 933 Solid State Physics","Number: ZZ2016002, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; ","This investigation was supported by the Training Program for Young Academic and Technical Leader in Yunnan Province and the Science Foundation of Key Laboratory of Micro/Nano materials and Technology in Yunnan Province (No. ZZ2016002).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Error correction of spectral reflectance based on constrained linear spectral mixture model","20183105623870","Zhang, Haonan (1, 2); Wen, Xingping (1, 2); Luo, Dayou (1, 2); Xu, Junlong (1, 2); Li, Jinbo (1, 2) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Yunnan Kunming, 650093, China (2) Mineral Resources Prediction and Evaluation Engineering Laboratory of Yunnan Province, Yunnan Kunming; 650093, China ","Wen, Xingping(wfxyp@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","Nanjing University of Information Science and Technology; University of Information Technology","Institute of Physics Publishing","382","4","","July 13, 2018","2018 International Conference on Advanced Materials, Intelligent Manufacturing and Automation - 3. Mesomicro Manufacturing Equipment and Processes, Machining, Computer-aided Design, Manufacturing, and Engineering","4 of 5","2018","English","17578981","1757899X","","10.1088/1757-899X/382/4/042033","042033","2018 International Conference on Advanced Materials, Intelligent Manufacturing and Automation, AMIMA 2018","May 23, 2018 - May 26, 2018","China","138024","","Conference article (CA)","With the rapid development of remote sensing technology, spatial information extraction from remote sensing images is playing an increasingly important role. However, spectral signals of various ground objects are inevitably recorded in pixel. The classification accuracy is reduced and the development of quantitative remote sensing is restricted. In this paper, four groups of mixed pixel samples are designed, using the ASD FiledSpec3 spectroradiometer and the constrained linear spectral model to analyse the error distribution and the error correction methods are proposed. The results show that the constrained linear spectral model can be used in experiments where the illumination is uniform and the measured objects are smooth, and model has strong applicability. After correction, the average error of each group was reduced by 0.00847, and this method can effectively reduce the error caused by wavelength variation in the actual spectral measurement experiment. © Published under licence by IOP Publishing Ltd.","10","Remote sensing","Computer aided design - Error correction - Manufacture - Pixels","Classification accuracy - Linear spectral mixture model - Quantitative remote sensing - Remote sensing images - Remote sensing technology - Spatial information extraction - Spectral measurement - Spectral reflectances","537.1 Heat Treatment Processes - 723.5 Computer Applications","Number: -, Acronym: KUST, Sponsor: Kunming University of Science and Technology; ","This study was jointly supported by the remote sensing geochemistry disciplinary innovation team, Kunming University of Science and Technology, Kunming, China, 2013, and the innovation team of ore-forming dynamics and prediction of concealed deposits, Kunming University of Science and Technology, Kunming, China, 2008.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
