Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Finite-time nonfragile dissipative filter design for wireless networked systems with sensor failures","20190906558990","","Sakthivel, R. (1, 2); Nithya, V. (1); Ma, Yong-Ki (3); Wang, Chao (4) ","(1) Department of Mathematics, Bharathiar University, Coimbatore; 641 046, India (2) Department of Mathematics, Sungkyunkwan University, Suwon; 440-746, Korea, Republic of (3) Department of Applied Mathematics, Kongju National University, Chungcheongnam-do; 32588, Korea, Republic of (4) Department of Mathematics, Yunnan University, Kunming, Yunnan; 650091, China ","Sakthivel, R.(krsakthivel@yahoo.com) ","Complexity","Complexity","","Hindawi Limited, 410 Park Avenue, 15th Floor, 287 pmb, New York, NY 10022, United States","2018","","","2018","","","","2018","English","10762787","10990526","","10.1155/2018/7482015","7482015","","","","","","Journal article (JA)","In this study, the problem of finite-time nonfragile dissipative-based filter design for wireless sensor networks that is described by discrete-time systems with time-varying delay is investigated. Specifically, to reduce the energy consumption of wireless sensor networks, it is assumed that the signal is not transmitted at each instant and the transmission process is stochastic. By constructing a suitable Lyapunov-Krasovskii functional and employing discrete-time Jensen’s inequality, a new set of sufficient conditions is established in terms of linear matrix inequalities such that the augmented filtering system is stochastically finite-time bounded with a prescribed dissipative performance level. Meanwhile, the desired dissipative-based filter gain matrices can be determined by solving an optimization problem. Finally, two numerical examples are provided to illustrate the effectiveness and the less conservatism of the proposed filter design technique. Copyright © 2018 R. Sakthivel et al.","34","Wireless sensor networks","Design - Digital control systems - Discrete time control systems - Energy utilization - Linear matrix inequalities - Lyapunov functions - Numerical methods - Stochastic systems","Discrete - time systems - Filtering systems - Lyapunov-Krasovskii functionals - Optimization problems - Performance level - Sensor failure - Time varying- delays - Wireless networked systems","525.3 Energy Utilization - 716.3 Radio Systems and Equipment - 731.1 Control Systems - 921 Mathematics","Number: 2015R1C1A1A01054663, Acronym: -, Sponsor: Ministry of Science ICT and Future Planning; Number: -, Acronym: -, Sponsor: National Research Foundation of Korea; ","The work of Yong-Ki Ma was supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIP) (No.2015R1C1A1A01054663)","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The characteristic of Cu2ZnSnS4 thin film solar cells prepared by sputtering CuSn and CuZn alloy targets","20184305974314","","Lu, Yilei (1); Wang, Shurong (1, 2); Ma, Xun (1); Xu, Xin (1); Yang, Shuai (1); Li, Yaobin (1); Tang, Zhen (1) ","(1) Key Laboratory of Rural Energy Engineering in Yunnan Province, Yunnan Normal University, Kunming; 650500, China (2) Yunnan Key Lab of Opto-electronic Information Technology, Yunnan Normal University, Kunming; 650500, China ","Wang, Shurong(shrw88@aliyun.com) ","Current Applied Physics","Curr. Appl. Phys.","","Elsevier B.V.","18","12","1571-1576","December 2018","","","","2018","English","15671739","","","10.1016/j.cap.2018.10.005","","","","","","","Journal article (JA)","Recent study shows that the main reason for limiting CZTS device performance lies in the low open circuit voltage, and crucial factor that could affect the Voc is secondary phases like ZnS existing in absorber layer and its interfaces. In this work, the Cu2ZnSnS4 thin film solar cells were prepared by sputtering CuSn and CuZn alloy targets. Through tuning the Zn/Sn ratios of the CZTS thin films, the crystal structure, morphology, chemical composition and phase purity of CZTS thin films were characterized by X-Ray Diffraction (XRD), scanning electron microscopy (SEM) equipped with an energy dispersive spectrometer (EDS) and Raman spectroscopy. The statistics data show that the CZTS solar cell with a ratio of Zn/Sn = 1.2 have the best power convention efficiency of 5.07%. After HCl etching process, the CZTS thin film solar cell with the highest efficiency 5.41% was obtained, which demonstrated that CZTS film solar cells with high efficiency could be developed by sputtering CuSn and CuZn alloy targets. © 2018 Korean Physical Society","29","Thin film solar cells","Binary alloys - Chlorine compounds - Crystal structure - Etching - Film preparation - II-VI semiconductors - Open circuit voltage - Scanning electron microscopy - Solar cells - Spectrometers - Sputtering - Thin films - Zinc sulfide","Absorber layers - Alloy target - Chemical compositions - Czts solar cells - CZTS thin films - Device performance - Energy dispersive spectrometers - Secondary phasis",,"Number: 05300205020516009, Acronym: -, Sponsor: -; Number: 2011DFA62380, Acronym: -, Sponsor: -; Number: 61167003, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by Collaborate Innovation Center of Research and Development of Renewable Energy in the Southwest Area (Grant No. 05300205020516009 ) and the National Natural Science Foundation of China (Grant No. 61167003 ),also by key project of National and International Scientific and Technological cooperation (Grant No. 2011DFA62380 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A Group Control Method of Central Air-conditioning Chilled Water Pumps with the Aim of Energy Saving","20190806533790","","Li, Hai (1); Shi, Jun (1); Li, Ziwen (1); Yang, Caidong (1); Zhang, Yan (2, 3); Liang, Zhaowen (1); Liu, Yongqiang (1) ","(1) Yunnan Power Grid Co. Ltd., Lijiang Power supply Bureau, China (2) Center for faculty Development and Educational Technology, Guangdong University of Finance and Economics, China (3) School of Electric Power, South China University of Technology, Guangzhou, Guangdong, China ","Zhang, Yan(zhangyan@gdufe.edu.cn) ","2018 International Conference on Power System Technology, POWERCON 2018 - Proceedings","Int. Conf. Power Syst. Technol., POWERCON - Proc.","China Southern Power Grid Co., Ltd. (CSG); Chinese Society for Electrical Engineering (CSEE); IEEE Power and Energy Society (PES)","Institute of Electrical and Electronics Engineers Inc.","","","4517-4524","July 2, 2018","2018 International Conference on Power System Technology, POWERCON 2018 - Proceedings","","1 of 1","2018","English","","","9781538664612","10.1109/POWERCON.2018.8602089","8602089","2018 International Conference on Power System Technology, POWERCON 2018","November 6, 2018 - November 9, 2018","Guangzhou, China","144255","","Conference article (CA)","Lijiang is a famous tourist attraction in China, the energy saving control of central air conditioning in Lijiang area has not been paid attention for a long time. This paper presents an energy-saving operation control method for the central air conditioning users of Lijiang, which is based on the parallel working scene of several refrigerated pumps in the chilled water system by constant temperature difference and variable flow technologies. According to the change of cooling load, the method adjusts the cooling capacity supply in time based on the model of heat balance in air-conditioned rooms, and sets the switching boundary conditions of switchable pump input and exit switching automatically. At the same time, the influences of indoor temperature setting, water supply temperature and fresh air ratio on energy saving effect is analyzed. Several control strategies are put forward, such as water pump group control, reasonable temperature setting, new air ratio regulation, transition season air supply scheme and so on, which realize optimal control of pumps in chilled water system. Finally, the simulation analysis is carried out on the MATLAB/Simulink model. The operation results show quite good energy efficiency by the group control strategy in this paper. © 2018 IEEE.","16","Air conditioning","Cooling water - Demand side management - Electric utilities - Energy conservation - Energy efficiency - MATLAB - Pumps - Water piping systems - Water supply","Central air-conditioning - Chilled water systems - Constant temperature differences - Energy-saving control - Energy-saving operation - Group control - Indoor temperature settings - Matlab/Simulink modeling","446.1 Water Supply Systems - 525.2 Energy Conservation - 618.2 Pumps - 643.3 Air Conditioning - 921 Mathematics","","Manuscript received 2018-07-31. This work was supported in part the project of Lijiang power supply bureau of Yunnan Power Grid Co. Ltd.This research is supported by the project of Lijiang power supply bureau of Yunnan Power Grid Co. Ltd.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Decision-making under uncertainty through extending influence diagrams with interval-valued parameters","20181905174209","","Zhou, Lihua (1); Kevin, L.ü. (2); Liu, Weiyi (1); Ren, Changchun (1) ","(1) Department of Computer Science, Yunnan University, Kunming, China (2) Business School, Brunel University, Uxbridge; UB8 3PH, United Kingdom ","Lü, Kevin(kevin.lu@brunel.ac.uk) ","Expert Systems","Expert Syst","","Blackwell Publishing Ltd","35","4","","August 2018","","","","2018","English","02664720","14680394","","10.1111/exsy.12277","e12277","","","","","EXSYEX","Journal article (JA)","Influence diagrams (IDs) are one of the most commonly used graphical and mathematical decision models for reasoning under uncertainty. In conventional IDs, both probabilities representing beliefs and utilities representing preferences of decision makers are precise point-valued parameters. However, it is usually difficult or even impossible to directly provide such parameters. In this paper, we extend conventional IDs to allow IDs with interval-valued parameters (IIDs) and develop a counterpart method of Copper's evaluation method to evaluate IIDs. IIDs avoid the difficulties attached to the specification of precise parameters and provide the capability to model decision-making processes in a situation that the precise parameters cannot be specified. The counterpart method to Copper's evaluation method reduces the evaluation of IIDs into inference problems of Bayesian networks with interval-valued probabilities. An algorithm based on the approximate inference of Bayesian networks with interval-valued probabilities is proposed, and extensive experiments are conducted. The experimental results indicate that the proposed algorithm can find the optimal strategies effectively in IIDs, and the interval-valued expected utilities obtained by proposed algorithm are contained in those obtained by exact evaluating algorithms. The newly development approach would significantly extend the range of IDs for managerial decision support applications where parameters of variables can be specifically defined by only estimated intervals. Copyright © 2018 John Wiley & Sons, Ltd","33","Parameter estimation","Bayesian networks - Copper - Decision making - Decision support systems - Inference engines - Probability","Approximate inference - Decision making under uncertainty - Evaluating algorithms - Influence diagram - Interval valued probability - Interval-valued - Modeling decision makings - Reasoning under uncertainty",,"Number: 2015FB114, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2016FA026, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: -, Acronym: -, Sponsor: Innovative Team of Jiangsu Province; Number: -, Acronym: -, Sponsor: Bairen Program of Yunnan Province; Number: XT412011, Acronym: -, Sponsor: Guangdong Innovative and Entrepreneurial Research Team Program; Number: 61662086, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61262069, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61762090, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61472346, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: -, Sponsor: Innovative Team of Jiangsu Province; Number: C6165903, Acronym: -, Sponsor: -; Number: XT412011, Acronym: -, Sponsor: Guangdong Innovative and Entrepreneurial Research Team Program; Number: 2015FB114, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2016FA026, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: -, Acronym: -, Sponsor: Bairen Program of Yunnan Province; Number: 61662086, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61762090, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61262069, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61472346, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Program for Innovative Research Team in Yunnan University, Grant/Award Number: XT412011; Program for Innovation Research Team (in Science and Technology) in University of Yunnan Province (IRTSTYN); Project of Innovative Research Team of Yunnan Province; Natural Science Foundation of Yunnan Province, Grant/Award Numbers: 2015FB114 and 2016FA026; National Natural Science Foundation of China, Grant/Award Numbers: 61662086, 61472346, 61262069 and 61762090",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An iron oxide -copper bismuth oxide photoelectrochemical cell for spontaneous water splitting","20184706106445","","Du, Chun (1); Yang, Jie (1); Yang, Jinhui (1); Zhao, Yunkun (2); Chen, Rong (3, 4); Shan, Bin (1) ","(1) State Key Laboratory of Materials Processing & Die and Mould Technology, School of Materials Science and Engineering, Huazhong University of Science and Technology, Wuhan; Hubei; 430074, China (2) State Key Laboratory of Advanced Technologies for Comprehensive Utilization of Platinum Metal, Kunming Institute of Precious Metals, Kunming; Yunnan; 650106, China (3) State Key Laboratory of Digital Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan; Hubei; 430074, China (4) School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan; Hubei; 430074, China ","Shan, Bin(bshan@mail.hust.edu.cn) ","International Journal of Hydrogen Energy","Int J Hydrogen Energy","","Elsevier Ltd","43","51","22807-22814","20 December 2018","","","","2018","English","03603199","","","10.1016/j.ijhydene.2018.10.170","","","","","","IJHEDX","Journal article (JA)","Highly efficient water splitting reaction on hematite photoelectrode has been encumbered by its low photovoltage and photocurrent in a water splitting cell. In this work, a nanostructured hematite photoanode was prepared via a hydrothermal method, and its water oxidation activity was greatly enhanced by the synergetic application of uniform in-situ cobalt-doping and surface modification with fine cobalt iron oxide nanoparticles electrocatalyst. As a result, its remarkable low onset potential of 0.55 VRHE for water oxidation allows the construction of tandem cell with a novel metal oxide photocathode CuBi2O4, which has already proven reasonably robust photoactivity for water reduction reaction. The photocurrent and long-term stability of this metal oxides based device in alkaline electrolyte for unassisted overall water splitting reaction were investigated. A solar to hydrogen efficiency of 0.15% was measured accordingly on this spontaneous hydrogen production device, without the involvement of precious metal components. © 2018 Hydrogen Energy Publications LLC","41","Bismuth compounds","Cobalt compounds - Cobalt deposits - Copper oxides - Electrocatalysts - Electrolytes - Hematite - Hydrogen production - Indium compounds - Metals - Photocathodes - Photoelectrochemical cells - Solar power generation - Surface treatment","Alkaline electrolytes - Cobalt iron oxide nanoparticles - Hematite photoanode - Hydrothermal methods - In-situ doping - Long term stability - Photoelectrochemical water splitting - Water splitting reactions",,"Number: 2017M612451, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 2018ZE017, Acronym: -, Sponsor: -; Number: 51572097, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work is financially supported by the China Postdoctoral Science Foundation ( 2017M612451 ), National Natural Science Foundation of China ( 51572097 , 51575217 , 51702110 ), and Yunnan MGI project ( 2018ZE017 ). We would also like to acknowledge all the help and technology support from the Analytic Testing Center and Flexible Electronics Research Center of HUST . Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Tailoring Mg:Ag functionalities for organic light-emitting diodes","20183805845229","","Man, Jia-Xiu (1); He, Shou-Jie (1); Wang, Deng-Ke (1); Yang, Han-Nan (1); Lu, Zheng-Hong (1, 2) ","(1) Department of Physics, Center for Optoelectronics Engineering Research, Yunnan University, Kunming; 650091, China (2) Department of Materials Science and Engineering, University of Toronto, Toronto; Ontario; M5S 3E4, Canada ","He, Shou-Jie(shoujie.he@ynu.edu.cn) ","Organic Electronics","Org. Electron","","Elsevier B.V.","63","","41-46","December 2018","","","","2018","English","15661199","","","10.1016/j.orgel.2018.08.051","","","","","","OERLAU","Journal article (JA)","Magnesium (Mg) and silver (Ag) alloys are staple electrodes for organic light-emitting diodes (OLEDs). In this study, the Mg:Ag binary phase diagram is used to establish an electrode materials selection guide for both bottom- and top-emitting OLEDs. To achieve low turn-on voltage and high efficiency in bottom-emitting OLEDs, it is found that Mg:Ag cathodes must be selected from AgMg3–Mg phase region which provides the best figure of merits in low work function and high optical reflectance. For top-emitting OLEDs, however, Mg:Ag cathodes in the AgMg3–Mg region show large imaginary refractive index, and thus a stacked Mg:Ag/Ag is found essential to achieve optimal device performance. Furthermore, insertion of a thin LiF layer is found to create an effective charge injection cathode. In order to theoretically compute the devices’ optical characteristics, a database of complex optical constants of various materials including the metals is obtained by using a spectroscopic ellipsometer. This new database is found essential for accurate device optical design and engineering. © 2018","26","Fluorine compounds","Cathodes - Diodes - Lithium compounds - Magnesium alloys - Optical design - Optical engineering - Organic light emitting diodes (OLED) - Phase diagrams - Refractive index - Silver alloys","Ag-alloy - Binary phase diagrams - Electrode material - Low turn-on voltages - Optical characteristics - Optical reflectance - Organic light emitting diodes(OLEDs) - Spectroscopic ellipsometers","542.2 Magnesium and Alloys - 547.1 Precious Metals - 714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics","Number: -, Acronym: -, Sponsor: Natural Sciences and Engineering Research Council of Canada; Number: 2017YDQN07, Acronym: -, Sponsor: Yunnan University; Number: U1402273, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by grant from the National Natural Science Foundation of China (Grant No. U1402273 and 11774304 ), from the Natural Science and Engineering Research Council of Canada , and from Yunnan University (Grant No. 2017YDQN07 ). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Responses of the carbon storage and sequestration potential of forest vegetation to temperature increases in Yunnan Province, SW China","20182005186537","","Zhou, Ruiwu (1, 2); Li, Wangjun (3); Zhang, Yiping (1); Peng, Mingchun (4); Wang, Chongyun (4); Sha, Liqing (1); Liu, Yuntong (1); Song, Qinghai (1); Fei, Xuehai (1, 2); Jin, Yanqiang (1, 2); Gao, Jinbo (1, 2); Lin, Youxing (1, 2); Grace, John (5); Wang, Shusen (6) ","(1) Key Laboratory of Tropical Forest Ecology, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Menglun; 666303, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China (3) School of Ecological Engineering, Guizhou University of Engineering Science, Bijie; 551700, China (4) Institute of Ecology and Geobotany, Yunnan University, Kunming; 650091, China (5) School of GeoSciences, The University of Edinburgh, Edinburgh; EH9 3FF, United Kingdom (6) Canada Centre for Remote Sensing, Natural Resources Canada, Ottawa; ON; K1A 0E4, Canada ","Zhang, Yiping(yipingzh@xtbg.ac.cn) ","Forests","Forests","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","9","5","","April 25, 2018","","","","2018","English","","19994907","","10.3390/f9050227","227","","","","","","Journal article (JA)","The distribution of forest vegetation and forest carbon sequestration potential are significantly influenced by climate change. In this study, a map of the current distribution of vegetation in Yunnan Province was compiled based on data from remote sensing imagery from the Advanced Land Observing Satellite (ALOS) from 2008 to 2011. A classification and regression tree (CART) model was used to predict the potential distribution of the main forest vegetation types in Yunnan Province and estimate the changes in carbon storage and carbon sequestration potential (CSP) in response to increasing temperature. The results show that the current total forest area in Yunnan Province is 1.86 × 107ha and that forest covers 48.63% of the area. As the temperature increases, the area of forest distribution first increases and then decreases, and it decreases by 11% when the temperature increases from 1.5 to 2 °C. The mean carbon density of the seven types of forest vegetation in Yunnan Province is 84.69 Mg/ha. The total carbon storage of the current forest vegetation in Yunnan Province is 871.14 TgC, and the CSP is 1100.61 TgC. The largest CSP (1114.82 TgC) occurs when the temperature increases by 0.5 °C. Incremental warming of 2 °C will sharply decrease the forest CSP, especially in those regions with mature coniferous forest vegetation. Semi-humid evergreen broad-leaved forests were highly sensitive to temperature changes, and the CSP of these forests will decrease with increasing temperature. Warm-hot coniferous forests have the greatest CSP in all simulation scenarios except the scenario of a 2 °C temperature increase. These results indicate that temperature increases can influence the CSP in Yunnan Province, and the largest impact emerged in the 2 °C increase scenario. © 2018 by the author.","89","Forestry","Carbon capture - Climate change - Digital storage - Remote sensing - Satellite imagery - Temperature - Vegetation","Carbon sequestration potential - Carbon storage - CART models - Forest vegetation - Temperature increase","443.1 Atmospheric Properties - 454 Environmental Engineering - 641.1 Thermodynamics - 655.2 Satellites - 722.1 Data Storage, Equipment and Techniques","Number: 31770528, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: U1602234, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","We gratefully acknowledge the students and staffof the Institute of Ecology and Geobotany of Yunnan University for assisting with the fieldwork and interpretation of vegetation. In addition, this study was supported by National Natural Science Foundation of China (U1602234), the National Key Research and Development Program of China (2016YFC0502105), the National Natural Science Foundation of China (31770528), the CAS 135 project (2017XTBG-F01, 2017XTBG-T01), and the Chinese Academy of Sciences President's International Fellowship Initiative (2017 VCA0036).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Strategy-Proof Mechanism for Provisioning and Allocation Virtual Machines in Heterogeneous Clouds","20180204628928","","Liu, Xi (1); Li, Weidong (2); Zhang, Xuejie (1) ","(1) School of Information Science and Engineering, Yunnan University, Kunming, Yunnan; 650221, China (2) Department of Mathematics, Yunnan University, Kunming, Yunnan; 650221, China ","Li, Weidong(weidong@ynu.edu.cn) ","IEEE Transactions on Parallel and Distributed Systems","IEEE Trans Parallel Distrib Syst","","IEEE Computer Society","29","7","1650-1663","July 1, 2018","","","","2018","English","10459219","15582183","","10.1109/TPDS.2017.2785815","","","","","","ITDSEO","Journal article (JA)","In this paper, we address the problem of heterogeneous physical machines resource management (HPMRM); that is, providing and allocating multiple virtual machine (VM) instances from heterogeneous physical machines to maximize social welfare. Although existing allocation mechanisms allocate VMs to users through the single-mapping mechanism, such allocations cannot guarantee maximum social welfare or efficient utilization of multiple types of resources for cloud providers. Thus, we consider the multi-mapping mechanism, which permits mapping VMs allocated to one user to physical machines for VM provisioning and allocation. This can result in improved social welfare and lead to less resource fragmentation. We formulate the HPMRM problem in an auction-based setting, and design optimal and approximate mechanisms to solve it. In addition, we show that our proposed mechanism is strategy-proof; that is, our proposed mechanism drives the system into an equilibrium where no users have incentives to maximize their own profit by untruthfully reporting their requests. Furthermore, we analyze the approximation ratio of our proposed approximation algorithm. We also perform experiments to investigate the performance of our proposed approximation mechanism compared to the optimal mechanism. Experimental results demonstrate that our proposed approximation mechanism can obtain near optimal solutions and significantly improve allocation efficiency, while generating greater social welfare. © 1990-2012 IEEE.","31","Virtual machine","Approximation algorithms - Cloud computing - Costs - Economics - Mapping - Natural resources management - Network security - Resource allocation - Scheduling - Virtual addresses","Algorithm design and analysis - Dynamic scheduling - Resource management - Strategy proofs - Virtual machine provisioning - Virtual machining",,"Number: 11301466, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11361048, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61662088, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61762091, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The work was supported in part by the National Natural Science Foundation of China [Nos. 61662088, 61762091, 11301466, 11361048], the Natural Science Foundation of Yunnan Province of China [No. 2014FB114].",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Quantitative inversion model of total potassium in desert soils based on multiple regression combined with fractional differential","20184606056622","","Tian, An-Hong (1, 2); Zhao, Jun-San (1); Xiong, Hei-Gang (3); Fu, Cheng-Biao (1, 2) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (2) College of Information Engineering, Qujing Normal University, Qujing, Yunnan; 655011, China (3) College of Applied Arts and Science, Beijing Union University, Beijing; 100083, China ","Zhao, Jun-San(jszht@kmust.edu.cn) ","Sensors and Materials","Sens. Mater.","","M Y U Scientific Publishing Division","30","11","2479-2488","2018","","","","2018","English","09144935","","","10.18494/SAM.2018.2048","","","","","","","Journal article (JA)","Potassium is an important nutrient element for plant growth. The traditional integer-order differential transformation methods at first order and second order tend to reduce the accuracy of the total potassium content quantitative inversion model, and there are few reports on the use of the fractional differential algorithm for the prediction of soil total potassium content. In this paper, the use of the fractional differential algorithm to predict total potassium content is introduced. Field soils collected in the Xinjiang Uygur Autonomous Region from May 9 to 23, 2017, were used as the data sources. Firstly, we calculated the correlation between spectral reflectance and total potassium content for the original spectrum (R) and the root mean square spectrum ( R) under different fractional differential orders. Secondly, bands whose maximum absolute correlation coefficient was greater than 0.5 were selected as sensitive bands. R had seven bands: 562, 596, 1177, 2155, 2156, 2364, and 239 nm. R had six bands: 596, 1177, 2155, 2156, 2364, and 2398 nm. Finally, a multiple regression analysis method was employed to quantitatively estimate the optimal model. The ratio of performance to deviation (RPD) evaluation index of a good model should be greater than or equal to 1.4. The simulation results showed that the optimal models for R and R were the 0.8-order differential and the 0.6-order differential, respectively. The corresponding RPD values were 1.700182 and 1.783319, respectively. We found that the prediction model of R was more accurate. © 2018 MYU Scientific Publishing Division. All right reserved.","12","Potassium","Forecasting - Regression analysis - Soils","Desert soils - Fractional differential - Inversion models - Multiple regressions - Total potassium content","483.1 Soils and Soil Mechanics - 549.1 Alkali Metals - 922.2 Mathematical Statistics","Number: 41761081, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41671198, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2017FH001-067, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: 2016ZDX127, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: 2017FH001-117, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; ","This work was supported by the financial support of the National Natural Science Foundation of China (41761081 and 41671198) and Yunnan Province Science and Technology Department and Education Department Project (2017FH001-067, 2017FH001-117, and 2016ZDX127), China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Message from Conference Chairs","20184406029384","","Yao, Shaowen (1); Jin, Zhi (2); Cui, Xiaohui (3) ","(1) Yunnan University, China (2) Peking University, China (3) Wuhan University, China ","","Proceedings - 2018 IEEE/ACIS 16th International Conference on Software Engineering Research, Management and Application, SERA 2018","Proc. - IEEE/ACIS Int. Conf. Softw. Eng. Res., Manag. Appl., SERA","IEEE Computer Society; International Association for Computer and Information Sciences (ACIS)","Institute of Electrical and Electronics Engineers Inc.","","","viii","September 28, 2018","Proceedings - 2018 IEEE/ACIS 16th International Conference on Software Engineering Research, Management and Application, SERA 2018","","1 of 1","2018","English","","","9781538658864","10.1109/SERA.2018.8477211","8477211","16th IEEE/ACIS International Conference on Software Engineering Research, Management and Application, SERA 2018","June 13, 2018 - June 15, 2018","Kunming, China","140242","","Journal article (JA)","",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
