Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Characterization of wood surface elemental compositions after thermo-vacuum treatment and superheated-steam heat treatment","20180604756558","","Yang, Yan (1); Dong, Chunlei (1); Luo, Bei (1); Chen, Taian (1); Lu, Jianxiong (2) ","(1) Yunnan Provincial Key Laboratory of Wood Adhesives and Glued Products, Southwest Forestry University, Kunming, Yunnan Province; 650224, China (2) State Key Laboratory of Tree Genetics and Breeding, Research Institute of Wood Industry, Chinese Academy of Forestry, Beijing; 100091, China ","Lu, Jianxiong(jianxiong@caf.ac.cn) ","BioResources","BioResour.","","North Carolina State University","13","1","1895-1908","February 1, 2018","","","2018","English","","19302126","","10.15376/biores.13.1.1895-1908","","","","","","","Journal article (JA)","This research investigates the mechanisms behind color changes, hygroscopicity reduction, and mechanical strength loss in pine wood (Pinus kesiya var. langbianensis) and birch wood (Betula alnoides). Elemental composition changes to the surfaces of pine wood and birch wood that had undergone high-temperature heat treatment were investigated with X-ray photoelectron spectroscopy. The O/C (oxygen/carbon) ratios of the wood surfaces were reduced after the thermo-vacuum and superheated steam heat treatments, which indicated a decrease in the amount of oxygen-containing functional groups. The content of C1(carbon atoms bonded to carbon or hydrogen atoms) increased, and that of C2(carbon atoms bonded to one oxygen atom) decreased after the thermo-vacuum and superheated steam heat treatments. The results also indicated that the relative lignin content increased and the hydroxyl group (-OH) content in the cellulose and hemicellulose decreased. The ratio of O2(oxygen atoms bonded to carbon atoms with a double bond) to O1(oxygen atoms bonded to carbon atoms with a single bond) increased remarkably. Thus, the content of carbonyl groups in the lignin increased.","47","Heat treatment","Atoms - Carbon - Cellulose - Chemical bonds - Lignin - Oxygen - Photodegradation - Photoelectrons - Photons - Pyrolysis - Steam - Wood - X ray photoelectron spectroscopy","Cellulose and hemicellulose - Chemical compositions - Elemental compositions - High temperature heat treatment - Mechanical strength loss - Oxygen-containing functional groups - Superheated steam - Vacuum treatment","537.1 Heat Treatment Processes - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 811.2 Wood and Wood Products - 811.3 Cellulose, Lignin and Derivatives - 931.3 Atomic and Molecular Physics","Number: 2017, Acronym: SWFU, Sponsor: Southwest Forestry University; Number: 2015Y291, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: 2015Y293, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: 2017YFD0600202, Acronym: -, Sponsor: -; Number: 31360157, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by National key technology research and development project (No. 2017YFD0600202) , Scientific Research Start-up Project of Southwest Forestry University (No. 2017), Yunnan Provincial Education Department Projects (No. 2015Y291, 2015Y293) and National Natural Science Foundation of China (No. 31360157). The authors would like to express appreciation of Prof. Jiangmei Wu of Beijing Forestry University for the careful guidance. Chunlei Dong and Yan Yang contributed equally to this work.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Three-dimensional discrete element method simulation of core disking","20181504998101","","Wu, Shunchuan (1, 2, 3); Wu, Haoyan (1, 2); Kemeny, John (4) ","(1) University of Science and Technology Beijing, Beijing; 100083, China (2) Key Laboratory of Ministry for Efficient Mining and Safety of Metal Mines, University of Science and Technology Beijing, Beijing; 100083, China (3) Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (4) University of Arizona, Tucson; AZ; 85721, United States ","Wu, Haoyan(wuhaoyan@live.cn) ","Acta Geophysica","Acta Geophys.","","Springer International Publishing","66","3","267-282","June 1, 2018","","","2018","English","18956572","18957455","","10.1007/s11600-018-0136-z","","","","","","","Journal article (JA)","The phenomenon of core disking is commonly seen in deep drilling of highly stressed regions in the Earth’s crust. Given its close relationship with the in situ stress state, the presence and features of core disking can be used to interpret the stresses when traditional in situ stress measuring techniques are not available. The core disking process was simulated in this paper using the three-dimensional discrete element method software PFC3D(particle flow code). In particular, PFC3D is used to examine the evolution of fracture initiation, propagation and coalescence associated with core disking under various stress states. In this paper, four unresolved problems concerning core disking are investigated with a series of numerical simulations. These simulations also provide some verification of existing results by other researchers: (1) Core disking occurs when the maximum principal stress is about 6.5 times the tensile strength. (2) For most stress situations, core disking occurs from the outer surface, except for the thrust faulting stress regime, where the fractures were found to initiate from the inner part. (3) The anisotropy of the two horizontal principal stresses has an effect on the core disking morphology. (4) The thickness of core disk has a positive relationship with radial stress and a negative relationship with axial stresses. © 2018, Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences.","41","Numerical methods","Computer simulation - Finite difference method - Fracture - Numerical models - Stresses - Tensile strength","Axial stress - Core disking - Fracture initiation - Maximum principal stress - Particle flow code - Principal stress - Radial stress - Three-dimensional Discrete Element Methods",,"Number: 51774020, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: Z151100000315014, Acronym: -, Sponsor: Beijing Outstanding Talent Training Foundation; ","Acknowledgements The support received from Key Program of Natural Science Foundation of China (51774020) and Beijing Training Project for the Leading Talent in S & T (Z151100000315014) is gratefully acknowledged.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence and discrete approximation for optimization problems governed by fractional differential equations","20175004534163","","Bai, Yunru (1); Baleanu, Dumitru (2, 3); Wu, Guo-Cheng (4) ","(1) School of Mathematics and Statistics, Qujing Normal University, Qujing; Yunnan; 655011, China (2) Department of Mathematics, Cankaya University, Balgat, Ankara; 06530, Turkey (3) Institute of Space Sciences, Magurele, Bucharest, Romania (4) School of Applied Mathematics, Nanjing University of Finance and Economics, Nanjing; Jiangsu; 210023, China ","Baleanu, Dumitru(dumitru@cankaya.edu.tr) ","Communications in Nonlinear Science and Numerical Simulation","Comm. Nonlinear Sci. Numer. Simul.","","Elsevier B.V.","59","","338-348","June 2018","","","2018","English","10075704","","","10.1016/j.cnsns.2017.11.009","","","","","","","Journal article (JA)","We investigate a class of generalized differential optimization problems driven by the Caputo derivative. Existence of weak Carathe´odory solution is proved by using Weierstrass existence theorem, fixed point theorem and Filippov implicit function lemma etc. Then a numerical approximation algorithm is introduced, and a convergence theorem is established. Finally, a nonlinear programming problem constrained by the fractional differential equation is illustrated and the results verify the validity of the algorithm. © 2017 Elsevier B.V.","40","Approximation algorithms","Differential equations - Fixed point arithmetic - Nonlinear equations - Nonlinear programming","Convergence theorem - Discrete approximation - Existence theorem - Fixed point theorems - Fractional differential equations - Nonlinear programming problem - Numerical approximations - Optimization problems","921 Mathematics","Number: 11301257, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Project supported by the National Natural Science Foundation of China (Grant No. 11301257 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis and test of the boom tension in a tied arch bridge","20184706115496","","Shi, Jing Xian (1); Ding, Qing Hua (1) ","(1) Oxbridge College, Kunming University of Science and Technology, Kun-Ming Yunnan; 650106, China ","Shi, Jing Xian(sara_shivip@163.com) ","MATEC Web of Conferences","MATEC Web Conf.","","EDP Sciences","175","","","July 2, 2018","2018 International Forum on Construction, Aviation and Environmental Engineering-Internet of Things, IFCAE-IOT 2018","1 of 1","2018","English","","2261236X","","10.1051/matecconf/201817502007","02007","2018 International Forum on Construction, Aviation and Environmental Engineering-Internet of Things, IFCAE-IOT 2018","May 11, 2018 - May 13, 2018","Guangzhou, China","141840","","Conference article (CA)","The boom tension of the tied arch bridge has a great influence on the state of the bridge, which is the key monitoring project in the construction stage. In this paper, a concrete-filled steel tube arch bridge with a span 60m is taken as an example. Based on the theoretical analysis of boom tension of tied arch bridge and the test of construction process, the following results are drawn: in the construction stage, the suspender tension is reasonably controlled to achieve the expected goal of the construction period. The cable force in the finished stage basically coincides with the design expectation. When the bridge is completed, the error precision control of boom tension is better, which ensures the safety of the bridge in the operation stage. © The Authors, published by EDP Sciences 2018.","7","Arch bridges","Arches - Construction - Environmental engineering - Internet of things - Tubular steel structures","Concrete-filled steel tube arch bridge - Construction period - Construction process - Construction stages - Error precision - Operation stages - Suspender tension - Tied arch bridges","401.1 Bridges - 405 Construction Equipment and Methods; Surveying - 408.2 Structural Members and Shapes - 723 Computer Software, Data Handling and Applications",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Relative height measurement based on collaborative information fusion of acceleration and barometric pressure","20182605368154","","Zhou, Nianrong (1, 2); Xu, Guolei (2, 3); Wei, Jie (2); Tang, Lijun (2) ","(1) School of Electrical Engineering, Chongqing University, Chongqing, China (2) Yunnan Power Grid Electric Power Research Institute of LLC, Kunming, China (3) Faculty of Mechanical and Electrical Engineering, Kunming University of Science and Technology, Kunming, China ","Zhou, Nianrong(363526471@qq.com) ","Ferroelectrics","Ferroelectrics","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","530","1","73-81","July 4, 2018","","","2018","English","00150193","15635112","","10.1080/00150193.2018.1453121","","","","","","FEROA8","Journal article (JA)","In view of the present defects of relative height measurement method, such as not easy to carry, high cost, large error and easily affected by obstacles, a relative height measurement method of relative operators based on the collaborative information fusion of accelerometer and barometer is proposed. The accelerometer and barometer installed on the workers head horizontally, with the judge of the changes amplitude value changes of three axis acceleration vector obtained by accelerometer, if the change is greater than the set threshold, judge the relative height of the operator is changed, and the altitude collected by barometer is effective, otherwise is invalid. Select the safe height of outdoor electric tower as the experimental platform, the height of 621 cm the measured by laser sensor as the reference height, the result based on the collaborative information fusion of accelerometer and barometer is 595.8 cm, and compared with the laser measuring height, the error is 4.058%, it can reach the high precision demands of many complex outdoor environment. © 2018, © 2018 Taylor & Francis Group, LLC.","16","Collaborative filtering","Acceleration - Accelerometers - Atmospheric pressure - Barometers - Information fusion","Acceleration vectors - Barometric pressure - barometric value - Collaborative information - Experimental platform - Outdoor environment - relative altitude - threshold","443.1 Atmospheric Properties - 443.2 Meteorological Instrumentation - 903.1 Information Sources and Analysis - 943.1 Mechanical Instruments","Number: 2014KF9, Acronym: -, Sponsor: -; ","This work was financially supported by Electric Power Research Foundation funded project (2014KF9).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-Objective Detection of Traffic Scenes Based on Improved SSD","20190906560732","","Hua, Xia (1); Wang, Xinqing (1); Wang, Dong (1, 2); Ma, Zhaoye (1); Shao, Faming (1) ","(1) College of Field Engineering, PLA Army Engineering University, Nanjing; Jiangsu; 210007, China (2) Second Institute of Engineering Research and Design, Southern Theatre Command, Kunming; Yunnan; 650222, China ","Hua, Xia(1614118084@qq.com) ","Guangxue Xuebao/Acta Optica Sinica","Guangxue Xuebao","","Chinese Optical Society","38","12","","December 10, 2018","","","2018","Chinese","02532239","","","10.3788/AOS201838.1215003","1215003","","","","","GUXUDC","Journal article (JA)","Aiming at the problem that the accuracy and real-time of multi-target detection in complex and large scenes are difficult to balance in the existing target detection algorithms, we imitate the human visual mechanism inspired by the convolution kernel shape of the deep neural network. The target detection framework-the single shot multi-box detection (SSD) based on deep learning is improved, and a multi-target detection framework adaptive perceive SSD is proposed, which is specially used for the multi-target detection in complex and large traffic scenes. A feature convolution kernel library composed of multi-form Gabor and color Gabor is designed. The optimal feature extraction convolution kernel group is trained and screened to replace the low-level convolution kernel group of the original network, and effectively improves the detection accuracy. A single image detection framework is combined with a convolution long-short-term memory network, and the temporal association of network frame-level information is realized by extracting the characteristic mapping between propagation frames with a bottleneck-long-term and short-term memory layer. And the calculation cost is reduced, and the tracking and identification of targets affected by the strong interference in the video are realized. An adaptive threshold strategy is added to reduce the rate of missing and false alarms. The experimental results show that compared with other target detection frameworks based on deep learning, the average accuracy of various target recognition is increased by 9%~16%, the average accuracy is increased by 14%~21%, the multi-target detection rate is increased by 21%~36%, and the detection frame rate reaches 32 frame•s-1, which achieves a balance between the accuracy and real-time performance of the algorithm and achieves better detection and recognition results. © 2018, Chinese Lasers Press. All right reserved.","23","Feature extraction","Brain - Complex networks - Computer vision - Convolution - Deep learning - Deep neural networks - Recurrent neural networks","Biological visions - Convolution kernel - Convolution neural network - Detection framework - Multi-target detection - Real time performance - Target detection algorithm - Temporal association","461.1 Biomedical Engineering - 716.1 Information Theory and Signal Processing - 722 Computer Systems and Equipment - 723.5 Computer Applications",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Evaluation of TT-based local PWV estimation for different propagation velocities","20191706811475","","Deng, Li (1); Zhang, Yufeng (1); Mo, Hong (1) ","(1) Electronic Engineering Department, Information School, Yunnan University, Kunming, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","","Association for Computing Machinery","","","42-46","November 12, 2018","ICBBE 2018 - 2018 5th International Conference on Biomedical and Bioinformatics Engineering","1 of 1","2018","English","","","9781450365611","10.1145/3301879.3301894","","5th International Conference on Biomedical and Bioinformatics Engineering, ICBBE 2018","November 12, 2018 - November 14, 2018","Okinawa, Japan","147084","","Conference article (CA)","Local pulse wave velocity (PWV) for a common carotid artery (CCA) is usually estimated using a transmit time (TT) method based on time fiduciary points at the feet of the pulse waves. However, the shape of pulse wave is affected because the propagation velocity (PV) and amplitude of the reflected wave changes with vascular wall elasticity. We assess the performance of the TT-based local PWV estimation for different PVs with four timing methods, i.e. the maximum value of the second derivative (M2D), the intersecting tangent (IT), the 20% threshold (TH20) and the maximum value of the first derivative (M1D) methods, for time fiduciary point detection. The wall distension waveforms propagating along a segment of CCA are modelled by a synthesization of the estimated incident and reflected waves for different PVs. The performance of the estimation based on the four methods is evaluated by measuring relative errors (REs). The results show that for the PVs below 6 m/s, the M2D, IT and TH20 methods exhibit good precision with REs less than 11%; for the PVs over 6 m/s, the M2D method is the most accurate than other three methods for the PWV estimation. The M2D method is the most suitable for the PWV estimation under a wide range of PV conditions. It may provide us with useful suggestions for improving the PWV estimation in clinical measurements. © 2018 Association for Computing Machinery.","10","Acoustic wave velocity","Bioinformatics - Wave propagation","Carotid artery - Clinical measurements - Common carotid artery - Incident and reflected waves - Propagation velocities - Pulse wave velocity - Reflected - Second derivatives","461.8.2 Bioinformatics - 751.1 Acoustic Waves",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geographic identification of Boletus mushrooms by data fusion of FT-IR and UV spectroscopies combined with multivariate statistical analysis","20181104910079","","Yao, Sen (1, 2); Li, Tao (3); Li, JieQing (1); Liu, HongGao (1); Wang, YuanZhong (2) ","(1) College of Agronomy and Biotechnology, Yunnan Agricultural University, Kunming; 650201, China (2) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, Kunming; 650200, China (3) College of Resources and Environment, Yuxi Normal University, Yuxi; 653100, China ","Liu, HongGao(honggaoliu@126.com) ","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","Spectrochim. Acta Part A Mol. Biomol. Spectrosc.","","Elsevier B.V.","198","","257-263","June 5, 2018","","","2018","English","13861425","","","10.1016/j.saa.2018.03.018","","","","","","SAMCAS","Journal article (JA)","Boletus griseus and Boletus edulis are two well-known wild-grown edible mushrooms which have high nutrition, delicious flavor and high economic value distributing in Yunnan Province. In this study, a rapid method using Fourier transform infrared (FT-IR) and ultraviolet (UV) spectroscopies coupled with data fusion was established for the discrimination of Boletus mushrooms from seven different geographical origins with pattern recognition method. Initially, the spectra of 332 mushroom samples obtained from the two spectroscopic techniques were analyzed individually and then the classification performance based on data fusion strategy was investigated. Meanwhile, the latent variables (LVs) of FT-IR and UV spectra were extracted by partial least square discriminant analysis (PLS-DA) and two datasets were concatenated into a new matrix for data fusion. Then, the fusion matrix was further analyzed by support vector machine (SVM). Compared with single spectroscopic technique, data fusion strategy can improve the classification performance effectively. In particular, the accuracy of correct classification of SVM model in training and test sets were 99.10% and 100.00%, respectively. The results demonstrated that data fusion of FT-IR and UV spectra can provide higher synergic effect for the discrimination of different geographical origins of Boletus mushrooms, which may be benefit for further authentication and quality assessment of edible mushrooms. © 2018","53","Matrix algebra","Data fusion - Discriminant analysis - Fungi - Multivariant analysis - Pattern recognition - Support vector machines - Ultraviolet spectroscopy","Boletus mushrooms - Classification performance - Discrimination - Fourier transform infrared - Multivariate statistical analysis - Partial least square (PLS) - Pattern recognition method - Spectroscopic technique","723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 921.1 Algebra - 922 Statistical Methods","Number: 2016ZZX106, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 31660591, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21667031, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research was supported by National Natural Science Foundation of China ( 31660591 , 21667031 ), Science Foundation of the Yunnan Province Department of Education ( 2016ZZX106 ) and University Key Laboratory of Development and Utilization of Edible Mushroom Resources in Yunnan Province.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Bioactive polycyclic polyprenylated acylphloroglucinols from: Hypericum perforatum","20184606069158","","Guo, Yi (1); Zhang, Na (1); Sun, Weiguang (1); Duan, Xueyan (1); Zhang, Qing (1); Zhou, Qun (1); Chen, Chunmei (1); Zhu, Hucheng (1); Luo, Zengwei (1); Liu, Junjun (1); Li, Xiao-Nian (2); Xue, Yongbo (1); Zhang, Yonghui (1) ","(1) Hubei Key Laboratory of Natural Medicinal Chemistry and Resource Evaluation, School of Pharmacy, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei Province; 430030, China (2) State Key Laboratory of Phytochemistry and Plant Resources in West China, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan Province; 650204, China ","Xue, Yongbo(yongboxue@mail.hust.edu.cn) ","Organic and Biomolecular Chemistry","Org. Biomol. Chem.","","Royal Society of Chemistry","16","43","8130-8143","2018","","","2018","English","14770520","","","10.1039/c8ob02067a","","","","","","OBCRAK","Journal article (JA)","Fifteen new polycyclic polyprenylated acylphloroglucinols (PPAPs), hyperforatones A-O (1-15), along with 3 structurally related analogues (16-18), were isolated from the stems and leaves of Hypericum perforatum. Their structures and absolute configurations were established by a combination of NMR spectroscopic analyses, experimental and calculated electronic circular dichroism (ECD), modified Mosher's methods, Rh2(OCOCF3)4- and [Mo2(OAc)4]-induced ECD, X-ray crystallography, and the assistance of quantum chemical predictions (QCP) of 13C NMR chemical shifts. Compound 5 was found to be the first PPAP decorated by a rare 2,2,4,4,5-(pentamethyltetrahydrofuran-3-yl)methanol moiety and an oxepane ring. Furthermore, the isolates were screened for their acetylcholinesterase (AChE) and β-site amyloid precursor protein cleaving enzyme 1 (BACE1) inhibitory activities. Compounds 5, 10, 11, and 15 showed desirable AChE inhibitory activities (IC50 6.9-9.2 μM) and simultaneously inhibited BACE1 (at a concentration of 5 μM) with inhibition rates of 50.3%, 34.3%, 47.2%, and 34.6%, respectively. Interestingly, compound 5 showed the most balanced inhibitory activities against both AChE and BACE1 of all the tested compounds, which means that 5 could serve as the first valuable dual-targeted PPAP for the treatment of Alzheimer's disease. Preliminary molecular docking studies of 5 with BACE1 and AChE were also performed. © 2018 The Royal Society of Chemistry.","57","X ray crystallography","Dichroism - Neurodegenerative diseases - Quantum chemistry - Spectroscopic analysis","Absolute configuration - Acetylcholinesterase - Alzheimer's disease - Amyloid precursor proteins - Electronic circular dichroism - Hypericum perforatum - Inhibitory activity - NMR spectroscopic analysis","461.6 Medicine and Pharmacology - 741.1 Light/Optics - 801 Chemistry - 801.4 Physical Chemistry - 933.1.1 Crystal Lattice","Number: 21502057, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31770379, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 81641129, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: T2016088, Acronym: MOE, Sponsor: Ministry of Education of the People's Republic of China; ","This work was financially supported by the Program for Changjiang Scholars of the Ministry of Education of the People's Republic of China (No. T2016088), the National Natural Science Foundation for Distinguished Young Scholars (No. 81725021), the National Natural Science Foundation of China (No. 31770379, 81641129, and 21502057), Innovative Research Groups of the National Natural Science Foundation of China (No. 81721005), the Fundamental Research Funds for the Central Universities of HUST (No. 5003514014, 2016YXMS149, and 2018JYCXJJ006), and Graduates' Innovation Fund of HUST (No. 5003514018). We thank the Analytical and Testing Center at HUST for assistance with the ECD, UV and IR analyses.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Extraction of gold and silver in the selective chlorination roasting process of cyanidation tailing","20174904502888","","Li, Haoyu (1, 2); Zhang, Libo (1, 2); Koppala, Sivasankar (1, 2); Ma, Aiyuan (1, 2); Peng, Jinhui (1, 2); Li, Shiwei (1, 2); Yin, Shaohua (1, 2) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; Yunnan, China (2) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; Yunnan, China ","Li, Shiwei(lswei11@163.com) ","Separation Science and Technology (Philadelphia)","Sep. Sci. Technol.","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","53","3","458-466","February 11, 2018","","","2018","English","01496395","15205754","","10.1080/01496395.2017.1388258","","","","","","SSTEDS","Journal article (JA)","The selective chlorination of cyanidation tailing (CT) for the extraction of gold and silver has been investigated. The reaction operated at different conditions and their effect on the extraction of Au and Ag was studied. The mineral samples were characterized by fire assay, X-ray diffraction (XRD), X-ray fluorescence (XRF) and scanning electronic microscopy (SEM). The best recovery values were 95.32% of Au and 85.32% of Ag at 1373 K and 1.5 h with 5% KCl. The results show that gold chlorination reaction was controlled by the interfacial chemical reaction, and the apparent activation energy was 40.05 kJ/mol. Silver has an activation energy of about 8.97 kJ/mol, and silver removal is performed by diffusion control. © 2017 Taylor & Francis.","20","Activation energy","Calcination - Chlorination - Computerized tomography - Dynamic models - Extraction - Gold - Metal recovery - Potassium compounds - Precious metals - Recovery - Silver - Tailings - X ray diffraction","Apparent activation energy - Chlorination reactions - Cyanidation tailings - Extraction of golds - Interfacial chemical reactions - roasting - Scanning electronic microscopy (SEM) - Selective chlorination","452.3 Industrial Wastes - 547.1 Precious Metals - 723.5 Computer Applications - 802.2 Chemical Reactions - 802.3 Chemical Operations - 921 Mathematics","Number: -, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: 51604135, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (51604135). Sivasankar Koppala specially thanks Kunming University of Science and Technology for Post-Doctoral Fellowship.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
