Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Peak phosphorus, demand trends and implications for the sustainable management of phosphorus in China","20191506746933","","Li, Binlin (1); Bicknell, K.B. (2); Renwick, Alan (2) ","(1) College of Economics and Management, Yunnan Agricultural University, China (2) Department of Global Value Chains and Trade, Lincoln University, New Zealand ","Li, Binlin(2398660134@qq.com) ","Resources, Conservation and Recycling","Resour. Conserv. Recycl.","Elsevier B.V.","146","","316-328","July 2019","","","2019","English","09213449","18790658","","10.1016/j.resconrec.2019.03.033","","","","","","RCREEW","Journal article (JA)","An increasing number of studies have suggested that global phosphate rock (PR) extraction will reach a peak in the coming decades, with subsequent implications for food security. This paper focuses on peak phosphorus in China, which serves as an 'early warning indicator' for phosphorus security. The results indicate that China's production of PR is likely to peak sometime between 2035 and 2045. This result was derived using Chinese data, which differs from the U.S. Geological Survey (USGS) data, upon which estimates are more commonly based. Drivers of Chinese phosphorus consumption were also identified, and trends in phosphate use from six developed countries were analysed to form an overall assessment of the current demand for phosphorus in China. This analysis indicates that the demand for Chinese PR has reached a plateau. Combining the forecasts of both extraction and demand, the study explores potential challenges for sustainable phosphorus management. The study concludes with a range of policies that may help ensure a sustainable supply of Chinese PR. © 2019 Elsevier B.V.","109","Phosphorus","Extraction - Food supply - Sustainable development","Demand - Developed countries - Early warning indicators - Phosphate rocks - Phosphorus management - Resources - Sustainable management - U.s. geological surveys","802.3 Chemical Operations - 804 Chemical Products Generally - 822.3 Food Products","Number: 2016ZR01, Acronym: -, Sponsor: National Natural Science Foundation of China; ","Many thanks to three anonymous reviewers for helpful suggestions. This study was conducted with the support of two projects. Project 71763034 supported by National Natural Science Foundation of China , Project 2016ZR01 supported by Yunnan Agricultural University Natural Science Foundation for Young Scientists .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"DFT insights into the electronic properties and adsorption mechanism of HS− on smithsonite (101) surface","20192507067406","","Zhao, Wenjuan (1); Liu, Dianwen (1); Feng, Qicheng (1); Wen, Shuming (1); Chang, Weihua (2) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) Huize Mining Subsidiary of Yunnan Chihong Zinc & Germanium Co., Ltd., China ","Liu, Dianwen(1549351897@qq.com) ","Minerals Engineering","Minerals Eng","Elsevier Ltd","141","","","September 2019","","","2019","English","08926875","","","10.1016/j.mineng.2019.105846","105846","","","","","MENGEB","Journal article (JA)","Sulfidization flotation is commonly used to recover zinc oxide minerals from ores, and sulfidization is a critical stage. However, few studies on the microscopic mechanism of smithsonite sulfidization have been performed. In this work, density functional theory calculations are conducted to investigate the electronic properties and adsorption mechanism of sulfide ion species on smithsonite (1 0 1) surface. Results indicate that the Zn[sbnd]O bond breaks when smithsonite crystal is crushed and ground, and that zinc atoms are the dominant reactive sites for the subsequent adsorption of flotation reagents onto smithsonite surface. HS− ions can spontaneously react with Zn atoms at the top, bottom, and bridge sites of the mineral-surface layer, thereby forming a newly stable structure of Zn[sbnd]S on smithsonite (1 0 1) surface. The adsorption of HS− ion on this smithsonite surface greatly influences the structural and electronic properties of smithsonite (1 0 1) surface, changing the structure of Zn[sbnd]O and C[sbnd]O at the surface layer of smithsonite. We observe an obvious electron transfer between Zn and S atoms after HS− ion adsorption, as well as a significant difference in charge transfer when HS− ion adsorbs at different Zn sites on mineral surface. Besides, it proves that a slight oxidation occurs in the sulfidization process of smithsonite at the atomic level. © 2019 Elsevier Ltd","45","Electronic properties","Adsorption - Atoms - Charge transfer - Chemical reactions - Crystal atomic structure - Density functional theory - Flotation - Hydraulic structures - II-VI semiconductors - Ions - Ore treatment - Ores - Oxide minerals - Rare earths - Sulfur compounds - Zinc oxide","Adsorption mechanism - Electron transfer - Flotation reagents - Microscopic mechanisms - Smithsonite - Stable structures - Structural and electronic properties - Surface adsorption","482.2 Minerals - 533.1 Ore Treatment - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804.2 Inorganic Compounds - 931.3 Atomic and Molecular Physics","Number: 2018T111000, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 2018FD035, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 51804144, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors would like to acknowledge the Projects funded by National Natural Science Foundation of China (Grant No. 51804144 ), China Postdoctoral Science Foundation (Grant No. 2018T111000 ), and Applied Basic Research Foundation of Yunnan Province (Nos. 2018FD035 and 2016FD121 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Robust and flexible method for calibrating the focal length of on-orbit space zoom camera","20190806543466","","Zhang, Gaopeng (1, 2); Zhao, Hong (1); Yang, Hongtao (2); Hong, Yang (3); Ma, Yueyang (1); Gu, Feifei (4) ","(1) State Key Laboratory for Manufacturing Systems Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi; 710049, China (2) Xi’an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, Shaanxi; 710119, China (3) Troops 95703 PLA, Qujing, Yunnan; 655601, China (4) Shenzhen Key Laboratory of Virtual Reality and Human Interaction Technology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, Guangdong; 518055, China ","Zhao, Hong(zhaohong@mail.xjtu.edu.cn) ","Applied Optics","Appl. Opt.","OSA - The Optical Society","58","6","1467-1474","February 20, 2019","","","2019","English","1559128X","21553165","","10.1364/AO.58.001467","","","","","","APOPAI","Journal article (JA)","For the on-orbit space zoom camera, the camera focal length is in a constant process of change; accordingly, compared with calibrating other camera intrinsic parameters, calibrating the focal length has a practical significance for the space zoom camera. With the vanishing points obtained from the solar panel of human-made space satellites, this paper introduces a focal length self-calibration method for the on-orbit space zoom camera. First, the geometrical relationship and infinite homography of vanishing points at various camera positions are used to derive the method. To improve the accuracy and robustness performance of this approach, an optimization method is then proposed to nonlinearly optimize the camera focal length. Finally, simulation and real physical experiments demonstrate that the proposed method is flexible and accurate with good anti-noise interference and real-time capacity. The method proposed in this paper makes more realistic sense for a number of important space tasks. © 2019 Optical Society of America.","17","Cameras","Orbits","Anti-noise interference - Camera focal length - Camera intrinsic parameters - Geometrical relationship - Infinite homography - Optimization method - Physical experiments - Self-calibration method","742.2 Photographic Equipment","Number: 61575157, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (NSFC) (61575157); Fundamental Research Funds for the Central Universities (XJJ2018190). The authors declare that there are no conflicts of interest related to this paper.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Incorporating p-Phenylene as an Electron-Donating Group into Graphitic Carbon Nitride for Efficient Charge Separation","20193407356487","","Gao, Honglin (1); Guo, Yong (2); Yu, Zhiwu (3); Zhao, Meiming (4); Hou, Yang (1); Zhu, Zhongqi (1); Yan, Shicheng (4); Liu, Qingju (1); Zou, Zhigang (4) ","(1) School of Materials Science and Engineering, Yunnan Key Laboratory for Micro/nano Materials & Technology, Yunnan University, 2 Cuihu North Road, Kunming; 650091, China (2) College of Environment, Hohai University, 1 XikangRoad, Nanjing; 210098, China (3) High Magnetic Field Laboratory, Chinese Academy of Sciences, 350 Shushanhu Road, Hefei; 230031, China (4) Eco-Materials and Renewable Energy Research Center (ERERC), College of Engineering and Applied Sciences, Nanjing University, 22 Hankou Road, Nanjing; 210093, China ","Gao, Honglin(hlgao@ynu.educn) ","ChemSusChem","ChemSusChem","Wiley-VCH Verlag","12","18","4285-4292","September 20, 2019","","","2019","English","18645631","1864564X","","10.1002/cssc.201901239","","","","","","CHEMIZ","Journal article (JA)","Low charge-separation transport efficiency resulting from structural defects largely limits photocatalytic hydrogen production over polymeric graphitic carbon nitride (PCN) photocatalyst. Herein, an electron-donating group, namely p-phenylene, is incorporated into PCN by a polycondensation reaction between carbon nitride and p-phenylenediamine (or p-benzoquinone) to repair the structural defects. The p-phenylene-modified PCN exhibits an almost fivefold increase in H2 evolution, a threefold increase in photocurrent density, and higher nonradiative rate (0.285 ns−1). Spectroscopic studies confirm that p-phenylene tends to bridge the heptazine-based oligomers through a polycondensation reaction. Theoretical calculations reveal that anchoring of the heptazine units by p-phenylene induces localization of h+ and e− on the phenylene and melem moieties, respectively, which effectively separates the charge carriers. This strategy provides an opportunity to overcome structural defects in carbon nitride for efficient photocatalytic solar energy conversion. © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","68","Carbon nitride","Aromatic compounds - Carbon - Defects - Energy conversion - Hydrogen production - Nitrides - Photocatalysis - Photochemical reactions - Polycondensation - Solar energy - Spectroscopic analysis","Electron-donating group - Graphitic carbon nitrides - P-phenylene diamines - Photocatalytic hydrogen production - Polycondensation reactions - Spectroscopic studies - Theoretical calculations - Water splitting","522 Gas Fuels - 525.5 Energy Conversion Issues - 657.1 Solar Energy and Phenomena - 741.1 Light/Optics - 801 Chemistry - 804 Chemical Products Generally - 815.2 Polymerization - 951 Materials Science","Number: 21603098, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21633004, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21865039, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51572121, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51872135, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: U1832148, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research was financially supported by the National Natural Science Foundation of China (51572121, 21603098, 21633004, 21865039, 51872135, U1832148) and the Natural Science Fund of Yunnan province (2016FB084).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Infimum of error bounds for linear complementarity problems of Σ-SDD and Σ1-SSD matrices","20193107256100","","Wang, Zhifeng (1); Li, Chaoqian (1); Li, Yaotang (1) ","(1) School of Mathematics and Statistics, Yunnan University, Yunnan; 650091, China ","Li, Chaoqian(lichaoqian@ynu.edu.cn) ","Linear Algebra and Its Applications","Linear Algebra Its Appl","Elsevier Inc.","581","","285-303","15 November 2019","","","2019","English","00243795","","","10.1016/j.laa.2019.07.020","","","","","","LAAPAW","Journal article (JA)","In (2013) [18], García-Esnaola and Peña presented error bounds for the linear complementarity problems of Σ-SDD and Σ1-SSD matrices respectively. These bounds all involve a parameter on an open interval. It is shown in this paper that the infimum of these error bounds as a function of the parameter exists, and then is determined. Numerical examples are given to verify the theoretical results. © 2019 Elsevier Inc.","32","Matrix algebra","Error analysis","Error bound - Linear complementarity problems","921.1 Algebra","Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2018FB001, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 2018FY001, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: CSC201807035006, Acronym: CSC, Sponsor: China Scholarship Council; Number: 11861077, Acronym: UNLV, Sponsor: University of Nevada, Las Vegas; Number: 2018YDJQ021, Acronym: -, Sponsor: -; Number: 11601473, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Chaoqian Li's work is supported partly by National Natural Science Foundation of China (Grant No. 11601473 ); the Applied Basic Research Programs of Science and Technology Department of Yunnan Province ( 2018FB001 ); Program for Excellent Young Talents, Yunnan University ; Outstanding Youth Cultivation Project for Yunnan Province ( 2018YDJQ021 ); Yunnan Provincial Ten Thousands Plan Young Top Talents; CAS 'Light of West China' Program. Chaoqian Li's work (also supported by the China Scholarship Council (Grant number CSC201807035006 )) was finished, while he was a visiting scholar at University of Nevada, Reno during 2019. Yaotang Li's work is supported in part by the National Natural Science Foundation of China ( 11861077 ); Joint Key Project of Yunnan Provincial Science and Technology Department and Yunnan University (no. 2018FY001(-014) ); IRTSTYN .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of pulse period for passive neuron in pulse coupled neural network","20182405309544","","Nie, Rencan (1, 2); Cao, Jinde (3); Zhou, Dongming (2); Qian, Wenhua (1, 2) ","(1) Jiangsu Provincial Key Laboratory of Networked Collective Intelligence, School of Automation, Southeast University, Nanjing; Jiangsu; 210096, China (2) School of Information Science and Engineering, Yunnan University, Yunnan; Kunming; 650091, China (3) School of Mathematics, Southeast University, Nanjing; Jiangsu; 210096, China ","Cao, Jinde(jdcao@seu.edu.cn) ","Mathematics and Computers in Simulation","Math Comput Simul","Elsevier B.V.","155","","277-289","January 2019","","","2019","English","03784754","","","10.1016/j.matcom.2018.05.009","","","","","","MCSIDR","Journal article (JA)","This paper investigates the passive pulse period for the passive neuron in discrete PCNN. We first define a dynamic comparative ratio instead of the logical comparison to describe the linear difference between neural inner state and dynamic threshold. Then a nearly accurate formula about the passive pulse period is given by using the max lower limit of dynamic comparative ratios, and the rationality of which is proved based on the error analysis between estimated and real passive pulse periods. Moreover, we deduce a stable pulse period from estimated pulse period such that the neuron could nonperiodically and periodically pulse in two different time phases, successively. Further, the initial phase, from which the passive neuron can start to pulse periodically, is estimated. Some examples are performed, and the results reach the consensus with theoretical analyses. © 2018 International Association for Mathematics and Computers in Simulation (IMACS)","40","Neural networks","Neurons","A-stable - Accurate formulas - Dynamic threshold - Initial phase - Lower limits - Non-periodically - Pulse coupled neural network - Pulse period",,"Number: 171740, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: BM2017002, Acronym: -, Sponsor: Jiangsu Provincial Key Laboratory for Interventional Medical Devices; Number: 61365001, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work is supported by the Jiangsu Provincial Key Laboratory of Networked Collective Intelligence (Grant No. BM2017002 ), the National Natural Science Foundation of China (nos. 61463052 and 61365001 ) and China Postdoctoral Science Foundation (nos. 171740 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Energy efficient materials for solar water distillation - A review","20193907473708","","Arunkumar, T. (1, 2); Ao, Yali (2, 3); Luo, Zhifang (1, 2); Zhang, Lin (1, 2); Li, Jing (2, 3); Denkenberger, D. (4); Wang, Jiaqiang (1, 2, 3) ","(1) School of Chemical Sciences & Technology, Yunnan University, Kunming; 650091, China (2) National Center for International Research on Photoelectric and Energy Materials, Yunnan Province Engineering Research Center of Photocatalytic Treatment of Industrial Wastewater, Yunnan Provincial Collaborative Innovation Center of Green Chemistry for Lignite Energy, Yunnan University, Kunming; 650091, China (3) School of Energy, Yunnan University, Kunming; 650091, China (4) University of Alaska Fairbanks, Mechanical Engineering and the Alaska Center for Energy and Power, AK, United States ","Denkenberger, D.(ddenkenberger@alaska.edu) ","Renewable and Sustainable Energy Reviews","Renewable Sustainable Energy Rev","Elsevier Ltd","115","","","November 2019","","","2019","English","13640321","18790690","","10.1016/j.rser.2019.109409","109409","","","","","RSERFH","Journal article (JA)","Solar energy is one of the most powerful sources for many sustainable applications. Recently, efficient water distillation has attracted significant attention. The fresh water productivity depends on how efficiently the system harvests the incoming solar energy and converts it into useful heat. An ideal blackbody is capable of perfectly absorbing all wavelengths. The absorbed incident photons are converted into thermal energy. To approach the maximum solar absorption of a blackbody, efficient nanomaterials were developed with enhanced absorption in ultraviolet (UV)-visible to near infrared (NIR). Nanomaterials with broadband absorption, efficient heat transfer, minimum surface energy loss, and energy storage have recently emerged exhibiting accelerated the evaporation rate. These nano-enabled materials direct attention back towards traditional solar stills for future sustainable water evaporation for clean water production. Herein, novelty of the review includes (1) direct solar steam generation of highly efficient broadband materials, (2) energy exchange materials including nanoparticles & nano-fluids, (3) energy storage materials including phase change materials & nano-enabled-phase change materials and (4) other sensible energy storage materials for desalination. One result was that the local surface plasmon resonance (LSPR) effect in plasmonic metals and efficient heat trapping capabilities of carbon materials show high evaporation rates. © 2019 Elsevier Ltd","131","Phase change materials","Desalination - Distillation - Energy dissipation - Energy efficiency - Energy storage - Evaporation - Infrared devices - Nanostructured materials - Plasmonics - Solar energy - Solar heating - Storage (materials) - Water conservation","Broadband absorption - Enhanced absorption - High evaporation rate - Local surface plasmon resonances - Solar stills - Sustainable water - Trapping capability - Water distillation","444 Water Resources - 445.1 Water Treatment Techniques - 525 Energy Management and Conversion - 657.1 Solar Energy and Phenomena - 694.4 Storage - 761 Nanotechnology - 802.3 Chemical Operations","Number: 2016FD009, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 2018BA065, Acronym: -, Sponsor: Yunnan Key Research and Development Program; Number: 2016CYH04, Acronym: -, Sponsor: -; Number: 21603188, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors thank the National Natural Science Foundation of China ( 21573193 and 21603188 ). The authors also thank the Key Projects for Research and Development of Yunnan Province ( 2018BA065 ), Yunnan Applied Basic Research Projects ( 2016FD009 ), and the Industrialization Cultivation Project ( 2016CYH04 ). The authors also thank Yunnan Water Conservancy Science and Technology Plan of the Water Resources Department of Yunnan province. Funding was also provided by the national post-doctoral management and Yunnan University: Postdoctoral approval number 219281. Permission granted by &lsquo;Elsevier&rsquo;, &lsquo;RSC Publications&rsquo;, &lsquo;ACS Publications&rsquo;, &lsquo;Springer&rsquo; and &lsquo;Wiley Publications&rsquo; for reproduction of their figures is greatly appreciated. Permission granted by &lsquo;Elsevier&rsquo;, &lsquo;RSC Publications&rsquo;, &lsquo;ACS Publications&rsquo;, &lsquo;Springer&rsquo; and &lsquo;Wiley Publications&rsquo; for reproduction of their figures is greatly appreciated.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Performance analysis of a secondary heat recovery solar-assisted heat pump drying system for mango","20192907182236","","Wang, Yunfeng (1); Li, Ming (1); Qiu, Yu (2); Yu, Qiongfen (1); Luo, Xi (1); Li, Guoliang (1); Ma, Xun (1) ","(1) Solar Energy Research Institute, Yunnan Normal University, Kunming, China (2) College of Applied Technology, Yunnan Minzu University, Kunming, China ","Li, Ming(mingli@ynnu.edu.cn) ","Energy Exploration and Exploitation","Energy Explor Exploit","SAGE Publications Inc.","37","4","1377-1387","July 1, 2019","","","2019","English","01445987","20484054","","10.1177/0144598718823937","","","","","","EEEXDU","Journal article (JA)","An experimental investigation of solar-assisted heat pumpa drying mango has been conducted. A new solar-assisted heat pump drying system with a secondary heat recovery was setup, which can operate independently in solar drying mode and heat pump drying mode, or operate in a joint mode. An evaporator of the heat pump and a heat exchanger were adopted to recover the waste heat from the exhaust moist air from the drying chamber for increasing the utilization of energy. The mango slices of 80 kg were spread over 40 trays in the form of a single layer for the drying test with the hot air of 45°C. The experiments were conducted to dry the mango with solar drying mode and heat pump drying mode for studying the performance of the new drying system. The time durations were 6.5 h with the solar drying mode and 10.7 h with the heat pump drying mode for drying the mango, respectively. Moreover, the efficiency of the solar-assisted drying mode was 6% higher than the heat pump drying mode and the power consumption of 3.5 kW h could be saved by using the solar-assisted heat pump mode. The coefficients of performance were 3.48 and 3.69 for the heat pump drying mode and the solar-assisted heat pump mode, respectively. The average efficiency of the heat exchanger for recovering the waste heat could reach 41.7% during the whole working process. © The Author(s) 2019.","14","Heat pump systems","Drying - Energy efficiency - Fruits - Pumps - Secondary recovery - Solar dryers - Waste heat - Waste heat utilization","Coefficients of performance - Experimental investigations - experimental study - Heat pumps - mango - Performance analysis - Solar assisted - Solar assisted heat pump","511.1 Oil Field Production Operations - 525 Energy Management and Conversion - 616.1 Heat Exchange Equipment and Components - 618.2 Pumps - 657.1 Solar Energy and Phenomena - 821.4 Agricultural Products",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Memory-based conformity enhances cooperation in social dilemmas","20184506051677","","Shu, Feng (1); Liu, Yaojun (2); Liu, Xingwen (1); Zhou, Xiaobing (3) ","(1) College of Electrical and Information Engineering, Southwest Minzu University, Chengdu; 610041, China (2) Department of Finance, Sichuan University Jincheng College, Chengdu; 611731, China (3) School of Information Science and Engineering, Yunnan University, Kunming; 650091, China ","Liu, Yaojun(liuyaojun566@gmail.com) ","Applied Mathematics and Computation","Appl. Math. Comput.","Elsevier Inc.","346","","480-490","1 April 2019","","","2019","English","00963003","","","10.1016/j.amc.2018.10.055","","","","","","AMHCBQ","Journal article (JA)","The problem of how cooperative behaviors emerge in real world has been widely investigated and it is found that cooperative behaviors are closely related to memory, which means a rational player can get a more reasonable strategy by comprehensively considering certain amount of historical information within its memory scope. On the other hand, due to the potential risk during pursuing high payoff in human society, selecting the most common strategy for a player inside the interaction range is relatively safer, at least its payoff is not much lower than average, which is known as conformity. Motivated by these facts, we here propose a mechanism of conformity with memory whose core lies in two facts: (i) Each player first applies a memory rule to compare its own historical payoffs with a limited memory length and to take the strategy corresponding to the maximal payoff as historical optimal strategy; (ii) Each player can get the virtual optimal strategy by selecting the most common strategy from its neighbors’ historical optimal strategies according to the conformity rule. The asynchronous updating algorithm, together with the virtual strategy, is used to study the evolution of cooperation with different memory lengths on a regular lattice. Simulation results show that the proposed mechanism remarkably promotes cooperation in three classical evolutionary social dilemmas. More specifically, it is revealed that the cooperation level decreases gradually as the memory length increases in the prisoner's dilemma and snowdrift game, and that the cooperation level increases as so does the memory length in the stag-hunt game. © 2018 Elsevier Inc.","61","Behavioral research","Optimal systems - Virtual reality","Conformity - Cooperation - Evolutionary games - Memory effects - Social dilemmas","723 Computer Software, Data Handling and Applications - 961 Systems Science - 971 Social Sciences","Number: 2015FB113, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2017TD0028, Acronym: -, Sponsor: Sichuan Province Youth Science and Technology Innovation Team; Number: 61703353, Acronym: -, Sponsor: -; Number: 61673016, Acronym: -, Sponsor: -; Number: 61463050, Acronym: -, Sponsor: -; Number: 2018XWD-S0805, Acronym: -, Sponsor: -; Number: 15TD0050, Acronym: -, Sponsor: Education Department of Sichuan Province; ","This work was partially supported by National Nature Science Foundation (61673016, 61703353, 61463050), SWUN Construction Projects for Graduate Degree Programs (2018XWD-S0805), Innovative Research Team of the Education Department of Sichuan Province (15TD0050), Sichuan Youth Science and Technology Innovation Research Team (2017TD0028), and Natural Science Foundation of Yunnan Province (2015FB113).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Calibration of camera intrinsic parameters based on the properties of the polar of circular points","20193207283542","","Yang, Fengli (1); Zhao, Yue (1); Wang, Xuechun (1) ","(1) Institute of Mathematics and Statistics, Yunnan University, Kunming; 650091, China ","Zhao, Yue(zhao6685@yeah.net) ","Applied Optics","Appl. Opt.","OSA - The Optical Society","58","22","5901-5909","August 1, 2019","","","2019","English","1559128X","21553165","","10.1364/AO.58.005901","","","","","","APOPAI","Journal article (JA)","Three-dimensional stratified reconstruction from images requires acquisition of circular points. This study proposes a new algorithm for calibrating camera intrinsic parameters using the properties of the polar of circular points (PCPs). Because the PCPs are asymptotic, which are self-conjugate diameters of the circle, the obtained PCPs can determine the image of the circular points and a group of orthogonal vanishing points in the image plane. On this basis, the camera parameters can be calibrated. The results of the simulation experiment and the data of the real experiment prove that the proposed method is effective and feasible. © 2019 Optical Society of America","41","Cameras",,"Camera intrinsic parameters - Camera parameter - Circular points - Image plane - Orthogonal vanishing points - Stratified reconstruction","742.2 Photographic Equipment","Number: 11861075, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61663048, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (NSFC) (11861075, 61663048); Programme for Innovative Research Team (in Science and Technology) in Universities of Yunnan Province; Key Joint Project of the Science and Technology Department of Yunnan Province and Yunnan University (2018FY001(-014)).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
